key,row,col,turnover,a1,a2,a3,alpha,beta,var_inf
r2400_c4000,2400,4000,0.02316942361904603,0.2041372181096112,0.035607557587796546,0.029902252221365867,0.8005671730432634,1.0,0.8068135127099226
r2000_c2800,2000,2800,0.025009567043450698,0.2136505894572768,0.05300040983984449,0.0382831454220693,0.8397622572359222,3.0925001624080295,1.147417665723354
r2400_c3600,2400,3600,0.027966993196434583,0.2427077399994931,0.06274633442837435,0.036821016931878094,0.7026894234955728,1.0,0.7047005632227669
r2800_c400,2800,400,0.02913298265675643,0.5128527708938145,0.11751669746933303,0.04460901241339381,0.6720325221188622,3.28745171472282,1.245897128492915
r2800_c3200,2800,3200,0.029644965784954767,0.5168580984207894,0.09693909909877166,0.03455821948844819,0.6814212231060067,1.0000000000003175,1.2188511779583524
r2800_c3600,2800,3600,0.030917423824986814,0.3355106976763873,0.05629232773245363,0.05220636502822129,0.7280051627015949,1.3009971368222626,0.8572144468671662
r2400_c2800,2400,2800,0.03173270459286447,0.2123517367083084,0.06376203999623901,0.04489129585151719,0.7082770634603796,1.0,0.8772748151342497
r2400_c4400,2400,4400,0.03800236214795069,0.5566908159563219,0.09373517747951263,0.04726661958020957,0.7286806935123938,1.11594298863221,1.1949230797015646
r2400_c3200,2400,3200,0.04154125386925376,0.3080995717245592,0.09629450840978444,0.04123235139862856,0.8209484704075319,1.0,0.9245474367800864
r2800_c800,2800,800,0.04310641374837799,0.3734992063181459,0.10666782128026601,0.04160518452113063,0.8196186830002997,1.0000000000676936,1.0172433823467486
r2800_c1200,2800,1200,0.06708824386706974,1.7865127607657143,0.23576667956846312,0.08907623987656565,0.6424836554108343,1.1026542624549287,1.160731422030792
r1600_c2400,1600,2400,0.07212433944105263,0.8597633194105114,0.3319187469039685,0.1381579873104313,0.5308791706344655,1.304812094755221,1.9097864248626328
r2800_c2000,2800,2000,0.08594157377218774,0.6365200618194327,0.3265488129093733,0.13797067371794067,0.5753451045371932,1.0,1.2586632507209117
r2400_c1600,2400,1600,0.09349054459740931,1.7323775764961191,0.734651219597627,0.13999228511159623,0.5860618654536822,1.621300134948917,2.320079451198578
r2800_c2400,2800,2400,0.0941238643127724,0.7338868201526331,0.21326709701656027,0.1428456373827362,0.658242647118041,1.0,1.071102466226907
r2400_c2000,2400,2000,0.12907711073471437,2.2980928178754323,0.7897333418945639,0.2822303200392198,0.4966687945473207,9.99999999999713,2.4031549535994294
r1600_c2000,1600,2000,0.1475381698736036,4.138686703431971,0.6119068194116675,0.21801769169074367,0.692783933381799,9.999999999999998,3.577543537297484
r3200_c2800,3200,2800,0.16259689893346124,3.4698862526455927,2.037286645027668,0.23450660996200884,0.629040787700844,7.293625088640027,2.6952995701536597
r2000_c3600,2000,3600,0.18557114403351171,4.729005380621959,1.7242552550565298,0.40684547792449427,0.4679599496325919,9.999999999999998,2.1053292614942083
r3200_c2400,3200,2400,0.18982578451337287,8.28401967997558,1.4900716797618798,0.22298582722152988,0.8051754783135685,9.999999999999998,3.999999999999999
r2800_c2800,2800,2800,0.1936034667036045,1.4955635940787262,0.7687172946854496,0.300953798147052,0.5786771697696039,1.0,1.6146592962162605
r3200_c2000,3200,2000,0.2052000667393837,2.8003273106649997,1.4139740952549713,0.269108400342423,0.7266366036447154,6.144902760661245,3.359597485745171
r2800_c1600,2800,1600,0.21419219047504157,5.128944057368139,1.2111508881251138,0.6047562171734198,0.4101447683953106,1.0000000000001943,1.2443307537103525
r2000_c2400,2000,2400,0.2735573731857379,4.804144669869895,2.815264795334113,0.7729103611354804,0.4094301681755258,9.999999999999998,3.878593925196658
r2400_c1200,2400,1200,0.27794160475634666,3.301972307738621,1.5073032926460777,0.49743333197942097,0.5809801951273047,9.999999999999998,3.999999991522885
r2400_c2400,2400,2400,0.3284001301998695,8.433263425376817,1.8619159259044697,0.9505357566531286,0.4340536592415777,9.999999999999998,3.4599370612272815
r2400_c800,2400,800,0.35835276767220936,5.443811298482468,2.0955947125382015,0.5987171107439122,0.598102869532403,9.999999999999998,3.9999999958074417
r3200_c800,3200,800,0.4010640938467816,20.177945338806776,1.709801782834979,0.9982469594751219,0.4910439160517363,9.999999999999998,3.732457882919358
r2000_c3200,2000,3200,0.40842858810215593,7.336303346199526,2.327493510029288,0.9517902122910533,0.4849873971105157,9.999999999999998,3.0875408282414933
