chunk,row,col,a2a1,a1,a2,a3,alpha,r_lo,r_hi,coverage,fit_success
sp_r2800_c1200_s400.json,2800,1200,0.023053497142093125,27.508030019637246,0.6341562914423191,0.15669813985719666,0.2868155251464033,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2800_c3600_s400.json,2800,3600,0.02381748282130667,15.942433988218259,0.3797086476442039,0.16048382858423324,0.08368716169201736,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2800_c400_s400.json,2800,400,0.02813301977739727,41.981112991453685,1.181055482065716,0.04201233607903345,0.052204493613396546,0.1521497464759124,0.5006797572968483,0.9999875,True
sp_r2800_c800_s400.json,2800,800,0.03396130517840676,15.342360211589185,0.5210465773028256,0.12303089477038412,0.17781309182279195,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2000_c2800_s400.json,2000,2800,0.03493270026496925,10.011633212335271,0.34973338216931926,0.2512982580649742,0.06767290241769486,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2800_c3200_s400.json,2800,3200,0.04313742259354749,10.686606379400482,0.46099265547909907,0.174187364714917,0.14625696266813476,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2400_c3200_s400.json,2400,3200,0.05578741782313678,6.776893107006508,0.37806536730330764,0.1584378585068854,0.2084773002981133,0.1521497464759124,0.5006797572968483,1.0,True
sp_r1600_c2000_s400.json,1600,2000,0.06863295599019435,9.19218074875035,0.6308865367828945,0.17850407803534593,0.6019132943008247,0.1521497464759124,0.5006797572968483,1.0,True
sp_r1600_c2400_s400.json,1600,2400,0.17531699291193462,4.88684616316841,0.856747174149911,0.1660462986224816,0.23389296368984702,0.1521497464759124,0.5006797572968483,1.0,True
sp_r3200_c800_s400.json,3200,800,0.1812598133302491,1.73831723267432,0.3150870571033024,0.18258542425992452,0.6623164160916015,0.1521497464759124,0.5006797572968483,0.9431625,True
sp_r2800_c2400_s400.json,2800,2400,0.18469053510757824,1.6521740140388794,0.3051409027436761,0.172094079716195,0.36645773787675323,0.1521497464759124,0.5006797572968483,1.0,True
sp_r3200_c2400_s400.json,3200,2400,0.18942748768423445,6.563420648642986,1.2432922840872693,0.19334556067759423,0.9438410414636007,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2400_c1600_s400.json,2400,1600,0.2134206143681933,7.302307286959101,1.558462907488146,0.16211703437334846,0.35053057415332556,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2400_c2000_s400.json,2400,2000,0.31045462483004044,2.178964237765596,0.676469524953593,0.17994750236707593,0.4299654579320109,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2400_c2400_s400.json,2400,2400,0.32736052239344576,0.9894964115611771,0.32392206219510694,0.14354721281164856,0.45723352325851535,0.1521497464759124,0.5006797572968483,1.0,True
sp_r3200_c2000_s400.json,3200,2000,0.3990889228442865,2.625504672305951,1.0478098315932234,0.1719130232453568,0.6947926254219844,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2400_c4000_s400.json,2400,4000,0.42976179695582906,0.7939917468570054,0.3412273198973644,0.07830969319074267,0.15057562169996488,0.1521497464759124,0.5006797572968483,1.0,True
sp_r3200_c2800_s400.json,3200,2800,0.4815326804161224,4.441900165849176,2.1389200930021723,0.18761497284795645,0.6050401450392396,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2800_c2000_s400.json,2800,2000,0.5093784025355269,0.885677521172078,0.4511450008962584,0.13221045131039902,0.3197530387532605,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2400_c3600_s400.json,2400,3600,0.5098497276430758,0.9428469584486158,0.4807102649741291,0.1653641068519593,0.20429782325666732,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2800_c1600_s400.json,2800,1600,0.5288892102135052,0.6976430805892108,0.3689758979037444,0.17895329336819782,0.4577024723083251,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2800_c2800_s400.json,2800,2800,0.5393012318155032,0.7994717671882693,0.43115610884635075,0.14914363440946063,0.47464221256913547,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2400_c1200_s400.json,2400,1200,0.552537532247427,0.8294120379559843,0.45828128066850876,0.16924094481968807,0.7286678645872394,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2400_c2800_s400.json,2400,2800,0.5670863121855352,0.5077749232972972,0.2879522086729573,0.10732195179311262,0.21996771642049145,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2000_c3200_s400.json,2000,3200,0.5720218373555759,0.7899901851540448,0.4518916372046883,0.15705349054201506,0.5882410641494155,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2400_c800_s400.json,2400,800,0.5730521522192857,0.8249334329947504,0.47272987921528564,0.16152600056868457,0.8885796499109276,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2000_c3600_s400.json,2000,3600,0.7235660612249023,1.1991010548792915,0.8676288272896344,0.16454067277139,0.5301300464584734,0.1521497464759124,0.5006797572968483,1.0,True
sp_r2000_c2400_s400.json,2000,2400,0.9078136489450631,0.42909425950304425,0.3895376254608384,0.08528552671441644,0.45648399768825226,0.1521497464759124,0.5006797572968483,1.0,True
