chunk,n_bands,n_ok,n_degenerate,r_min,r_max,slope_b2b1,se_slope_b2b1,b2b1_first,b2b1_last,slope_b1,se_slope_b1,b1_first,b1_last,slope_pa2d,se_slope_pa2d,pa2d_first,pa2d_last,slope_alpha,se_slope_alpha,alpha_first,alpha_last
r1600_c2000,5,5,0,0.009599999999977628,0.45254833996038263,-0.3023233027186089,0.057761028835114955,0.45799979985816314,0.11570596631631573,1.167485554847554,1.595829731622653,0.04082917817036809,1.444609026494372,-5.63204539467757,133.6893930638288,10.091695551746309,4.379594109282922,-0.056862425419977644,0.19893563527023722,0.6151496551582852,0.5238488893748575
r1600_c2400,5,5,0,0.009599999999977628,0.45254833996038263,-0.4526344778295117,0.2149193670266045,0.5826235229131084,0.09084754735873873,1.4754231344219333,1.599876432736403,0.035728486005130074,1.8963883440344231,-9.275648799284172,11.530762485363985,15.6140375399987,6.132203796919026,-0.3728456795393546,0.13663787419113077,0.6041352309296402,0.2100818132351975
r2000_c2400,5,5,0,0.009599999999977628,0.45254833996038263,-0.0880209281010812,0.26578220921149875,0.5651024849558989,0.3825845892209016,0.3266095010252768,0.34984847024316684,0.03710249291565451,0.43190365904568534,88.48238204781084,23.18662690290547,5.825951986087356,91.86445334272715,-0.4342302060415145,0.08635189394786125,0.6347089548464495,0.19491685445961376
r2000_c2800,5,4,1,0.009599999999977628,0.45254833996038263,-0.4389116419426979,0.445910365821926,0.4581207837350632,0.03228133001297679,5.309934238011833,7.833787269385031,0.04236022664644964,5.313781502424528,2.1309050968296805,87.71768208867155,6.992717784429949,8.77858666177905,-0.9334412231624419,0.10924169603504179,0.8673160324003469,0.043374771328463936
r2000_c3200,5,5,0,0.009599999999977628,0.45254833996038263,-0.050219452846840276,0.13840713555238546,0.28079989330019006,0.24070686772416258,0.59991797180831,0.1479405826799403,0.06235886947392852,0.6665938736771077,0.733707786887089,134.02162007356236,3.8418569420915185,4.995846656521809,-0.05309693558551393,0.20942311525561136,0.6459600019865753,0.6248978200126206
r2000_c3600,5,5,0,0.009599999999977628,0.45254833996038263,-0.12987578944168818,0.1327854884889312,0.24522968406149775,0.10486961896056589,1.5531811383300775,3.409328353225816,0.0675688658769935,1.799560979326496,-0.4940297409034786,5.594701187417354,9.563430816722898,8.954932000784492,-0.07560011533611499,0.3659758320319358,0.5750741362314202,0.5096215390002155
r2400_c1200,5,5,0,0.009599999999977628,0.45254833996038263,-0.03764857697493569,0.13373161379308904,0.26293413724616177,0.22701962391831962,0.7207213284332215,0.18271782661547054,0.06673190920358159,0.8303970228695343,0.331525461527448,133.89084476432404,176.91624683973544,176.90797268082528,0.0374824110907847,0.2613735970455116,0.6440739422031837,0.7157586420925736
r2400_c1600,5,5,0,0.009599999999977628,0.45254833996038263,-0.23482699301086693,0.07020743415550044,0.279301730137135,0.028570673664388143,5.04466111143783,2.0768930913522774,0.06161012176115375,5.834828026787614,-0.22142334144357823,2.9967978493469607,4.454250366205314,4.184367105780679,-0.36873295219553504,0.213424763184749,0.7112399623500255,0.3402749873887597
r2400_c2000,5,5,0,0.009599999999977628,0.45254833996038263,-0.12531718736811726,0.216036358641405,0.3370076002078129,0.17865258796906205,0.8431832052225415,1.0139611124317898,0.05208503380581739,1.0437170501181898,2.7537345415995107,5.491803522416784,9.987461209444387,12.986914032993921,-0.14897697690257092,0.07748102500197611,0.6744056945127906,0.47611006813236406
r2400_c2400,5,5,0,0.009599999999977628,0.45254833996038263,-0.4675777255379909,0.12473378301930342,0.8563527765005635,0.3476178066730065,0.38949466291675244,0.21255597821718009,0.02954183137627584,0.49181759205495257,-10.714841891449288,69.0079771343536,171.19417228627452,156.3272696750691,-0.19991981860468752,0.16603813893709474,0.6116901572743979,0.3921928032696427
r2400_c2800,5,5,0,0.009599999999977628,0.45254833996038263,-0.1489275663823517,0.3426336097302838,0.5063145261647946,0.30500733996705615,0.2601756414377977,0.7707005599457716,0.039983686085215166,0.3543864486387762,-93.04154990433712,121.83379942269819,159.07226325356874,15.264829887252626,-0.6500416085848747,0.1348398811167387,0.7744927846229567,0.07687294425900965
r2400_c3200,5,5,0,0.009599999999977628,0.45254833996038263,-0.2101414898413402,0.2319626061088358,0.2776087182439862,0.04291713834391065,2.731969517762266,2.726757652103246,0.06401450061675446,3.2995784458303197,-3.5693331348628785,13.000607355578099,174.6348457859157,170.2381421363384,-0.6501589811032019,0.17833010527426296,0.8141764432481788,0.11138438140504096
