chunk,med_flux,scale,a2a1,a3a2,alpha,incl
r3600_c2000,0.0045873494805942,0.01,0.1717272479269002,4.6240149124243306e-05,0.044031262581705,89.99750314382646
r3600_c2000,0.0045873494805942,0.03,0.4539152693781315,4.298928092814504e-05,0.0350412673684111,89.99800058086544
r3600_c2000,0.0045873494805942,0.1,0.2070223429675955,0.0001160872642437,0.0346803356454611,89.99404230164495
r3600_c4400,0.0386471273364673,0.01,0.6911905363466974,0.6151729160146182,0.1498073142676104,59.74306222108698
r3600_c4400,0.0386471273364673,0.03,0.660623371240246,0.7079894195965993,0.1727136237728918,53.025735308688525
r3600_c4400,0.0386471273364673,0.1,0.6055846667197787,0.7954723724375581,0.1843040353580509,47.22920402346826
r2800_c2400,0.3868221694903213,0.01,0.4033254524065338,0.8718751609108254,0.737942191110697,58.9461128915499
r2800_c2400,0.3868221694903213,0.03,0.4021504785507735,0.8598254181745847,0.7335264469559479,58.12912007758786
r2800_c2400,0.3868221694903213,0.1,0.3974880774056024,0.8051081008571409,0.7217492930800953,56.8655516855303
