chunk,a2a1,se_a2a1,a3a2,se_a3a2,inside_drawn,d_measurement_only,d_meas_plus_intrinsic
r1600_c2000,0.2864395202784714,0.1793404587907805,0.4674386844016691,0.1278952239723971,True,0.5773419387014864,0.35602618004665254
r1600_c2400,0.4186115592611609,0.0859588822092096,0.5946668810444945,0.083578592742345,True,5.492066060964807,1.9429793060686786
r2000_c2400,0.1889894736971153,0.1022606539006368,0.6656756381099624,0.1301430345755353,True,0.9334474104739154,0.5321471873179873
r2000_c2800,0.2720818307815461,0.0659176372718996,0.7313756247928868,0.1904504787190562,True,0.9181495772908745,0.5295327570251944
r2000_c3200,0.203786978233562,0.1179451646944825,0.92348426664288,0.1649178477008119,False,7.324283201773302,2.977861204908018
r2000_c3600,0.2174661182921441,0.1002152484373466,0.4245295128112998,0.0998790028211964,False,1.7694261120688863,0.9726437719922131
r2400_c1200,0.3430590673599193,0.2989123597801612,0.4343702491339558,0.0596605669262653,False,4.162339111372523,1.2298536589761888
r2400_c1600,0.4900589688615639,0.1905099145050179,0.3197011699587265,0.0529294163638581,False,15.085106797287082,6.254186378038951
r2400_c2000,0.3855579558512227,0.2729426037483271,0.466495971805609,0.0874977954302436,False,1.5118303984968664,0.7752315406982563
r2400_c2400,0.2708053535094351,0.1362963983208416,0.5015874387334107,0.1511312410951372,True,0.20159773730864156,0.13221662093585596
r2400_c2800,0.2779186592744324,0.0552152554104555,0.7399205139166973,0.0831457674431616,True,5.3049563457993445,1.1114661889610957
r2400_c3200,0.2595177488516153,0.0276739248970797,0.6802379039110215,0.1684860464624606,True,0.48111707253056785,0.2686654959262147
r2400_c3600,0.1803682257595396,0.0984941313073648,0.8520083293667893,0.1142108936331827,False,9.213037620579685,2.723229126277005
r2400_c4000,0.1377867241284568,0.0293965332961402,0.8123467045953751,0.1421185357815216,False,12.79234529542158,4.820672479788287
r2400_c4400,0.1741681599016919,0.0445497735916902,0.6035341978465627,0.2424693350422945,True,2.447747035020989,1.1316938027885879
r2400_c800,0.1524031439921926,0.225101226372835,0.4773393731804944,0.0857890745109828,False,1.1600301547221867,0.5372108730434115
r2800_c1200,0.0648296099412491,0.1298413307761328,0.5728594992596167,0.1031893901270089,False,0.4796374204488189,0.47063379621632784
r2800_c1600,0.1618676068240116,0.1486226944646247,0.7378004917354088,0.1298700784024221,False,2.3307108369747045,1.0476484613388566
r2800_c2000,0.4264519984341387,0.0846056978779932,0.7464003016000688,0.1218211974774623,False,8.896112315238181,3.0565807104540546
r2800_c2400,0.4021504785507735,0.1182719152463288,0.8598254181745847,0.1480299415151104,False,7.781714641556295,3.2853665086452613
r2800_c2800,0.4575814980437401,0.1147794116450778,0.4990973897893829,0.1037107227368468,False,5.5518185892454825,2.5102260861571284
r2800_c3200,0.2435754547240622,0.0866388554350569,0.4884447789177641,0.048727346855995,True,2.5852850316127807,0.45444468948812883
r2800_c3600,0.2167761180196826,0.0588728909348002,0.9111188659527436,0.1535481009300825,False,8.02064246270851,3.014770341992889
r2800_c400,0.2106698707291794,0.0955346147767697,0.4944457225524755,0.1044629116532698,True,0.6969145430419463,0.38662162707086173
r2800_c800,0.2249857843873595,0.1381840532903207,0.5304236431749922,0.0835187939051922,True,0.2929706336219995,0.12571788177244742
r3200_c2000,0.7545895052934799,0.4448236817432183,0.2141017591469378,0.2178678470906811,False,4.213803628348522,3.578929962293875
r3200_c2400,0.4042708839292397,0.7431006056595393,0.2186558985144197,0.2187168573371485,False,0.985276314380373,0.9411115043669953
r3200_c2800,0.9059150435767006,0.4377662640645089,0.1573240429650435,0.1896508557315758,False,7.8418769509515265,6.149380717661472
r3200_c800,0.1762677018313111,0.1519421124901205,0.7225342910489853,0.2251583156697809,False,0.7562357971299529,0.5525385208973037
