model,row,col,n_ok,wall_s,alpha_c,beta_c,var_inf_c,s2_noise_c,a1_c,a2_c,a3_c,r21_jk,r21_se,r32_jk,r32_se,a1_jk,a1_se,beta_jk,alpha_jk,snr
noise,1600,2000,4,500.0715889930725,0.940811052904787,9.999999999999394,3.260738176704359,0.28474309893510047,5.778521607837769,0.5199395308366422,0.1906278860534123,0.2906445868046995,0.4749622596959773,0.41237932214041195,0.24229039127741955,8.474565443087483,12.546629784704642,7.405640159690078,0.8998049918930345,5.79905
noise,1600,2400,4,409.1676948070526,0.6567520132508925,1.0000000000271099,1.8448337803824986,0.0926001265585981,0.6658145014998924,0.25759543474749963,0.10752904992360793,0.3904893284645211,0.14981237876874318,0.40405253690683984,0.096620830649903,1.0064680919879136,0.7263748877352496,3.686974386048191,0.5824301504791436,4.19895
noise,2000,2400,4,362.3301486968994,0.4586186662360715,9.999999999999998,3.8881639301202164,0.12093493596867379,4.351938261380298,2.698369420740018,0.7401344417849169,0.61748514383837,0.3557810603507735,0.2897653898220568,0.09277733325310149,4.098517372750746,2.948541843276202,9.994215326595352,0.607390112169867,4.02545
noise,2000,2800,4,331.6524260044098,0.8860500251954868,2.8949916984573587,1.1305227255707946,0.0169383778448383,0.2074274504901685,0.051508779107305974,0.03718955315796015,0.23677031817901276,0.04340189670554365,0.7046800140624924,0.21315696289490504,0.2254220792231414,0.03720272790292055,3.0308168802723374,0.8956099467919036,4.81564
noise,2000,3200,4,395.45044779777527,0.5009988509456599,9.999999999999998,3.050850468283499,0.022563249611324915,6.953385663001554,2.21408951915231,0.908805480095223,0.49868350023352953,0.05845521662820005,0.4247580894380265,0.048436705267373766,3.548273520397119,3.064712998308958,7.749999695704188,0.552330671073534,4.98423
noise,2000,3600,4,607.7348718643188,0.47373252590718995,9.999999999999998,2.0697098064772916,0.0074709595210782015,4.515525680246849,1.655407170773271,0.3922240259571823,0.39035350210606423,0.4047436462551176,0.25590785474046246,0.0999334695924896,8.110541769412766,15.8935348273781,3.915461130111527,0.6265110163608524,4.7212
noise,2400,1200,4,343.6743302345276,0.7384482900234474,9.999999999822677,3.9999999999723395,0.22700216596485065,2.966150894558842,1.318796318518647,0.45704070776069333,0.7201451026463361,0.13343443782325712,0.35918609853349404,0.08248084100892498,2.091523582620718,1.408545018741109,9.999999999961043,0.7393697435283156,5.15417
noise,2400,1600,4,371.8082036972046,0.5877169453142582,1.6215597752033075,2.320190769165173,2.167609512793402e-06,1.7079692973677962,0.7300166553870857,0.13984298390865274,0.5910866999067464,0.15412999182550105,0.21432276382188692,0.03965247188696909,1.071034346482759,0.3081552079596812,5.4999999999989715,0.7183351306910656,5.06145
noise,2400,2000,4,370.32637310028076,0.49834590026877434,9.999999913479368,2.4016561027145302,1.0000000047354636e-08,2.2627363828461826,0.7836719491989932,0.2813027704242219,0.40427307484520125,0.5384028371842515,0.4077574398876117,0.13635020581797225,7.885892787079994,18.277034328606575,6.563420773208911,0.5374728787502139,5.18143
noise,2400,2400,4,584.0677719116211,0.4358140367438976,9.999999999999998,3.4854874170020147,1.0000000000000018e-08,8.387156119612568,1.8756150318408855,0.9591693622148262,0.3137610754361648,0.19117609128200277,0.46553958066501144,0.11077112303063469,5.449103444386394,6.904955696917321,5.5,0.4798364832107821,4.51207
noise,2400,2800,4,441.0685679912567,0.7200294668369595,1.0,0.8761127503804506,1.0000000000000018e-08,0.20868285100947767,0.06261228965389085,0.04412441211019823,0.2930636920265738,0.08731664087104886,0.6895927882649664,0.1441874778595028,0.2324883589842378,0.07423816983133046,1.000000000000274,0.7049146487970884,4.66889
noise,2400,3200,4,406.6832711696625,0.8281436472009021,1.0000000000000926,0.9242795429804748,1.0000012556159576e-08,0.3030645096885733,0.09503460602905474,0.04109633287141014,0.318864010298524,0.0714396722690903,0.44250655059056593,0.19707554152340118,0.3129868877444645,0.0712782518420827,1.0000000000001448,0.8259393995396895,5.19339
noise,2400,3600,4,431.39943766593933,0.7137957169570579,1.0,0.7041090321782904,1.0000000000000018e-08,0.23541766828352143,0.061223610090247155,0.03654138151076502,0.2787443548318267,0.16062147566215967,0.6348874141645467,0.33442001086455175,0.2842443861298531,0.21322094800288954,1.2159420191462225,0.7220112406860444,4.5426
noise,2400,4000,4,422.5513451099396,1.0160218786534607,1.0,0.7530317931660605,0.050707845830834354,0.18106379954552634,0.032242815549950204,0.02580956115385287,0.18274148141363877,0.018020160153639914,0.7194860651592183,0.14687957703446555,0.20146611133132872,0.054324057205592705,1.064306881285588,1.0253621699295983,4.05736
noise,2400,4400,4,383.34223985671997,0.5952329698013032,4.211096884701447,1.1509513389797557,2.428833922268606e-08,0.8255711566406494,0.13310770074371772,0.06872996532316361,0.09179000858178785,0.10448750424709385,0.21458417721407114,0.3737859133476094,173.67980491005656,515.8136517389905,5.824934322780388,0.7391761690893679,4.62391
noise,2400,800,4,319.6930618286133,1.1690838212491013,9.999999999999998,3.999999993573221,0.45414838817126657,4.221669492385456,1.2847183386150567,0.40376615505290747,0.8210672849393131,0.16041926509525298,0.3100237546895979,0.1112595248397577,1.8749594177091624,0.5078638468166418,9.999095668113009,1.0688192513607435,4.76024
noise,2800,1200,4,420.1486599445343,0.6713695070080284,1.0000000017849178,1.1671713062524514,1.000000000453257e-08,1.5843972669699158,0.21414777434474516,0.08137769748679985,0.12090156981719775,0.17200792633983483,0.40156510056182615,0.08777664909656824,10.980108076807344,18.26970809547749,5.533418102046529,0.6569733167929024,5.54549
noise,2800,1600,4,299.1800057888031,0.4238457005530851,1.0,1.154467055802842,1.0000000000000018e-08,3.8038645608581025,0.9219180167777535,0.46403361090412515,0.33601334761682,0.05181788735324773,0.5287638128141086,0.08056122918273634,1.2595414958176199,1.3749823115759545,1.0,0.48949402046856927,5.36335
noise,2800,2000,4,411.15193796157837,0.5899121186919117,1.0000000000000007,1.245844153615401,1.0000000000000018e-08,0.5977542293397932,0.3075483261283372,0.13095082860703128,0.4674920258853306,0.2957320415877956,0.4043379252680956,0.1316121689619061,5.025030262786945,12.783618799237942,1.0000000000155356,0.5824047220098201,6.46064
noise,2800,2400,4,307.8417179584503,0.6722596349576112,1.0,1.061539915672845,1.0000000000000018e-08,0.6945546688365647,0.20344758204854027,0.13700161052638918,0.3771210704185402,0.10833461011624665,0.6484306114050857,0.09494713910624165,0.5403206449493652,0.2923454296944093,1.2293277714652295,0.7136143082476076,6.95587
noise,2800,2800,4,491.36431884765625,0.5867693557365966,1.0,1.5837250473423328,1.0000000000000018e-08,1.3943004690941876,0.7210303195457408,0.283080947138109,0.4520569673337225,0.14045810242246162,0.3614836103822709,0.08083075832318663,3.4743813461819792,5.390319574535114,4.3204718895077745,0.6344269592529956,5.97031
noise,2800,3200,4,371.94843912124634,0.6978107063581029,1.0000000000000075,1.2175051757495725,1.0000000132198734e-08,0.49351083963831616,0.09404574524239336,0.03395398671028204,0.2203475821462105,0.05138832324917446,0.34548661875329506,0.022388938511172057,0.479169766577315,0.09157751603618809,1.0000000000000002,0.6728549594836373,4.5613
