chunk,n_bands,n_ok,n_degenerate,r_min,r_max,slope_T,se_slope_T,T_first,T_last,slope_p,se_slope_p,p_first,p_last,slope_a2a1,se_slope_a2a1,a2a1_first,a2a1_last,slope_a3a2,se_slope_a3a2,a3a2_first,a3a2_last,slope_a3a1,se_slope_a3a1,a3a1_first,a3a1_last,slope_alpha,se_slope_alpha,alpha_first,alpha_last
r1600_c2000,5,5,0,0.009599999999977628,0.5006797572968483,0.059406124318988666,0.19654284407403602,0.9340043913657632,0.9956649849013718,0.6686051085727844,1.9358418335238363,0.6472341713245546,1.4164678672356024,-0.2252888830778053,0.26399847773104484,0.3166156782630884,0.06863295599019435,-0.2758125306299648,0.17505096985157617,0.6048151282995355,0.28294165056303,-0.15303533914010173,0.09162838811038375,0.19149395207033426,0.01941912185088539,0.012889182674586655,0.13091419194162437,0.6090252959428043,0.6019132943008247
r1600_c2400,5,5,0,0.009599999999977628,0.5006797572968483,0.09085327221027244,0.045686131883287365,0.8795505423134268,0.9703842790273529,-0.2031480293653741,0.7838401305742833,0.4222005299918514,0.10028334999637295,-0.2722493598263475,0.11464004592998302,0.4640593361682514,0.17531699291193462,-0.45280289359214604,0.1275133879812812,0.7078363718064121,0.19381015033663518,-0.2696061513448645,0.027898077033789888,0.3284780768162272,0.03397821275282885,-0.34024719144484944,0.12900462366397752,0.604109686896786,0.23389296368984702
r2000_c2400,5,5,0,0.009599999999977628,0.5006797572968483,-0.6036605853536198,0.33661990448735835,0.960030347101441,0.1831079448349916,-2.286826720284686,0.7707830127452285,0.9305273815553372,-1.4222395411416804,0.5478701080280318,0.24814002810139998,0.2678810091271955,0.9078136489450631,-0.45462644394171675,0.1658187990244284,0.6793050346367314,0.2189404081660155,0.015362306539969646,0.054495791197455894,0.1819729181836721,0.19875709083871204,-0.18567109016547606,0.17056996367626465,0.6344408075852281,0.45648399768825226
r2000_c2800,5,5,0,0.009599999999977628,0.5006797572968483,-0.0036448890906608787,0.060028026471377297,0.9569353165852523,0.999409375745775,0.1792391373749632,1.9561477124371767,0.8989780365485771,3.023801331981365,-0.12988821550536164,0.12983731215219055,0.30421632636988793,0.03493270026496925,-0.276426960977126,0.2039045382171217,0.7474871278048311,0.7185423836472983,-0.18045660143673753,0.054535497013977606,0.22739778802956462,0.025100625715627614,-0.753916701162972,0.06207407053335329,0.86534471114574,0.06767290241769486
r2000_c3200,5,5,0,0.009599999999977628,0.5006797572968483,-0.22613553577876336,0.10125044898857878,0.9785861040486448,0.7004760532885623,-1.7145312405074729,0.3579951918826358,1.1740212900233598,-0.4982778478451195,0.26818937141224614,0.09549204612036456,0.25677408400851026,0.5720218373555759,-0.5538403656205119,0.1305968352105363,0.8306578172374508,0.3475467957617377,-0.03540543876229411,0.026252920443049436,0.21329140014565498,0.19880435667867224,-0.09023239716530608,0.20215854996186697,0.6329518669203941,0.5882410641494155
r2000_c3600,5,5,0,0.009599999999977628,0.5006797572968483,-0.2757025614929416,0.30114633196659973,0.8339643450798321,0.4855955968990176,-1.1978441939781062,1.0659252715640333,-0.22067675797709096,-1.3390427851065474,0.2574632537807039,0.3887654382267984,0.429235698791456,0.7235660612249023,-0.17804103087371817,0.12437656986449584,0.3442366732738402,0.18964408234958582,-0.015073657938682494,0.12606506698944858,0.1477586690023429,0.13722002170030084,-0.101112140126839,0.3649406475048604,0.5933818833160142,0.5301300464584734
r2400_c1200,5,5,0,0.009599999999977628,0.5006797572968483,-0.1577530667594384,0.26949724187166646,0.8769424087800495,0.7248836139632794,-0.7183690154419026,0.5270850374136322,0.24453340966218828,-0.4029258207474069,0.17742243181795198,0.20353507267243226,0.3992363950788279,0.552537532247427,-0.12956458370237706,0.11806166627987041,0.5098349877747843,0.3692949111358229,0.016100816932548775,0.10791355169683566,0.20354468260426317,0.20404929887052042,0.06342351690991992,0.26877117306318166,0.6541932233143467,0.7286678645872394
r2400_c1600,5,5,0,0.009599999999977628,0.5006797572968483,0.14630424170329628,0.47616692630122925,0.7889914785334144,0.9549222990182061,-0.7096591453100659,0.6688891607264286,-0.0271795349207693,-0.7186464448661594,-0.2579155258437426,0.4517723718110622,0.5123452005182582,0.2134206143681933,-0.3542899364319915,0.07349171353529974,0.4986074349829173,0.10402367203890707,-0.2043050494096834,0.06429301518115584,0.25545912625621714,0.022200795995378993,-0.33974020056050425,0.24129057780172916,0.7136390077817134,0.35053057415332556
r2400_c2000,5,5,0,0.009599999999977628,0.5006797572968483,0.02366167371911807,0.333700501691792,0.8788250731597178,0.9098230198833714,-0.4464250344683611,2.213841510036492,0.3861804778152864,-0.15450471955079426,-0.09727528628450613,0.4823071195085748,0.4352983994219417,0.31045462483004044,-0.3043519955114454,0.1850230950480945,0.6404763839680843,0.2660097694414551,-0.15478708996130341,0.15859710276797478,0.27879834480886,0.0825839631730725,-0.19461214105615288,0.016625568050246533,0.6799120717962333,0.4299654579320109
r2400_c2400,5,5,0,0.009599999999977628,0.5006797572968483,-0.010418887325817822,0.23259917441605552,0.9435476519876256,0.9120292816602796,-0.01834288939361727,1.1317931307716191,0.6235947187449131,0.302854252596642,0.005548688681480667,0.2982817081497531,0.27359223591191684,0.32736052239344576,-0.019442333811340032,0.06294145702529569,0.5104198011199327,0.4431535531691763,-0.006953517582702544,0.09144133169679487,0.13964689464211827,0.1450709786659732,-0.1516547386881635,0.15662947169932845,0.6100040804318883,0.45723352325851535
r2400_c2800,5,5,0,0.009599999999977628,0.5006797572968483,-0.17398936956152952,0.29926612134523634,0.9300294058365637,0.7101362655049377,-1.0663246950646645,2.428900744583119,0.6543569796378748,-0.4197175514362841,0.1422752238087487,0.48456678425286104,0.41594023459167834,0.5670863121855352,-0.40139738246926226,0.13035742356814192,0.8002295009634589,0.3727075138187389,-0.09045572153167411,0.1963757193036553,0.3328476463579228,0.21135732953530803,-0.49256801874881617,0.04621041185028468,0.7446637354307357,0.21996771642049145
