mode,quantity,med_se_k2,med_se_k3,med_se_k4,ratio_k3_k2,ratio_k4_k3,rho_k2_k3,rho_k3_k4,se_of_se_k2,se_of_se_k3,se_of_se_k4,inflation_k2,inflation_k3,inflation_k4
3d,a2a1,0.0830813561617357,0.1179451646944825,0.140650956296301,1.630665214656382,1.0545592120329323,0.48620689655172405,0.8960591133004924,0.4082482904638631,0.25,0.18257418583505536,3.043516021760599,1.2605246957292815,1.3035586729971123
3d,a3a2,0.1101519607025803,0.1278952239723971,0.1171355241467235,1.009074837051791,0.9366926430941711,0.45665024630541856,0.9137931034482757,0.4082482904638631,0.25,0.18257418583505536,2.33559750012107,1.5908322641951633,1.7356524877195831
3d,incl,3.8650792015903095,3.366530855694905,3.553247637320992,1.0720779704631647,1.0312519421113289,0.9049261083743839,0.979310344827586,0.4082482904638631,0.25,0.18257418583505536,4.386896476112447,3.850811051387275,3.8541697478272856
3d,alpha,0.057607108352771,0.0538454120434922,0.0528182064236975,0.9697921667345206,0.9228534493150589,0.8206896551724137,0.9497536945812804,0.4082482904638631,0.25,0.18257418583505536,1.7990117896619806,1.4603058508680313,1.5028863969717334
2d,b2b1,0.0799564878272802,0.0900646058990765,0.0820093099838102,1.242068229983253,1.030534699946015,0.7123152709359604,0.9231527093596058,0.4082482904638631,0.25,0.18257418583505536,3.436284572789208,2.5514565544742824,2.5573711265666415
2d,alpha,0.0546569135298756,0.045571332918376,0.0457606162729299,0.860365379262595,0.9244780215042281,0.8275862068965516,0.9226600985221672,0.4082482904638631,0.25,0.18257418583505536,1.5397801549836374,1.6555715000419284,1.6453730235687927
