chunk,band,r_lo,r_hi,r_mid,fit_success,usable,b2,rms_resid,n_fit,b2b1,se_b2b1,b1,se_b1,pa2d,se_pa2d,alpha,se_alpha,n_ok_jk
r1600_c2000,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.01869975543040187,1.4705937819655177,2050,0.45799979985816314,0.11626500840492539,0.04082917817036809,0.005426204611685993,10.091695551746309,5.793596662446157,0.6151496551582852,0.08355869484680484,4
r1600_c2000,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.03504458708763129,1.1007125245558496,8360,0.3938485802769634,0.16989522599671184,0.08897984870984461,0.01586345783678868,10.122926373921757,5.122547666015194,0.6590225732528905,0.10763413603986934,4
r1600_c2000,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.06882169214781106,1.0969549348547731,33460,0.3376615587753612,0.25769591134143877,0.2038185584329326,0.06926627778601296,7.6319238890926675,3.4167961342003306,0.7504127961764542,0.17870435241894347,4
r1600_c2000,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.14400627903414942,1.3491732155044114,132360,0.20544965493024805,0.20815183428661502,0.700932202018255,0.4424888312564207,5.355048369745648,128.6845907618969,0.6599639652903942,0.13583338621613153,4
r1600_c2000,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.16714988335980346,1.4598914806058079,164355,0.11570596631631573,0.17273910547029464,1.444609026494372,2.1808118914557215,4.379594109282922,129.38412760120028,0.5238488893748575,0.204055787190115,4
r1600_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.020816256384660572,1.6231120238018568,2050,0.5826235229131084,0.05999315265678558,0.035728486005130074,0.002296161631708114,15.6140375399987,8.560283229316969,0.6041352309296402,0.0072712141261190855,4
r1600_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.038725237595327644,1.1310867767875246,8360,0.505632771124863,0.06203437983438037,0.07658767351882079,0.006801445344026534,14.26078941939287,8.005498287599417,0.5731323553874107,0.011678111187469472,4
r1600_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.0747171838924195,0.9275104412398513,33460,0.40268844129261344,0.04167399017634716,0.18554588667253621,0.01468532290747208,10.249952459384344,6.806007772771076,0.4971503357003083,0.0764051325540692,4
r1600_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.13025318836944003,0.9130604732247382,132360,0.18563765732070903,0.10296784217895155,0.7016528340713416,0.3475423605192529,6.705914582383624,3.835268940151754,0.28586271069508573,0.12291463601428693,4
r1600_c2400,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.17228222989522737,0.8833978815262639,164355,0.09084754735873873,0.17558966055726513,1.8963883440344231,2.2358961231048387,6.132203796919026,4.978664499534333,0.2100818132351975,0.14181571097526288,4
r2000_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.020966710944695,1.6108133038165149,2050,0.5651024849558989,0.08759658990431837,0.03710249291565451,0.0035609448169147675,5.825951986087356,4.223965487533221,0.6347089548464495,0.05980051502335436,4
r2000_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.041796673863095504,1.5505052964575805,8360,0.5529628888688465,0.10522454403935336,0.07558676125371765,0.009304286532367614,7.90866922205897,5.5644293636038,0.5575540002519538,0.041591031288017895,4
r2000_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.08979798928904513,1.4501360901616533,33460,0.6550210425218693,0.17036315507949265,0.13709176264523903,0.031375297340775744,7.23638577439246,12.12785204547229,0.40580249582643835,0.06310649293565077,4
r2000_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.15243639790313496,1.1417255682225258,132360,0.6381092795525937,0.23716484518772782,0.2388876055994904,0.062305951608884316,90.61770715067908,38.12671502901458,0.19691169125258987,0.08523882298288855,4
r2000_c2400,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.16523968397899788,1.006501972920962,164355,0.3825845892209016,0.22740403096226627,0.43190365904568534,0.4997568785575608,91.86445334272715,11.638220296945917,0.19491685445961376,0.08132748505218024,4
r2000_c2800,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.019406100230466416,3.161229239044932,2050,0.4581207837350632,0.1321751817052132,0.04236022664644964,0.00853780129454959,6.992717784429949,5.629765374402232,0.8673160324003469,0.02909748383636757,4
r2000_c2800,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.0398994327897648,2.743948074572773,8360,0.41523295822232786,0.18672228887643855,0.09608927229808545,0.033694263809537925,7.378584521471327,5.80084560512547,0.6861022162260344,0.04278904065010164,4
r2000_c2800,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.0795756571227804,2.317064344319154,33460,0.3760163935604939,0.36470993921546113,0.21162815899934478,0.1998593351234435,8.413693179913071,6.722139631035993,0.35760232995435826,0.031295813909462386,4
r2000_c2800,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.17153593429661784,1.6604459494102195,132360,0.03228133001297679,0.3101167628095282,5.313781502424528,4.76172379303087,8.77858666177905,55.87752046306975,0.043374771328463936,0.006857923638812987,2
r2000_c2800,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,False,0.8516055413092041,1.4759355857974248,164355,0.014841940297509603,0.2908878769021132,57.378316058318795,5.152346077864752,10.001145617973034,13.000440178612521,0.014255516153450666,0.020601121799679295,2
r2000_c3200,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.017510363894599607,2.3788748912027073,2050,0.28079989330019006,0.02521319476489392,0.06235886947392852,0.005344621570282534,3.8418569420915185,3.575341376103612,0.6459600019865753,0.08875912093173709,4
r2000_c3200,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.03443894575423324,1.946959835633322,8360,0.23313233207056996,0.01981167734556517,0.14772273518804954,0.009607599388565015,3.984936572445934,4.172200575299285,0.6079212570373052,0.0609111409246338,4
r2000_c3200,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.07184723415146638,1.648075941175919,33460,0.20125869771383975,0.01909144439379853,0.35698946166104367,0.03135608570302406,3.5370384647456286,4.745344674764905,0.5564488537997686,0.031633150810253606,4
r2000_c3200,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.11635916753800604,1.699036429961418,132360,0.17778735048088382,0.07944006596054518,0.6544850757001258,0.09158783901207154,3.8993398904721013,129.44800364023203,0.5111489316194613,0.0953604261423104,4
r2000_c3200,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.1604537233769327,1.781244993859101,164355,0.24070686772416258,0.13536559414247593,0.6665938736771077,0.1645286778588285,4.995846656521809,125.45614452700893,0.6248978200126206,0.15451066506436004,4
r2000_c3600,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.01656989163140883,3.0939551271725776,2050,0.24522968406149775,0.07961941486230294,0.0675688658769935,0.0180108092068396,9.563430816722898,2.161530262522013,0.5750741362314202,0.1557930653018119,4
r2000_c3600,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.032129885480409896,2.5324024285289233,8360,0.19556270011328797,0.08211754308554838,0.16429454830495438,0.053498530593667604,9.41119682679292,2.6069944943844123,0.6241773220527305,0.13080050629069231,4
r2000_c3600,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.07145158822580859,2.037078113618889,33460,0.133105087406859,0.09413428070953112,0.5368058397903628,0.27967341675145985,9.116393527827201,2.707171754034832,0.5908356531123764,0.05832162626130635,4
r2000_c3600,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.1289369826926046,1.713647754177614,132360,0.10711643144135878,0.15151942125191756,1.2037087210396058,1.4361652049949285,9.203673816223898,4.208166890794636,0.5345413918094161,0.16682246369140477,4
