chunk,band,r_lo,r_hi,r_mid,fit_success,usable,T,se_T,p,se_p,a2a1,se_a2a1,a3a2,se_a3a2,a3a1,se_a3a1,alpha,se_alpha,n_ok_jk
r1600_c2000,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9340039594122801,0.14169922702487958,0.647231021947277,0.635381673153792,0.3166166775124165,0.23677526293303186,0.6048151323216214,0.06375613353463397,0.19149455770490434,0.1441377579118196,0.6090253756138299,0.08596403879351787,4
r1600_c2000,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9349834387501209,0.15201469440122212,0.5372553488386993,0.673045219201177,0.2909055478250447,0.2189317124716663,0.4978276761938351,0.15731701406329548,0.14482083286563657,0.11509404230683748,0.6335175365531941,0.1104125271203502,4
r1600_c2000,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9300805544473274,0.18412253473613197,0.3645432885122444,0.8750264681462794,0.2886154071026617,0.22682736775072723,0.41556470037954424,0.2667958583572765,0.1199383751775378,0.10455528768529547,0.7037382895385854,0.16762312341194957,4
r1600_c2000,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9744239950094891,0.3300440431885587,0.7146572554016049,2.025795357156585,0.17028641964298105,0.4486379054959516,0.3479779432017894,0.2586219753957568,0.05925591806256133,0.16042739358215727,0.7406014706857332,0.23783422404923016,4
r1600_c2000,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.9739035187475285,0.3994660881961142,0.6588881877404313,2.1058985395630825,0.17087291581907896,0.5116943585699877,0.33023624279783165,0.22761973678349692,0.05642842971600281,0.19475579660812767,0.7880146826715256,0.35037783046497994,4
r1600_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.8795429607724476,0.07601277101881848,0.42217262174083636,0.2753862976079256,0.4640726525804297,0.09690015207483278,0.7078369287548577,0.049437986382528505,0.3284877611216514,0.04414682487601656,0.604109732107976,0.011706579216811069,4
r1600_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.8749870756902106,0.07614013554646962,0.3493661688591312,0.30881967177627273,0.4309221304219823,0.09582924864523133,0.6111201414937877,0.08941907215585279,0.26334519331628625,0.051467125981645774,0.5652188810747623,0.04410074104940302,4
r1600_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9241736512202985,0.065071463744614,0.4686428147394617,0.4197638542106985,0.3144976152756359,0.10117650540967846,0.5025118934758627,0.07213985574927845,0.15803879214580321,0.03144790257544762,0.4806963705426564,0.06628040407153388,4
r1600_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9037117631344359,0.07920899355854048,0.03286621345642571,0.4269749169564681,0.32775895904477165,0.13037920387883617,0.33871013097280195,0.06409479694946943,0.11101527994556383,0.050001624472082645,0.39815929860672944,0.09597980989758609,4
r1600_c2400,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.8747135366088633,0.09077766884117708,-0.3693304239100159,0.6400067877299721,0.36419571686409624,0.12314253434217948,0.25173098133837307,0.07576808401996275,0.09167934520543122,0.01608685248175902,0.44203451820063444,0.10782388153029483,4
r2000_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9609194670940651,0.019468810960149945,0.9409441020813847,0.28423048175095905,0.2645115259843701,0.054101237018884446,0.6777841869463078,0.14058497868973316,0.17928172957724348,0.05854624928161698,0.6367144567136326,0.0631244433480538,4
r2000_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9764584264625781,0.010785462620636212,1.178247880569213,0.26110575453049867,0.20043530667618795,0.033442865003146256,0.6511495994563086,0.1250353428326738,0.13051336965910215,0.03480516313449136,0.6247254683139539,0.09269828410126449,4
r2000_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9855700318719963,0.017994126063096073,1.3574705830075104,0.5212423154126246,0.14486402977026802,0.058291814468058645,0.5629924173566642,0.16950904456825563,0.08155735030839097,0.028903338050732738,0.5017126193352858,0.2303015833721847,4
r2000_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.7413486588186752,0.32473163641053054,-0.7015198664790125,1.4260811464887417,0.5216805126021242,0.3942706074073255,0.2586654399918247,0.0801315211579362,0.1349407193273891,0.09347575060664869,0.37239479396608227,0.08409730066898582,4
r2000_c2400,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.18310458462200874,0.3421580183193853,-1.4222356725164864,0.41328498863804947,0.9078154896874495,0.20350185112816943,0.21894169910565522,0.0598453196305775,0.19875866578660265,0.049703218992469614,0.4564835760732483,0.11163479668717324,4
r2000_c2800,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9626436010640393,0.02536245768363759,0.9689303902946973,0.6577934109418949,0.2781288771736949,0.14250239049735033,0.7329041896978785,0.18643011514945818,0.20384181935656767,0.12992559283667368,0.8750465079741642,0.04940008993678193,4
r2000_c2800,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9766445191898576,0.014119947345161402,1.1970573804470241,0.2855702848243174,0.21482874748626538,0.033875139003473484,0.7111608023406719,0.22072426016089172,0.15277778442817408,0.06596098741838563,0.8823090818620862,0.027636757497774268,4
r2000_c2800,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9718200494227123,0.031121469275177872,1.1032980977620248,0.5879776980015725,0.2295617879807633,0.0481651514232552,0.691919984572386,0.24449543498224313,0.1588383887980591,0.03704247057259195,0.8337753230587854,0.12218520547812783,4
r2000_c2800,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.9774413468341984,0.09475989129549102,1.1546662200740672,1.0684259310298374,0.2604172699595207,0.1512599922209605,0.8262946665740487,0.3387358900740497,0.21518140125132618,0.022090594962401712,0.6355153707313868,0.24971024547051004,4
r2000_c2800,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,False,0.9645938367890439,0.05923966989321944,-3.048683067270443,1.2880232161626617,0.18817248173567186,0.1677923423884124,0.00892339010492604,0.45292676744396865,0.00167913646153947,0.08690488797816541,0.1061898089491311,0.11043313405333846,3
r2000_c3200,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.9776228777231253,0.038801371589875365,1.1623136388469524,0.38795021409682157,0.2574392505705679,0.05278003032827661,0.8231162243040145,0.17435088789878161,0.21190242391730096,0.016303619094053163,0.6419060800140374,0.08967180489090537,3
r2000_c3200,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9988724958384466,0.013504556654686214,1.6390281133873192,0.19708750972078184,0.1912607212887101,0.022068368703242622,0.9850236426246525,0.08799589063020113,0.18839633237482364,0.01042614694527636,0.5995826105933671,0.05410928027295788,4
r2000_c3200,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9915945726688791,0.027049876347601087,1.569391565126633,0.40070484032515724,0.17985090616372712,0.04731090030426396,0.8639542134409215,0.18491497187299288,0.15538294817131984,0.04112415947846883,0.573483315555003,0.12107625234482268,4
r2000_c3200,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.8841305897077509,0.09626575895784051,-0.05850440075508634,0.11963396368415197,0.3590916429087005,0.08533745869079856,0.33868593342372977,0.025406667932411954,0.12161928826319389,0.039383632312434635,0.4389481166236277,0.10264882562365447,4
r2000_c3200,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.7004716057240459,0.13424982813026964,-0.4982772248457503,0.2859799944749356,0.5720263681210415,0.09393339994393182,0.3475497650697561,0.07212205354911187,0.1988076298541738,0.04037760762363202,0.5882433399038622,0.14493190794877478,4
r2000_c3600,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,False,0.9999998869540627,,,,0.00033622304704578873,,0.0,,0.0,,0.5720482558722094,,0
r2000_c3600,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.9066312240691344,0.09649610687046295,0.10849836222635467,0.3826011128722348,0.3256255969337092,0.1212987781332313,0.36294329426859073,0.03180809552374186,0.11818362684929674,0.027955824811627214,0.6656766729446503,0.09234015350620142,3
r2000_c3600,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9668834292067204,0.07598127563479454,0.6220820643428748,0.6307788811410479,0.19480284317303165,0.13019629559403068,0.3628792196961905,0.0736870201685151,0.0706899037252291,0.02800158077588744,0.6348611245902087,0.10537696625310494,3
r2000_c3600,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.8179348025131807,0.29681393465933037,-0.8485070724245076,0.8449322256541756,0.43280964612628425,0.3140870479990816,0.1852656873388302,0.11828841720451246,0.08018477657646192,0.11629406741797943,0.4287366545870559,0.13869708844274573,4
r2000_c3600,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.47992963476577255,0.3524797075485509,-1.332596635531145,1.7246058439755683,0.7276202815902352,0.4878943998217946,0.19193997354641526,0.1703344851540575,0.13965941760026496,0.19488028651423142,0.5359599396650147,0.19976407184814135,4
r2400_c1200,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.8769407973184619,0.016636635099455892,0.24452874358071375,0.07694729519002862,0.399239170117982,0.0201027897117576,0.509836152627489,0.016316474541869474,0.20354656247114353,0.005136411782626677,0.6541936383303536,0.08307400396974922,3
r2400_c1200,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.924701119311306,0.044791120560985345,0.37731165409140766,0.2647048236791609,0.303172228694664,0.06910795616441993,0.442133870055563,0.07364803376052646,0.134042710766142,0.042503426523013574,0.6022494344830063,0.12687345247586468,4
r2400_c1200,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.9001963602430489,0.11329926574376462,0.08960739188217459,0.23656620070350762,0.33724393246796536,0.1377962046821702,0.3688587928537816,0.06376507637014692,0.12439538982739594,0.07164475406047081,0.5232227517806859,0.21186048793937856,4
r2400_c1200,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.7746178457289704,0.18893722102984373,-0.3518858376500459,0.4068966093717034,0.4991747176440611,0.12621653604185343,0.35109973639533415,0.1152621464806337,0.1752601117800452,0.09486078273930389,0.5984378183046483,0.1611949581445706,4
r2400_c1200,4,0.1521497464759124,0.5006797572968483,0.2760041632626885,True,True,0.7260868548622461,0.28615008274157056,-0.4031712006241248,0.4536267819472363,0.551218963697284,0.19065531378240463,0.36832324024885754,0.1018935689292682,0.20302675479560098,0.09363647857801927,0.7262446150329641,0.19685016720027626,4
r2400_c1600,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.788991238375436,0.05814724443363762,-0.027180287742324616,0.27423194214701246,0.51234543652349,0.03598580856160032,0.49860728929756826,0.11102242775532181,0.2554591692889566,0.04044531406220252,0.7136387863204611,0.11506612813548338,4
r2400_c1600,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.8186820934396005,0.04526231572376133,-0.22747496401667777,0.225452243630989,0.4501661373613773,0.04801613185221114,0.35857639900762506,0.07600302808740965,0.1614189524902146,0.037971066585738185,0.6596731219275576,0.09562737154092682,4
r2400_c1600,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.7878973525469787,0.0778203844044549,-0.7460585797082935,0.10680669790696785,0.4698259184639325,0.08265102279256391,0.22280649517939016,0.04698353732418116,0.10468026623738674,0.04243844269785536,0.5940315480160121,0.05130266159474972,4
r2400_c1600,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.7878351339399101,0.2313044208405901,-1.0389980924010174,0.19351659422525092,0.46561822031432587,0.1751729950188564,0.16473991148768252,0.030949173298431935,0.0767059044016343,0.05087335501435656,0.5637603336403989,0.03955800502887509,4
