chunk,var_inf,a1_ly,a2a1,se_a2a1,a3a2,se_a3a2,corr_a2a1_a3a2,cov_xx,cov_yy,cov_xy
r1600_c2400,1.9097864248626328,0.8597633194105114,0.386058278377758,0.14610234978524916,0.4162403859351864,0.0957899776763244,0.09037774841032277,0.0213458966127713,0.009175719823230725,0.0012648493163935357
r2800_c4800,1.3225236293323337,1.1444852622097244,0.3338480721788505,0.09148803156923441,0.320708472936043,0.19299995831453567,-0.06366923486228178,0.008370059920413233,0.0372489839094125,-0.001124219540213698
r2800_c2800,1.6146592962162605,1.4955635940787262,0.5139984001542796,0.1420891776087341,0.39150127130962875,0.08035224119885191,-0.4024243469868536,0.02018933439352638,0.006456482665678474,-0.004594552763701328
r2400_c1600,2.320079451198578,1.7323775764961193,0.42407107409201267,0.1588229900053906,0.19055611884544468,0.039561436468869025,0.7957586114295556,0.025224742154252404,0.0015651072554803602,0.0049999627320918075
r2400_c2000,2.4031549535994294,2.2980928178754323,0.34364727819160323,0.5390460388009302,0.35737419843785695,0.13735910226036893,0.6615233730526243,0.2905706319469739,0.01886752297377449,0.048981095706104455
r3200_c2000,3.359597485745171,2.8003273106649997,0.5049317234702796,0.36234817280825354,0.1903206015198579,0.1043297882155749,0.9995437780648226,0.13129619833747996,0.010884704709106711,0.03778646124850596
r2000_c4000,1.6665926926904264,3.0079849455924337,0.7389583610817093,0.28973791917368574,0.2354519929902649,0.1175926666319318,-0.5316123661365614,0.08394806180709724,0.013828035245608647,-0.018112593920788303
r2400_c1200,3.999999991522885,3.301972307738621,0.4564857461443597,0.11215166700726273,0.3300154218506181,0.07603613698076614,-0.5315821662143183,0.012577996412507942,0.005781494126957833,-0.004533109191247155
r1600_c2800,1.3914169484272705,3.308859563378753,0.3758204692361357,0.10165142165890607,0.5519784304780477,0.24200350082029073,-0.9365626505313065,0.010333011525276718,0.05856569440927646,-0.02303944111392323
r3200_c2800,2.6952995701536597,3.4698862526455927,0.5871335532899247,0.254249281168944,0.11510732205228004,0.14401682175732541,0.8130723451667696,0.06464269697492477,0.020740844949081235,0.029771597983904878
r2000_c1200,1.3342670253292712,3.5536677602629108,0.7030554681234703,0.26911971528958967,0.385565341787153,0.05456096623861371,-0.2290883656471759,0.07242542115754981,0.002976899036891145,-0.0033638033702588247
r1600_c2000,3.577543537297484,4.138686703431971,0.1478504809035796,0.4651041157797877,0.3562923059108281,0.2482722724999239,-0.035853759813595336,0.21632183851529818,0.06163912129227647,-0.00414012169439681
r3200_c3200,2.293606195767428,4.354303498025784,0.5966101922621243,0.16409344380999413,0.3371194055810407,0.0632747928374363,-0.11648281089669565,0.0269266583014237,0.004003699408620479,-0.0012094385401535124
r3200_c1600,1.508581420174809,4.569160898398341,0.12022977016578583,0.48494449675109697,0.4232016419330954,0.4219798676806964,-0.06898125111679873,0.23517116492917467,0.17806700872781805,-0.014116103493699097
r3600_c5200,1.3754852190035665,4.621011312660446,0.5321593820680951,0.37959129028447447,0.38238083815625257,0.30012300608741016,-0.649657186548863,0.14408954765983217,0.09007381878294363,-0.0740115967243715
r1200_c2000,1.9341870502550873,4.6501463193406805,0.5576396917111484,0.22751909305480927,0.3862941619593297,0.04777715607446264,0.913806462781096,0.05176493770448296,0.0022826566425635623,0.009933272918760692
r2000_c3600,2.1053292614942083,4.729005380621959,0.36461266509063606,0.4076760463658529,0.2359543209924309,0.08721755304158683,0.5577974553616414,0.16619975878049306,0.007606901558562012,0.019833329236423936
r2000_c2400,3.878593925196658,4.804144669869895,0.5860074974408203,0.16746510730330416,0.2745426868607406,0.08935547422613763,-0.9289386150671064,0.028044562164107178,0.007984400774177945,-0.013900566910303664
r1200_c1600,1.893352770016552,4.823840833581817,0.7560965308502016,0.07555495863334084,0.30894856671969406,0.051000927680299686,-0.310425538255274,0.005708551774085847,0.0026010946242511586,-0.0011961853817709033
r3200_c400,2.2987129399142066,5.128699490189147,0.3470484862640099,0.2842195740849444,0.5316939821266715,0.22159926042972716,-0.14397795668040436,0.0807807662930272,0.04910623222300205,-0.009068141676995453
r2400_c800,3.9999999958074417,5.443811298482468,0.38494991792283023,0.09743043006127793,0.2857027206461793,0.07796265874324526,-0.9319284598268204,0.00949268870192557,0.006078176158315716,-0.007078868350378097
r2400_c400,2.8496325543743746,5.5658786122843065,0.29756589024352126,0.14012219646777282,0.623312968920657,0.3607863373797027,-0.38726805626107014,0.01963422994295313,0.1301667812398607,-0.019578016719920183
r3200_c3600,2.4113167619270053,7.250128804378153,0.4440062570348806,0.2556291786721986,0.24089309302701206,0.07353377584059319,-0.42714266803550555,0.06534627698862283,0.0054072161893746066,-0.008029162499729096
r2000_c3200,3.0875408282414933,7.336303346199526,0.31725698900318994,0.061975988879202866,0.408933562301996,0.05063711002690547,0.5853704114793591,0.0038410231975550776,0.0025641169118769307,0.0018370591630005534
r3200_c2400,3.999999999999999,8.28401967997558,0.17987302509236344,0.3707372766879391,0.14964771846221794,0.1721683049902759,0.9648114134410666,0.13744612832598951,0.029641925243224666,0.06158314889493584
r2400_c2400,3.4599370612272815,8.433263425376817,0.22078237474495532,0.1870124726167182,0.5105148645159063,0.11160686555978404,0.1803022265012445,0.03497366491421877,0.012456092440079707,0.0037632456941050782
r3200_c800,3.732457882919358,20.177945338806776,0.08473616882818308,0.1828877996243827,0.5838378281603812,0.2011064520318933,-0.7308044580119091,0.033447947251448354,0.04044380504885621,-0.02687892694524468
