tier,n,snr_lo,snr_hi,spearman_rho,spearman_p,scatter_about_curve_dex,median_offset_dex,sd_along_diagonal_dex,sd_perp_diagonal_dex,a2a1,a3a2,prolateness_dex,se_prolateness,sigma_prolate
bottom half,42,1.39119,2.28407,-0.2791507981524998,0.07340802643818414,0.21635271740494488,0.21309575627967348,0.4621341885010773,0.2330363479185581,0.4805006033542582,0.5092637389978426,0.009179291215195794,0.03428009044369543,0.267773249614748
2nd quartile,29,2.31281,3.71466,-0.7246305418719211,8.784164394590701e-06,0.1472903722947672,0.11354547948540811,0.13022912949714446,0.14223301137000482,0.2867765088504477,0.6039489210961697,0.34087396345974397,0.035281034424531184,9.66167713106313
top quartile,29,4.02545,6.95587,-0.7133004926108373,1.4044338240013619e-05,0.18986559007669848,-0.008295645956158615,0.13712045330295397,0.2685578978885939,0.2766156723345868,0.5939416006767418,0.3810125367013551,0.03418053355459705,11.147062291838084
