chunk,med,frac_neg,x_med,x_p95,gain_med
r400_c1600,0.0186457295106226,0.7816330197786033,-0.3784756829792457,0.4289595432236686,0.9160495467914824
r400_c2000,0.0216019761501382,0.7203202201710934,-0.2799341283287265,0.538470832248498,0.9331371696957336
r400_c2400,0.0242933429692831,0.6611640625,-0.190221901023895,0.5738187902597013,0.9476535171658804
r400_c2800,0.0248438860841908,0.6556171875,-0.1718704638603037,0.5461806082608051,0.9537787520988732
r400_c3200,0.0283287956637134,0.5488247697918083,-0.0557068112095502,0.7190166788696921,0.9546975349441056
r400_c3600,0.0367009353576729,0.3270112602010863,0.2233645119224331,1.105151951109801,0.936092023433105
r800_c1600,0.0162137323072311,0.8269317918928597,-0.4595422564256278,0.3570194932682291,0.8963423965490589
r800_c2000,0.0234546769545847,0.68064375,-0.2181774348471758,0.5473035675214329,0.9438501806036212
r800_c2400,0.0292856109081338,0.520203135039529,-0.023812969728873,0.7657877825254817,0.952673779785523
r800_c2800,0.0262829556387653,0.6007249226029042,-0.1239014787078209,0.7071111569980167,0.946993888202988
r800_c3200,0.0293061057998085,0.519227185269633,-0.0231298066730491,0.7931016156529539,0.9509994605816116
r800_c3600,0.0385811431338698,0.2786953323960434,0.2860381044623272,1.1562991449329587,0.9316140589591846
r800_c4000,0.0467697736916609,0.1406977867735308,0.5589924563886971,1.6078664637938584,0.864597794410137
r800_c4400,0.0525875486348715,0.1126262684227698,0.752918287829051,3.262112758810781,0.7943002527801286
r1200_c800,0.0077604559359617,0.901411496769182,-0.7413181354679416,0.2243956034996964,0.7992287843475112
r1200_c1200,0.0130134929107004,0.8112828241408875,-0.5662169029766517,0.7206799767108671,0.8392952873163422
r1200_c1600,0.0262064988093215,0.5656695471967647,-0.1264500396892807,2.07154529903813,0.8783294932907248
r1200_c2000,0.025675799338656,0.58760875,-0.1441400220447974,2.2958716149350287,0.903425016119172
r1200_c2400,0.0251318419651824,0.6210425,-0.1622719344939173,0.9336972046561176,0.9348985458819568
r1200_c2800,0.0268192250417047,0.5803725,-0.1060258319431739,1.1264070552281449,0.9386731846796814
r1200_c3200,0.0258823778101125,0.60889375,-0.1372540729962494,0.802520833004261,0.9424572725235192
r1200_c3600,0.0287670264912986,0.53246375,-0.04109911695671,0.92059164451082,0.9453647737521284
r1200_c4000,0.0413525957749658,0.23276125,0.3784198591655296,1.4667716040618357,0.912215297797243
r1200_c4400,0.0445022941065532,0.1742514505414186,0.4834098035517736,1.5657201760187252,0.8878975002560112
r1200_c4800,0.0485894889069301,0.1440377530807822,0.6196496302310034,1.795118425532659,0.8409254532777068
r1600_c800,0.0138296508243438,0.8188869512765686,-0.5390116391885368,0.5564886774243462,0.8577867179809815
r1600_c1200,0.0099302286581832,0.88871375,-0.6689923780605577,0.281852051333079,0.8229735804096746
r1600_c1600,0.0158765139045368,0.73594,-0.4707828698487719,1.5904445114240031,0.8343909295793153
r1600_c2000,0.0351227986509297,0.4296475,0.1707599550309903,9.06919841114751,0.8357386685298412
r1600_c2400,0.0453488734660215,0.2893275,0.5116291155340522,4.444065366431555,0.8246670741974018
r1600_c2800,0.033226053230992,0.435115,0.1075351076997336,2.0803379927483365,0.9135677957615078
r1600_c3200,0.029178501054048,0.52199625,-0.0273832981983968,0.8642395838791985,0.9464039450144636
r1600_c3600,0.0354174477984816,0.37915625,0.1805815932827211,1.497674913075281,0.9238483379381448
r1600_c4000,0.0524778538396713,0.143585,0.7492617946557117,2.3619928177085967,0.7943988502554723
r1600_c4400,0.0579374933914977,0.08412375,0.931249779716593,2.486223170679835,0.7307997439268983
r1600_c4800,0.0642443667127037,0.0351925764071636,1.1414788904234576,2.4793725732844796,0.6587852891419261
r1600_c5200,0.0619025253703949,0.0469729049363191,1.0634175123464975,2.781141764075618,0.6847081601356437
r2000_c400,0.0188157725030873,0.730864425627743,-0.3728075832304232,0.6079263172240962,0.8991096590850607
r2000_c800,0.016809905879727,0.78300625,-0.4396698040090981,0.5403163773263296,0.8900117132272651
r2000_c1200,0.0240378780295759,0.61168375,-0.1987373990141335,1.175280676534277,0.8950709334389588
r2000_c1600,0.0297559955561156,0.505415,-0.0081334814628112,1.373737954862942,0.9234175213342996
r2000_c2000,0.0306709912715025,0.4850225,0.0223663757167508,1.4790877013074477,0.9279747997381762
r2000_c2400,0.0529155639109678,0.2365325,0.7638521303655952,6.025602479042041,0.7628751824176669
r2000_c2800,0.1075315875937849,0.020125,2.584386253126166,8.591507555757087,0.3608240951143736
r2000_c3200,0.0986846633170691,0.05412375,2.2894887772356367,8.12379136728196,0.4002281921923191
r2000_c3600,0.0771597635685036,0.04113375,1.5719921189501227,9.4610214753828,0.5366711591891415
r2000_c4000,0.0697923657593794,0.03780125,1.326412191979314,6.62778008070261,0.6019693435909925
r2000_c4400,0.0620210674700804,0.06095,1.0673689156693469,5.219635885545355,0.6833354065153647
r2000_c4800,0.0545344856677122,0.10495375,0.8178161889237414,2.165267780140528,0.7689551489776287
r2000_c5200,0.0479152821948883,0.1670961065217913,0.5971760731629444,1.9870100340575776,0.8397603695414493
r2000_c5600,0.0470212593001118,0.1627867974661803,0.567375310003727,1.716008187715551,0.8559535515607531
r2400_c400,0.0414137761069679,0.3200107361921397,0.3804592035655983,4.369274392441402,0.8503324207746132
r2400_c800,0.0525303180881658,0.2619575,0.7510106029388601,6.954883949210746,0.7485903244546952
r2400_c1200,0.0756277949047786,0.17104625,1.5209264968259537,12.32217666664594,0.5485774840871456
r2400_c1600,0.0775377804713088,0.13275875,1.5845926823769627,10.130156253024415,0.5333529580177518
r2400_c2000,0.0741905922369796,0.11654375,1.473019741232655,9.882196104775364,0.5605496466130564
r2400_c2400,0.0717779811328636,0.12392125,1.3925993710954565,7.240972285186735,0.5819568376514164
r2400_c2800,0.1168894189292881,0.0050425,2.8963139643096056,8.915630659328606,0.3263613959021955
r2400_c3200,0.141302436179749,0.002385,3.710081205991635,12.528352321055236,0.2602481487528787
r2400_c3600,0.1233388352090809,0.003315,3.111294506969365,8.93658537188365,0.3059928315933413
r2400_c4000,0.1015260082422326,0.00751,2.3842002747410875,7.3422375242563005,0.3866780446593041
r2400_c4400,0.1060370923938404,0.0145175,2.534569746461348,8.487350424991755,0.3670115545621607
r2400_c4800,0.0761136831702839,0.0327625,1.5371227723427972,5.029125363601203,0.5452829562375991
r2400_c5200,0.0697629761634896,0.041475614566393,1.3254325387829882,4.622912968788573,0.6018319592209522
r2400_c5600,0.0653305375030395,0.0407240510529786,1.1776845834346528,4.590913641840415,0.6471211785865637
r2800_c400,0.1020405538295355,0.0297086738729238,2.401351794317851,8.815348882995076,0.3844238899962907
r2800_c800,0.1778758510273685,0.00729625,4.92919503424562,11.726987336322132,0.1988226240726
r2800_c1200,0.1963932872248393,0.00717,5.5464429074946455,14.853517951012364,0.1774348995358212
r2800_c1600,0.2026367885997206,0.00340125,5.7545596199906885,12.190101929247348,0.1712093938072995
