band,r_lo,r_hi,r_mid,n_windows,p_median,p_se_median,frac_prolate,T_median,T_se_median,a3a1_median,a2a1_median,a3a2_median,alpha_median
0,0.0095999999999776,0.0382182883730466,0.0191545182236566,24,0.5050672569433505,0.29169579030299875,0.8333333333333334,0.911878462410264,0.04525358210269015,0.2108853444482186,0.3714867919911981,0.6048888809560387,0.718496449401689
1,0.0191545182236566,0.0762555105333533,0.0382182883730466,27,0.758111424820413,0.3197461381884285,0.8518518518518519,0.9538616414718868,0.0342874078902292,0.1448208328656365,0.2677899718693559,0.5148103017189996,0.6619850640893413
2,0.0382182883730466,0.1521497464759123,0.0762555105333533,28,0.7520892906117016,0.43944901325943353,0.8214285714285714,0.9670655421380965,0.04770487307553005,0.12216688250246685,0.22869115371960486,0.443681177326275,0.5831389103944419
3,0.0762555105333533,0.303578655375457,0.1521497464759123,28,0.11548821944045115,0.7059273424996494,0.6071428571428571,0.9308921842165216,0.09586867348051895,0.09109935213050364,0.2847447520129732,0.3386980321982658,0.42555578027856766
4,0.1521497464759124,0.5006797572968483,0.2760041632626885,28,-0.3743318958404823,1.001257238221861,0.25,0.8505214327805858,0.2389818419283528,0.10776435591115985,0.3944000343030073,0.3159138954643821,0.46064673393221095
