chunk,band,r_mid_2d,r_mid_3d,b2b1_meas,b2b1_pred,b1_meas,b1_pred,pa2d_meas,pa2d_pred,a2a1_3d,a3a2_3d,usable_2d,usable_3d,usable_both,d_b2b1
r1600_c2000,0,0.01915451822365661,0.01915451822365661,0.45799979985816314,0.4526767615094936,0.04082917817036809,0.04189210389719462,10.091695551746309,10.201266350344556,0.3166156782630884,0.6048151282995355,True,True,True,0.00532303834866954
r1600_c2000,1,0.03821828837304667,0.03821828837304667,0.3938485802769634,0.37899048098436416,0.08897984870984461,0.09121416296111014,10.122926373921757,10.582483735864225,0.29090015744488285,0.4978263780136547,True,True,True,0.014858099292599236
r1600_c2000,2,0.07625551053335333,0.07625551053335333,0.3376615587753612,0.3241989515370433,0.2038185584329326,0.20246235843108176,7.6319238890926675,8.049644424409477,0.2886244412634488,0.41556906519084685,True,True,True,0.01346260723831788
r1600_c2000,3,0.15214974647591237,0.15214974647591237,0.20544965493024805,0.2391425538191131,0.700932202018255,0.5889094713826704,5.355048369745648,5.463547763989816,0.12661059318082385,0.33851596184364424,True,True,True,-0.033692898888865036
r1600_c2000,4,0.26240258229115665,0.2760041632626885,0.11570596631631573,0.191822104243784,1.444609026494372,0.9413223040228231,4.379594109282922,3.6645883129080334,0.06863295599019435,0.28294165056303,True,True,True,-0.07611613792746826
r1600_c2400,0,0.01915451822365661,0.01915451822365661,0.5826235229131084,0.5801846561678003,0.035728486005130074,0.03587329406773659,15.6140375399987,15.812019918113572,0.4640593361682514,0.7078363718064121,True,True,True,0.0024388667453080215
r1600_c2400,1,0.03821828837304667,0.03821828837304667,0.505632771124863,0.49815536313878195,0.07658767351882079,0.07670606867927758,14.26078941939287,14.95514475139614,0.43090800899123327,0.6111172874815434,True,True,True,0.007477407986081097
r1600_c2400,2,0.07625551053335333,0.07625551053335333,0.40268844129261344,0.40416309296567443,0.18554588667253621,0.17858467561991592,10.249952459384344,11.235476957367657,0.3100056542877683,0.5032970687990242,True,True,True,-0.0014746516730609893
r1600_c2400,3,0.15214974647591237,0.15214974647591237,0.18563765732070903,0.245642793906688,0.7016528340713416,0.5466126673294476,6.705914582383624,7.3421873427154,0.21560736370436545,0.31602036894078084,True,True,True,-0.060005136585978974
r1600_c2400,4,0.26240258229115665,0.2760041632626885,0.09084754735873873,0.14635589825876893,1.8963883440344231,1.1345445838082917,6.132203796919026,6.42585582479526,0.17531699291193462,0.19381015033663518,True,True,True,-0.0555083509000302
r2000_c2400,0,0.01915451822365661,0.01915451822365661,0.5651024849558989,0.565147462173495,0.03710249291565451,0.040463684027851755,5.825951986087356,5.944672398664527,0.2678810091271955,0.6793050346367314,True,True,True,-4.49772175961094e-05
r2000_c2400,1,0.03821828837304667,0.03821828837304667,0.5529628888688465,0.5530471452438556,0.07558676125371765,0.0862518501391101,7.90866922205897,7.679982745929572,0.1755363052668118,0.6642434826812419,True,True,True,-8.425637500908412e-05
r2000_c2400,2,0.07625551053335333,0.07625551053335333,0.6550210425218693,0.6720056212839453,0.13709176264523903,0.15000291510247266,7.23638577439246,6.638060599611586,0.10853523359235087,0.5641219694575341,True,True,True,-0.01698457876207593
r2000_c2400,3,0.15214974647591237,0.15214974647591237,0.6381092795525937,0.7363497691952813,0.2388876055994904,0.2594090055638857,90.61770715067908,93.48211062697983,0.5216651392065969,0.2586442919114062,True,True,True,-0.09824048964268761
r2000_c2400,4,0.26240258229115665,0.2760041632626885,0.3825845892209016,0.588575762485056,0.43190365904568534,0.4196012216216727,91.86445334272715,95.13864023810663,0.9078136489450631,0.2189404081660155,True,True,True,-0.20599117326415445
r2000_c2800,0,0.01915451822365661,0.01915451822365661,0.4581207837350632,0.45653485992251597,0.04236022664644964,0.049565021383147,6.992717784429949,6.934650625129719,0.30421632636988793,0.7474871278048311,True,True,True,0.0015859238125472408
r2000_c2800,1,0.03821828837304667,0.03821828837304667,0.41523295822232786,0.37434461586732964,0.09608927229808545,0.12955909538057697,7.378584521471327,6.472573231903097,0.17280888957922408,0.7550221090353088,True,True,True,0.04088834235499822
r2000_c2800,2,0.07625551053335333,0.07625551053335333,0.3760163935604939,0.31013433247818745,0.21162815899934478,0.3000095512922975,8.413693179913071,6.453309147902012,0.06158226254114071,0.7837104451420385,True,True,True,0.06588206108230643
r2000_c2800,3,0.15214974647591237,0.15214974647591237,0.03228133001297679,0.04312718375945212,5.313781502424528,3.2277802458889595,8.77858666177905,8.117669974351475,0.3227110637507807,0.04311842851791293,True,True,True,-0.010845853746475329
r2000_c2800,4,0.26240258229115665,0.2760041632626885,0.014841940297509603,0.7191774440623435,57.378316058318795,0.3497822114744288,10.001145617973034,28.996026048506018,0.03493270026496925,0.7185423836472983,False,True,False,-0.7043355037648339
r2000_c3200,0,0.01915451822365661,0.01915451822365661,0.28079989330019006,0.2728775355344588,0.06235886947392852,0.07618699410119643,3.8418569420915185,3.8678203801167097,0.25677408400851026,0.8306578172374508,True,True,True,0.007922357765731247
r2000_c3200,1,0.03821828837304667,0.03821828837304667,0.23313233207056996,0.23204990321175728,0.14772273518804954,0.17710216409658391,3.984936572445934,3.9781041257736516,0.1912585750387237,0.9850220526317116,True,True,True,0.001082428858812684
r2000_c3200,2,0.07625551053335333,0.07625551053335333,0.20125869771383975,0.14292819249448133,0.35698946166104367,0.5265287755794843,3.5370384647456286,2.9261202303518483,0.14329051978717458,0.6911977310098498,True,True,True,0.058330505219358425
r2000_c3200,3,0.15214974647591237,0.15214974647591237,0.17778735048088382,0.15251529977894415,0.6544850757001258,0.7675474245185386,3.8993398904721013,3.222983667794418,0.3590705491515529,0.33868926720427467,True,True,True,0.025272050701939663
r2000_c3200,4,0.26240258229115665,0.2760041632626885,0.24070686772416258,0.2437140637210011,0.6665938736771077,0.6819904333428751,4.995846656521809,5.768300887317295,0.5720218373555759,0.3475467957617377,True,True,True,-0.0030071959968385187
r2000_c3600,0,0.01915451822365661,0.01915451822365661,0.24522968406149775,0.2528937695049334,0.0675688658769935,0.07758028767337093,9.563430816722898,9.525340664347508,0.429235698791456,0.3442366732738402,True,True,True,-0.007664085443435664
r2000_c3600,1,0.03821828837304667,0.03821828837304667,0.19556270011328797,0.17535154789667556,0.16429454830495438,0.23312366532945705,9.41119682679292,9.398289781006579,0.2435825495905959,0.39675622947121014,True,True,True,0.020211152216612405
r2000_c3600,2,0.07625551053335333,0.07625551053335333,0.133105087406859,0.06785960929602122,0.5368058397903628,1.1252829826242885,9.116393527827201,9.24457543805292,0.08801321211940447,0.38359123909334314,True,True,True,0.06524547811083778
r2000_c3600,3,0.15214974647591237,0.15214974647591237,0.10711643144135878,0.09282153132747958,1.2037087210396058,1.404956824735661,9.203673816223898,9.155643937403267,0.4327832141809882,0.18525962679651753,True,True,True,0.014294900113879197
r2000_c3600,4,0.26240258229115665,0.2760041632626885,0.10486961896056589,0.16397115776305446,1.799560979326496,1.1199492844837502,8.954932000784492,8.991926416567992,0.7235660612249023,0.18964408234958582,True,True,True,-0.05910153880248857
r2400_c1200,0,0.01915451822365661,0.01915451822365661,0.26293413724616177,0.2656735356169994,0.06673190920358159,0.06887673600499997,176.91624683973544,176.93459173001682,0.3992363950788279,0.5098349877747843,True,True,True,-0.0027393983708376424
r2400_c1200,1,0.03821828837304667,0.03821828837304667,0.20328882150725344,0.1803723667096882,0.16316598189399897,0.18701449218177926,176.76108551903678,177.02479226391773,0.28227327743376507,0.4432683179923911,True,True,True,0.02291645479756524
r2400_c1200,2,0.07625551053335333,0.07625551053335333,0.15790973429325839,0.16109259934913864,0.41018262295742963,0.3851259894177283,177.28963630976043,177.45708483038473,0.3108901243919272,0.368214027552411,True,True,True,-0.003182865055880252
r2400_c1200,3,0.15214974647591237,0.15214974647591237,0.1758641623757047,0.1964865867866995,0.7065529809922922,0.6010014384451746,177.6502247118149,177.21166669949557,0.4992083260272108,0.35111353696459574,True,True,True,-0.020622424410994794
r2400_c1200,4,0.26240258229115665,0.2760041632626885,0.22701962391831962,0.2248266257054471,0.8303970228695343,0.8240106773626016,176.90797268082528,176.2913674122671,0.552537532247427,0.3692949111358229,True,True,True,0.0021929982128725267
r2400_c1600,0,0.01915451822365661,0.01915451822365661,0.279301730137135,0.27767202305981525,0.06161012176115375,0.06257154794636376,4.454250366205314,4.4830857029268705,0.5123452005182582,0.4986074349829173,True,True,True,0.001629707077319742
r2400_c1600,1,0.03821828837304667,0.03821828837304667,0.21050975529598903,0.18111927762590388,0.1600519570706279,0.17365295652322615,4.389157706997696,4.552635183965022,0.4501655249300643,0.35857644375071457,True,True,True,0.029390477670085152
r2400_c1600,2,0.07625551053335333,0.07625551053335333,0.12565704482900988,0.10880265746309763,0.5763470260689848,0.6135103442884614,4.411290586974488,4.6968608616882035,0.4449741500890104,0.21658171048173486,True,True,True,0.016854387365912257
r2400_c1600,3,0.15214974647591237,0.15214974647591237,0.04153853808446124,0.04375344593544521,3.3346948173091007,2.9976365502331612,4.284519694040994,4.685073689119406,0.2924259783398324,0.12041371581697158,True,True,True,-0.002214907850983966
r2400_c1600,4,0.26240258229115665,0.2760041632626885,0.028570673664388143,0.03182424098266326,5.834828026787614,5.1626829985060185,4.184367105780679,4.549725917504307,0.2134206143681933,0.10402367203890707,True,True,True,-0.003253567318275117
r2400_c2000,0,0.01915451822365661,0.01915451822365661,0.3370076002078129,0.33410622656422145,0.05208503380581739,0.055180193799584665,9.987461209444387,9.963300291463499,0.4352983994219417,0.6404763839680843,True,True,True,0.002901373643591443
r2400_c2000,1,0.03821828837304667,0.03821828837304667,0.26008560687200183,0.23309949800072802,0.12941878853286198,0.14503692157731027,9.931308168166485,10.152149817408308,0.3328669617987331,0.4888003397531552,True,True,True,0.026986108871273812
r2400_c2000,2,0.07625551053335333,0.07625551053335333,0.2413203028786321,0.21433610109917023,0.284237475784495,0.3076922169430436,10.559050553638201,10.910560228747078,0.32131238674030427,0.421917084292623,True,True,True,0.02698420177946187
r2400_c2000,3,0.15214974647591237,0.15214974647591237,0.2168600978612859,0.17442221533106114,0.6023237424328739,0.7084989690956486,11.928420418381544,12.087635577341562,0.30224363167212726,0.3505405489535451,True,True,True,0.04243788253022476
r2400_c2000,4,0.26240258229115665,0.2760041632626885,0.17865258796906205,0.13115576745335453,1.0437170501181898,1.3774831379611567,12.986914032993921,13.376895885100424,0.31045462483004044,0.2660097694414551,True,True,True,0.04749682051570753
r2400_c2400,0,0.01915451822365661,0.01915451822365661,0.8563527765005635,0.8552318619813143,0.02954183137627584,0.0326704163949462,171.19417228627452,171.22047219593168,0.27359223591191684,0.5104198011199327,True,True,True,0.0011209145192492276
