chunk,n_bands,n_ok,n_degenerate,r_min,r_max,slope_b2b1,se_slope_b2b1,b2b1_first,b2b1_last,slope_b1,se_slope_b1,b1_first,b1_last,slope_pa2d,se_slope_pa2d,pa2d_first,pa2d_last,slope_alpha,se_slope_alpha,alpha_first,alpha_last
r1600_c2000,5,5,0,0.009599999999977628,0.45254833996038263,-0.25083458022636207,0.044710885277729505,0.45800151430653746,0.1820046151563606,0.6727554041766005,0.9109671296965542,0.27562579664900916,1.102369586881746,-5.125095415756438,133.5066378485311,10.091569976061626,5.0638105476199335,0.10135761065726037,0.27056182252421807,0.6151497522362038,0.721582946542652
r1600_c2400,5,5,0,0.009599999999977628,0.45254833996038263,-0.41510380896468296,0.17351076324135678,0.5826249062381542,0.12433144004997589,1.286892579588871,1.0058420367538217,0.19475617953118468,1.945650483012425,-9.543692600891237,11.171014053604994,15.613937640544595,5.947333568268052,-0.29062213324225417,0.10324711399458454,0.6041352782415846,0.29129620183045335
r2000_c2400,5,4,1,0.009599999999977628,0.45254833996038263,0.26093763813137283,0.13138729496625637,0.5641825538843357,0.8102218640507992,-0.01207507891387116,1.346408565772139,0.06636463466988834,0.045229170392565625,1.803809073659181,29.107461567127036,5.811030392820916,7.305710557985838,1.217740130299861,0.17366301695495395,0.6385331999887003,1.8769624648785372
r2000_c2800,5,5,0,0.009599999999977628,0.45254833996038263,-0.25684047369865487,0.11030232595527033,0.4579602967550211,0.15963427076191822,0.2168036149298093,1.4497424443134566,0.0771154181537108,0.3705920643972604,3.068413004603581,79.42094293172683,6.994962578879679,10.811347374573872,-0.5880969087265333,0.10950515176004956,0.8781933190123954,0.16335395528959593
r2000_c3200,5,5,0,0.009599999999977628,0.45254833996038263,-0.0500261966403812,0.1381782598706053,0.28080072698048436,0.24070706226162245,3.9159785516626764,1.0947608183180695,0.3555305899158111,3.831793759336072,0.7334300188801937,134.14218481164104,3.8417423157741024,4.995817346686306,-0.05253738562568483,0.12607126163387258,0.64596005655035,0.624897279194433
r2000_c3600,5,5,0,0.009599999999977628,0.45254833996038263,-0.11078226886534924,0.12229232267234845,0.24523009602696008,0.12425318581724486,3.104234565049977,8.427745364685547,0.43467224949764366,4.076738179497492,-0.4377128503851224,3.719000263569214,9.56340086132077,9.025684337467773,0.021492973592592262,0.329824291043049,0.5750736091653388,0.5998831362597014
r2400_c1200,5,5,0,0.009599999999977628,0.45254833996038263,-0.03996948408119637,0.12912040996875454,0.26333266174598424,0.22683915592405096,2.319874766930285,0.3283918946774477,0.1553565913913952,1.9763373723755957,0.3365282563141019,133.79797184046342,176.91651208688012,176.90951810525158,0.030764038669820238,0.2538497671463197,0.6455085137107732,0.7154766988858475
r2400_c1600,5,5,0,0.009599999999977628,0.45254833996038263,-0.19145385596676165,0.03816329369811651,0.279303051378582,0.0639974772252873,0.9869071660121733,4.996716230019204,0.41773030931072747,1.7373449020205587,-0.04515704256123406,2.9665006293538125,4.45414163224126,4.318191410689692,-0.1140472313088817,0.18281265349618742,0.7112401565038596,0.5964619924115272
r2400_c2000,5,5,0,0.009599999999977628,0.45254833996038263,-0.10995043251837815,0.2037553684098574,0.337702257321897,0.2043467753948568,1.1391465324681227,1.333139518011398,0.11117009123250647,1.302781141670489,2.9751457272648794,5.3408165048368,9.987125324017425,13.320555100999625,-0.13046346686493035,0.2835997401094361,0.6780490097522315,0.5283965914444256
r2400_c2400,5,5,0,0.009599999999977628,0.45254833996038263,-0.4616979288208752,0.12536836142590918,0.8497204072345443,0.3476211809364365,2.604428238435084,0.6485382826280609,0.04308108014594316,3.1023287945035953,-11.18129967925583,70.35810850591908,171.7610707486754,156.32719994915715,-0.25519059069882327,0.19578626143522268,0.6299733820981198,0.39219036616643366
r2400_c2800,5,5,0,0.009599999999977628,0.45254833996038263,-0.15772407320524962,0.27689768051262814,0.503565282848187,0.30506546529313733,2.49836123990734,1.134724968856076,0.06935562175681322,3.8379349109190164,-97.4087368209507,121.77885350138031,159.04475839644726,15.26547312217483,-0.5214992435319341,0.07566911531842871,0.8313772455165702,0.07688019738608828
r2400_c3200,5,5,0,0.009599999999977628,0.45254833996038263,-0.08162967268342554,0.13246143685802203,0.2824277759329363,0.17941658133614038,0.09142115547832064,1.1306558745849256,0.11543289213621917,0.21206584014892346,-1.7118866248565758,12.862219783024212,174.64178914058186,172.66100086894238,-0.08461411049525071,0.11608410037153066,0.8399747809894362,0.7664495252621922
