row,col,true_tilt,true_ang,sigma_w,ok,ang,a1,a2,a3,a2a1,alpha,beta
3200,2400,0,0.0,0.0,True,6.923993732323493e-05,0.3089868311265879,0.15422328011173864,0.15422327854809512,0.49912573797863685,0.6577527722052182,1.5726180585232008
3200,2400,0,0.0,0.01,True,0.0002440374235616041,0.35645096288803446,0.17567979768627529,0.17567979644002207,0.4928582497375899,0.686442136001826,2.232114613387548
3200,2400,0,0.0,0.02,True,0.00013124808761750748,0.4038080306722616,0.19318660051133488,0.19318660037823623,0.47841198251980493,0.6737093622520408,2.9336003918449585
3200,2400,0,0.0,0.03,True,6.143611832885503e-05,0.4501405315545811,0.20698408579815852,0.20698408569415142,0.45982103651792794,0.6569369173849668,3.65205086190136
3200,2400,0,0.0,0.05,True,1.4763126439582163e-05,0.555107004557228,0.22854628049539957,0.22854628032956942,0.4117157207873747,0.6201544642439756,5.14347954466934
3200,2400,30,29.999999999999996,0.0,True,29.937216905408416,0.31398625625268484,0.15675747377880195,0.15660993627241063,0.4992494755969483,0.6508303807932582,1.6198046980811902
3200,2400,30,29.999999999999996,0.01,True,29.075797108904915,0.36968121451222385,0.18379779763766743,0.18240075439822986,0.49717916524424854,0.6807883322629283,2.521595229841609
3200,2400,30,29.999999999999996,0.02,True,27.5237659286246,0.4163096269055654,0.2060507017616099,0.2008691349514118,0.494945801021195,0.6669948349682667,3.487429176856682
3200,2400,30,29.999999999999996,0.03,True,25.87673644721353,0.45874501818418667,0.225121008461094,0.2154672227444794,0.49073232304989883,0.6470415580255288,4.500477746009135
3200,2400,30,29.999999999999996,0.05,True,22.00642886319837,0.5530955698366593,0.25837406233280397,0.23824136728616652,0.46714180409925765,0.6022111941282186,6.675342052112717
3200,2400,45,45.0,0.0,True,44.84540234092267,0.3214281264289517,0.16073442172361546,0.16038667841026055,0.5000633376716773,0.6401401189474104,1.6998949944946549
3200,2400,45,45.0,0.01,True,43.56412501259024,0.38145944436373197,0.19166121867355637,0.1886532821623468,0.5024419279833119,0.6709548802966447,2.8534711615185957
3200,2400,45,45.0,0.02,True,41.685592701723984,0.42550605853182183,0.21753759480492452,0.20714745132233306,0.5112444122547218,0.6571408052670892,4.0860319653907755
3200,2400,45,45.0,0.03,True,39.80383191473013,0.4632555303610834,0.2408944818467134,0.2220032984067988,0.5200034668964422,0.6352046315038908,5.392347972364132
3200,2400,45,45.0,0.05,True,34.53679724070435,0.5452412707045442,0.28517402086582966,0.2451738007492981,0.5230235423986458,0.5850406722998875,8.274787782100224
3200,2400,60,59.99999999999999,0.0,True,59.74026368806476,0.331276950048032,0.16634201097157747,0.1658195144579333,0.502123709323753,0.6253142960152009,1.8300743832461812
3200,2400,60,59.99999999999999,0.01,True,58.0815729030927,0.3911918635784545,0.20063302770088925,0.19517840889564106,0.5128762798530236,0.6573019054249395,3.293704532989507
3200,2400,60,59.99999999999999,0.02,True,56.30781877992948,0.4305345050804514,0.22981822489643744,0.21332747930755738,0.53379745916879,0.6440199155672874,4.870010478211968
3200,2400,60,59.99999999999999,0.03,True,54.53694546408489,0.4627654083961833,0.2568418254463798,0.22771115790916427,0.5550151778554979,0.621989953563575,6.530876794455346
3200,2400,60,59.99999999999999,0.05,True,48.77662926574494,0.5300493862146722,0.31319343484803414,0.25058997431942115,0.5908759504179285,0.5683342943510166,9.99999804012431
3200,2400,90,90.0,0.0,True,89.99768735532898,0.3447437452370115,0.17491766469680686,0.17438927382165736,0.5073845925081276,0.6029338712402668,2.0824667184882637
3200,2400,90,90.0,0.01,True,89.99328309730565,0.39380685591310727,0.21400014025823033,0.20293591077115095,0.5434139529187096,0.6379274869870815,4.021356634381547
3200,2400,90,90.0,0.02,True,89.9933207518926,0.4269295175390145,0.24635473507640093,0.2204488251252269,0.5770384219308239,0.6256874468943057,6.162077618955282
3200,2400,90,90.0,0.03,True,89.99716993503289,0.452772786507941,0.27765557905606963,0.23334414501608744,0.6132338058510942,0.6058255828389028,8.305905025814246
3200,2400,90,90.0,0.05,True,89.97505758192548,0.5049404602346087,0.3518541954418935,0.2562263554510136,0.6968231368870951,0.5507494092562494,9.999999999999394
