chunk,band,r_lo,r_hi,r_mid,fit_success,usable,b2,rms_resid,n_fit,b2b1,se_b2b1,b1,se_b1,pa2d,se_pa2d,alpha,se_alpha,n_ok_jk
r1600_c2000,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.01858684534386811,4.658515136379024,2050,0.4557354258920977,0.21810856218889985,0.040784289058689124,0.00794522983909009,8.649469272779848,5.672967796649514,0.7314416108201005,0.06402384458446347,4
r1600_c2000,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.035379880851293434,3.112721365518768,8360,0.3819630326854887,0.3362893523175813,0.09262645288615011,0.029153787430276006,7.36483762729845,5.444877065809506,0.7075939307927849,0.06479747457511285,4
r1600_c2000,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.07102874674580445,2.024917829505112,33460,0.37312203450937126,0.38245145594513874,0.19036331327685369,0.06415470751438812,5.75029801704124,126.17146402132114,0.8436946529811585,0.15125734637348895,4
r1600_c2000,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.13139973494398696,1.9138039644013762,132360,0.24344490315349107,0.31634131414697514,0.5397514313994076,0.2872396311821709,5.2764221937758045,124.16316537449143,0.6247979692510992,0.08368465714649714,4
r1600_c2000,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.1555153738043803,1.8754526798241566,164355,0.10772723376372811,0.2297427789936007,1.443603148164587,2.6953003314174913,4.8967333972344695,125.97609853810337,0.4016479802926118,0.23369847155627452,4
r2000_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.018992933144063622,11.21055763971077,2050,0.5803562245770574,0.08120806094262227,0.0327263365838886,0.0019172204786224157,8.629123735957902,4.611392758892351,0.7775914552077575,0.07677530666183024,4
r2000_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.03505384035099714,8.48849739280902,8360,0.5531809211123393,0.09751562412902733,0.06336776814448097,0.008891491211226335,11.10403797504838,4.895026507951551,0.5554206328204395,0.04069499850012496,4
r2000_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.072417154416259,5.9831392202903455,33460,0.7194059972928797,0.1766891039780905,0.10066242801528526,0.02500470945124602,12.001170661468468,9.302512668221278,0.3501433075340237,0.04029192605108162,4
r2000_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,False,False,0.01714076307775097,4.02930674639998,132360,0.0018866221413156455,0.13036037633632563,9.085424527986177,0.03676017900467937,71.4079969679878,8.45344162423541,0.0439232470823016,0.029907447280087138,2
r2000_c2400,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.11943654899594668,3.3122333256125263,164355,0.3799133427769638,0.2954533602957907,0.31437840040818055,0.07297861374672698,92.12169576805448,17.443825195946737,0.16693601003659683,0.05058175816459575,3
r2000_c2800,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.019552508085091003,3.80857350997433,2050,0.4540686503691102,0.09960137295320257,0.04306068712120263,0.007197064559677873,5.578163033173309,7.61290053820409,0.9874583801170542,0.04362453722560943,4
r2000_c2800,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.04001806774913474,2.559128642525582,8360,0.42049886710103546,0.1446851743399968,0.0951680750652757,0.028216521669865262,6.8809629442033975,7.722669082862519,0.6974549865209922,0.04752494299512435,4
