model,centre_a2a1,se_centre_a2a1_dex,centre_a3a2,se_centre_a3a2_dex,median_d,sum_d,dof,p_total,ks_p,each_model_at_own_best_centre
measurement only (null),0.28101929174835866,0.024481119077412496,0.6041084975320478,0.014697544181224133,3.259823674301703,115.35075443773582,56,5.306311162357759e-06,0.003656175584096144,True
measurement + intrinsic,0.2853998756693512,0.039194952140307646,0.6008325634880871,0.02473843515750897,1.0090450953380594,50.059483117217795,54,0.6271102873712808,0.7445367619584202,True
