chunk,size,r_split,n_inner,n_outer,w_frac_inner,r_min,r_max,a1_in,a2a1_in,a3a2_in,alpha_in,a1_out,a2a1_out,a3a2_out,alpha_out,ang1,ang2,a2a1_full,a3a2_full,alpha_full,n_blocks_ok,se_a2a1_in,se_a2a1_out,se_a3a2_in,se_a3a2_out,se_alpha_in,se_alpha_out,se_d_a2a1,se_d_a3a2,se_d_alpha,se_ang1,se_ang2,d_a2a1,z_a2a1,d_a3a2,z_a3a2,d_alpha,z_alpha,z_ang1,z_ang2
r1600_c2000,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,0.5861271854912223,0.09599385682783816,0.5383398208175475,0.6892918219297308,11.012881777902127,0.033393217341285905,0.45841119782422,0.6560520996288197,1.9888392064603675,10.089961542980424,0.04987724723373002,0.4969957366452348,0.6950988951615872,4,0.3438716907194734,0.463547641631301,0.22086824762058332,0.36478546589358496,0.07397091803949889,0.0391276453593972,0.20397609647563594,0.21863069256403556,0.03770549938116435,30.030729741154072,35.18853306830157,0.06260063948655226,0.30690184079500527,0.07992862299332748,0.36558738416801606,0.0332397223009111,0.8815616513891311,0.06622680246543809,0.2867400446445332
r2000_c2400,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,0.2387128727297227,0.17579435714177535,0.7331402194686505,0.5815385700396095,0.42873915878713703,0.7386200352177412,0.19112943859348053,0.4613756828763325,17.172466947637446,30.67438467069183,0.5745677064482849,0.2121109761563236,0.4335607476159408,4,0.12328872303314732,0.33545959575018647,0.055500504902611714,0.03923008038938261,0.05699728829127305,0.14817926563451084,0.36381682054048214,0.04896757041627454,0.1903602250825324,7.146727529548421,29.64027976679948,-0.5628256780759658,-1.5470029044831912,0.54201078087517,11.068770132304355,0.120162887163277,0.631239467757402,2.4028433820426507,1.0348885001095929
r2000_c2800,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,0.16361225325573422,0.26196928188959895,0.8515285606726923,0.746311034457889,41.698433675488616,0.007225834547008533,0.24520651268252025,0.059248502084240824,5.306452720253077,22.36065910360417,0.5509595679692959,0.5269088290355723,0.21223175745885978,4,0.05536648516748079,0.16056002446572967,0.047209432376947934,0.1488848171977322,0.027147175782001595,0.039967426846679414,0.11514166638308587,0.1349872446000064,0.05585506836578442,11.771967051015777,40.721483075867596,0.2547434473425904,2.2124349537815253,0.6063220479901721,4.49169882522473,0.6870625323736482,12.300809084579468,0.4507702661124247,0.5491121004101043
r2000_c3200,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,0.22965499155319868,0.17552324750536805,0.7772103407230575,0.6686901512913279,1.8857675382970522,0.26058094806455107,0.24778635201028035,0.32647548711174135,16.225048044027435,32.33252654988412,0.2626273631873617,0.3544762837443981,0.39724034883259995,4,0.053745365834251047,0.3704316439192516,0.17550635223491723,0.11470448451926239,0.0428015554034704,0.13414222227417602,0.3179983796651165,0.22249466059473347,0.1466603187801672,19.28150136398292,29.03515484535708,-0.08505770055918302,-0.26747840869112954,0.5294239887127772,2.379490758554,0.34221466417958657,2.333382792468498,0.8414826074869451,1.1135648052193636
r2000_c3600,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,16.35911470627285,0.003565757076649556,0.38158728098232275,0.7396653269811334,113.029052248904,0.011615556991232512,0.11519644357016245,0.28977694143841726,1.6076276239078477,22.553763812624652,0.004580992360618444,0.24881256334889026,0.37379468935553317,4,0.15012321447612242,0.415199300857592,0.16722184741012078,0.23248992309714342,0.08341263257349735,0.16769621780989313,0.2671987534322392,0.16110731445532564,0.21601917575161972,37.20934720783273,26.969004417758914,-0.008049799914582956,-0.030126637236069145,0.2663908374121603,1.6534993355998702,0.44988838554271615,2.0826317107144265,0.0432049402782706,0.8362846274656378
r2000_c4000,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,0.2567348112435345,0.22872062652801123,0.36132524042634606,0.5880422810083181,9.475682307478818,0.12848457919128653,0.09353919442592551,0.18859781685627852,76.78049813037406,76.18947891295157,0.6624791600368333,0.2147282470862322,0.2994044915086842,4,0.17582874591448683,0.29674151786921554,0.16052657285042138,0.1603951014092455,0.12318055945266156,0.07381054904958906,0.12897941967561533,0.3129011250903947,0.19285374698262367,15.193088624371459,14.78596038570753,0.1002360473367247,0.7771476068726272,0.26778604600042055,0.8558168204830177,0.3994444641520396,2.071229988536494,5.053646432839819,5.152825851379812
r2400_c1200,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,0.23258341253406184,0.2953695213032692,0.3798074579521049,0.6729707061715469,0.9978394649024572,0.23958338882055225,0.5584821015638998,0.4484203915437705,12.345294100334623,18.76401717494793,0.24043321547091157,0.5341701477028967,0.46640534333669736,4,0.20566941008008868,0.29440260679650104,0.060864411392504265,0.05825505098958694,0.06828482150815135,0.11864736064936898,0.27763636991917173,0.10860157368764793,0.17262611207471712,14.562117252603025,14.341495746609745,0.055786132482716966,0.20093236523355346,-0.17867464361179486,-1.6452307047196764,0.22455031462777636,1.3007899669928562,0.8477677995710317,1.3083723975850738
r2400_c1600,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,0.17569659836554707,0.40384841560027585,0.4061801333524367,0.6558493563724166,8.143377389888997,0.19711185358062178,0.09415335103039506,0.31103402674970415,5.69037685141627,8.36716745863744,0.24934454816351068,0.16757605782779839,0.3778863578315491,4,0.22046398568283576,0.35153590370274435,0.10763618435241402,0.07779728666178085,0.028720050662056414,0.07951697676069792,0.13468569372699873,0.12353866915115816,0.10448641333817645,36.6301630488214,34.523629204568174,0.20673656201965407,1.534955616286158,0.3120267823220416,2.5257418140084957,0.34481532962271244,3.3000972911827042,0.15534675190585484,0.24236059914379726
r2400_c2000,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,0.39028736882077525,0.20691812897607414,0.36456056359986,0.6827133295075015,23.413933022761103,0.021890929981864052,0.31010613633349543,0.46938575471003313,1.9797968272919306,1.9677858784516502,0.02001526450535332,0.33352075917729657,0.50206201924721,4,0.33941590705410596,0.3612503031569662,0.11519874889283463,0.3886413510640529,0.07759871304478813,0.047164540848087744,0.2831201418932399,0.4530432907874164,0.11161024670978577,26.854348339432782,37.7030723497955,0.1850271989942101,0.6535289144633902,0.05445442726636457,0.12019696213074806,0.2133275747974684,1.911361914217185,0.07372351033314063,0.052191658552259164
r2400_c2400,400,0.06932911127389038,11601,588274,0.10283862575837656,0.009599999999977626,0.5006797572956955,0.1315196791568049,0.3897648479702996,0.614243425964803,0.5746352889555216,1.254411905578411,0.22399602027613474,0.5058030850088084,0.28957324310038984,2.6807182889957644,43.53416575756966,0.2969016336167204,0.5793439416528992,0.34760056848862386,4,0.06645394438422234,0.17062710110860188,0.19477828895187285,0.1543380520022494,0.05554262727138184,0.08235464118472402,0.18444529519018418,0.11675091772830792,0.10517554899984372,7.129026955256355,23.79012747498877,0.16576882769416484,0.898742510744111,0.10844034095599453,0.92881788910942,0.2850620458551318,2.7103452139389868,0.37602863698238986,1.8299257035649916
