true_tilt,sigma_w,w_align_cos,infl_w,infl_plane
0,0.0,0.9999999999992698,1.0,1.0
0,0.01,0.9999999999909294,1.153612151004588,1.1391263227345316
0,0.02,0.9999999999973763,1.306877801878963,1.252642281270117
0,0.03,0.9999999999994251,1.4568275609460013,1.3421066303704472
0,0.05,0.9999999999999668,1.7965393623193209,1.4819181734786917
30,0.0,0.8665727696073267,1.0,1.0
30,0.01,0.8739775829305017,1.177380242448312,1.168591692339834
30,0.02,0.8868192264591792,1.325884871121666,1.2985391066879612
30,0.03,0.8997350575058451,1.461035344856003,1.405979744778085
30,0.05,0.927141816061168,1.7615279612479213,1.5847705080046781
45,0.0,0.7090121473363239,1.0,1.0
45,0.01,0.7246035155250012,1.1867643588061967,1.1843335759542095
45,0.02,0.7468054340387965,1.323798459267302,1.3225074464126012
45,0.03,0.768240711640323,1.4412414231070136,1.4415053388286512
45,0.05,0.8237622539060283,1.696308523968154,1.6515508367217997
60,0.0,0.8637494674643351,1.0,1.0
60,0.01,0.8488016903871258,1.2099482280886051,1.1783519487935845
60,0.02,0.8320298303701181,1.3859540335027332,1.2938855526500654
60,0.03,0.8144897979539132,1.5489239989997552,1.3875608053410535
60,0.05,0.7521461693418409,1.8887610174946452,1.5687492271889756
90,0.0,0.9999979177575395,1.0,1.0
90,0.01,0.9999999931032836,1.227140497626487,1.148329961157317
90,0.02,0.9999999932051489,1.4126713740911638,1.2457695150900054
90,0.03,0.9999999987801188,1.5921597296174281,1.3203153407358246
90,0.05,0.9999999052450642,2.0176366798896366,1.4647360784064394
