split,quantity,n,median_inner_minus_outer,lo68,hi68,wilcoxon_p,n_positive,median_inner,median_outer
equal_count,a2a1,29,-0.0710304168802806,-0.1405719271791987,0.012835695340861,0.05064401775598526,12,0.2119000676515915,0.2408116620792462
equal_count,a3a2,29,0.1212544657404948,0.0547052535164839,0.1430380201997243,0.014758598059415817,21,0.4584075086522165,0.3614505041946809
equal_count,alpha,29,0.0053574453555206,-0.1305344305609831,0.0629172303182464,0.5082960315048695,15,0.4031609417763064,0.414904711330539
equal_count,ang1,29,13.604478359488308,,,9.729508821556607e-13,16,,
equal_count,ang2,29,29.126109873849195,,,0.00023824129305116063,8,,
equal_dex,a2a1,29,0.127805955246448,0.0626006394865522,0.1608717810013819,0.05337592214345932,21,0.2287696193091979,0.1284845791912865
equal_dex,a3a2,29,0.2224950241326159,0.1518637073066925,0.2677860460004205,0.001068316400051117,22,0.555483864738278,0.3745513235251108
equal_dex,alpha,29,0.3252566383675037,0.2621325726871805,0.3994444641520396,1.3809651136398315e-05,26,0.6624808726540392,0.3110340267497041
equal_dex,ang1,29,7.50351144203511,,,1.5168011614578834e-21,22,,
equal_dex,ang2,29,30.67438467069183,,,4.788678533341088e-07,11,,
