chunk,snr,a2a1_w,a2a1_p,a3a2_w,a3a2_p,b2b1_w,b2b1_p,pa2d_w,pa2d_p,a1_w,a1_p,alpha_w,alpha_p,beta_w,var_inf_w,chi2n_w,chi2n_p,n_w,dchi2,dAIC,ptp_powerlaw,ptp_weibull,rms_powerlaw,rms_weibull
r2800_c2400,6.95587,0.3822048871060832,0.4021504785507735,0.8503568604353438,0.8598254181745847,0.5848288649919586,0.5906627678436598,171.82598567099834,171.63279913670888,0.2518561881209104,0.15379732669141646,0.9131094754902817,0.7335264469559479,1.0,0.9680374765030421,5.271732903186178,5.609624061694733,27938,9440.003186412001,9438.003186412001,0.026575647961281243,0.011483500253045092,0.057028017840868334,0.056006300847338535
r3200_c2400,6.55299,0.404275921885746,0.4042708839292397,0.21865467427157728,0.21865589851441972,0.10691137140923876,0.10691010480172958,0.13350921245273167,0.13342682601536987,3.1786536784299946,0.40942539259153904,0.6617360095988825,0.6617358680086242,9.999999999999998,3.368741094960118,13.652289246010879,13.652287191859918,27938,-0.0573888695575846,-2.0573888695575846,0.114743370637026,0.11471152081092945,0.08015990557403622,0.08016004339554217
r2800_c2000,6.46064,0.37108559873099856,0.4264519984341387,0.8171633530954939,0.7464003016000688,0.4059925327940102,0.3808869672432408,15.566086063424425,16.28543555483646,0.15401740134947906,0.15437389123234155,0.807405149376648,0.6496914521399741,9.999999694898134,0.6740253261444928,28.627362420104973,32.08775436702102,27938,96676.43021294053,96674.43021294053,0.06327592425881215,0.068315863749219,0.11647498280486045,0.11615511069431475
r2800_c2800,5.97031,0.4565247354861618,0.45758149804374015,0.4909698561242445,0.4990973897893829,0.43396831401160096,0.44221544861543116,149.5259464046985,149.1684822286861,0.48569153255184894,0.19643381590720552,0.7871017140486938,0.6824008842975798,1.0000000000006337,1.2420934777029928,2.9733345421978923,3.144625763702275,27938,4785.53414638945,4783.53414638945,0.015927277475223933,0.018802729185108308,0.040663536168652405,0.03978627375880869
r1600_c2000,5.79905,0.2864402637795936,0.2864395202784714,0.4674388214412252,0.46743868440166914,0.36711341964309024,0.36711306482354017,10.07034049773198,10.070350253872835,2.1920664887329013,0.30496823166417764,0.6447703931337504,0.644770389386442,9.999999999999998,3.6864429528818077,1.9471803540144124,1.9471796224449003,27938,-0.0204385890284966,-2.0204385890284966,0.056805912415189536,0.056806219037147804,0.03030160146822698,0.030301632312895684
r2800_c1200,5.54549,0.13318751628112238,0.06482960994124916,0.5230762482783141,0.5728594992596167,0.18068999834543525,0.16449608279507819,177.22806693373713,177.27426208549883,0.5608946698943852,1.1340561084503165,0.8721155288651665,0.6091680147869364,1.2251746521949525,0.8587921875938646,11.014403482165795,12.734947200477997,27938,48068.550402206296,48066.550402206296,0.09544480658753957,0.021699790346399933,0.08024719879959841,0.07532372130979968
r2800_c800,5.51708,0.22633075840222028,0.22498578438735953,0.5226374440199049,0.5304236431749922,0.3914124980022564,0.38743049762437576,168.21543607039888,168.29222550168365,0.639247537482317,0.304420220110505,0.7970945840706432,0.6593202555411163,1.0000000000000002,1.3980477969805192,14.805526958782512,15.202688192990456,27938,11095.890561301547,11093.890561301547,0.019355911364075357,0.03215287272984023,0.08924273699590998,0.08856361143498626
r2800_c1600,5.36335,0.1847892452075888,0.16186760682401166,0.6984152659350911,0.7378004917354088,0.27890923943358065,0.27311833876007824,12.703066443890435,12.57241025081523,0.38899432714853294,0.3765741926249543,0.8152321138147937,0.6151499296038055,1.3775488240586646,0.6400052901010947,13.356459124556164,14.402021527761468,27938,29210.922420749786,29208.922420749786,0.07948223804337953,0.023659069486090645,0.08492051443033517,0.08143447249919375
r3200_c2000,5.24356,0.7545919281156512,0.7545895052934799,0.2141033729604053,0.21410175914693783,0.1662787016615959,0.16627692010745174,5.4618605667245586,5.461883134398085,1.8592170371865526,0.22487546715854695,0.5944888280624615,0.594487942739378,9.999999999999998,2.5214468194173443,7.999698013538513,7.999696918720124,27938,-0.030587036147299074,-2.030587036147299,0.0975231188532455,0.09752317983636255,0.06526077710175887,0.06526088292686022
r2400_c3200,5.19339,0.2871844628644527,0.2595177488516153,0.6418980243591091,0.6802379039110215,0.24504861875887873,0.23879688887543324,173.4482799866447,173.47507225237626,0.31677777849334,0.2650008186005203,0.7786503367447164,0.657746615264394,2.2293650015158413,0.8892872379053933,4.579904090591612,5.457565166162051,27938,24520.095129286914,24518.095129286914,0.06733247264687049,0.01652851676445216,0.053293152585774974,0.048188090329928567
