sig_int_a2a1_dex,pred_2D_sd_dex,tension_sigma,note
0.0,0.17096926107033322,0.4126687920490228,theta in radians (corrected); B=150 per grid point
0.030000000000000002,0.17238925944647435,0.370904133927225,theta in radians (corrected); B=150 per grid point
0.060000000000000005,0.17673758144647467,0.24301231039780383,theta in radians (corrected); B=150 per grid point
0.09000000000000001,0.1836714734941191,0.03907430899649674,theta in radians (corrected); B=150 per grid point
0.12000000000000001,0.1909304873166711,0.1744260975491497,theta in radians (corrected); B=150 per grid point
0.15000000000000002,0.20255099700717472,0.5162057943286681,theta in radians (corrected); B=150 per grid point
0.18000000000000002,0.21500800785440888,0.8825884663061435,theta in radians (corrected); B=150 per grid point
0.21000000000000002,0.22739232678980378,1.2468331408765818,theta in radians (corrected); B=150 per grid point
0.24000000000000002,0.24270449392099144,1.697190997676219,theta in radians (corrected); B=150 per grid point
0.27,0.2571193769557773,2.1211581457581556,theta in radians (corrected); B=150 per grid point
0.30000000000000004,0.26956867494137793,2.4873139688640564,theta in radians (corrected); B=150 per grid point
0.33,0.2811920913305217,2.8291791567800497,theta in radians (corrected); B=150 per grid point
0.36000000000000004,0.29130798298142907,3.126705381806737,theta in radians (corrected); B=150 per grid point
0.39,0.29985411653963023,3.378062251165595,theta in radians (corrected); B=150 per grid point
0.42000000000000004,0.30958573607202633,3.664286355059598,theta in radians (corrected); B=150 per grid point
0.45,0.3192843691219827,3.949540268293609,theta in radians (corrected); B=150 per grid point
