row,col,chunk,central_ok,converged,a1,a2a1,a3a2,alpha,beta,s2_noise,var_inf,rms,se_a2a1,se_a3a2,se_a1,n_ok,floor_frac,degen
1200,1200,r1200_c1200,True,True,3.0108979178113726,0.48958316415375935,0.5361384009467205,1.0698760917308305,9.999999999999998,0.3751149990752122,1.3329733506513435,1.8792608603134826,0.14751577248841466,0.35785312929644897,1.2180578984324024,4,0.28141222695256146,False
1200,1600,r1200_c1600,True,True,4.2452047998734415,0.7146459003246082,0.3506885771637841,0.8946982610608298,9.999999999999998,0.4252117765357299,2.837568062379729,0.9486323274193846,0.11055551839789432,0.059078025967636616,1.3740268612286295,4,0.14985077615340991,False
1200,2000,r1200_c2000,True,True,11.035603691980404,0.5672233990046486,0.3995992207546623,0.504201871034748,9.9999999994352,0.18620678805825464,3.2332465269152837,1.3836662920656733,0.2234363421464558,0.052793227432654855,2.7107567606025005,4,0.057591274438298826,False
1200,2400,r1200_c2400,True,True,0.44585617453220555,0.45632657410701477,0.8659840782692348,0.5612109386400949,1.0,0.2513204572568876,0.36013619269862723,1.0407515563835665,0.18779563796311405,0.3353432546069419,1.3449019949389984,4,0.6978483761203088,False
1200,2800,r1200_c2800,True,True,1.104186682029049,0.33907245441828243,0.325966678931033,0.24752899038059334,3.333406851357142,1.4734607160764468e-06,0.6864819686599077,0.8118788612047977,0.310192035711536,0.05051255300197151,0.7314886244845332,4,2.1463939088637867e-06,False
1200,3200,r1200_c3200,True,True,3.4850049364916353,0.33484645833662485,0.6382458424102938,0.12467920658668614,1.0,6.416783826412293e-05,0.5852618906244573,1.1421516357027746,0.04402028757466347,0.15073504747986946,2.1566779341297755,4,0.000109639529400518,False
1200,3600,r1200_c3600,True,True,0.2869730052608482,0.5735363684021576,0.37443162341023145,0.7936670383567898,1.0,0.2819068631665775,0.2012970254718996,0.5585995719840563,0.22551720057812855,0.23123967469404377,2.3397913736733993,4,1.4004522049230717,True
1200,4000,r1200_c4000,True,True,0.524782624368008,0.6328847601534944,0.5741874417432489,0.42760995305210847,9.999999999999998,0.22030245661542427,0.2668955364736263,0.7119130693725231,0.20675695725539495,0.2663298754906704,2.664729832755628,4,0.8254257809110788,False
1200,4400,r1200_c4400,True,True,1.0153362406779363,0.3596340642050465,0.28331200317449884,0.14960702273035692,9.999999999998808,0.056324282036484784,0.40227571426030406,0.6257852495240909,0.14703716887931423,0.2161312977744214,0.9922038424215005,4,0.14001412474042252,False
1200,4800,r1200_c4800,True,True,5.731492137572291,0.4359437932295653,0.434188530529374,0.6197265502761983,8.361844840208274,0.35137706250703626,0.6262154458802901,1.6630509207960604,0.3658641264589389,0.1443687951243999,64.71507429294685,4,0.5611120977910323,False
1200,800,r1200_c800,True,True,7.8099210590123365,0.4697243134766898,0.0014205642512676922,828204.7186140788,1.0000037812233733,0.3900369433623511,0.10708362124340563,1.5868206363454234,0.03975365649454409,0.0845197298006113,25.222547901496753,4,3.6423585496401967,True
1600,1200,r1600_c1200,True,True,3.882756325914018,0.37348915803710986,0.6807013211288379,0.724752738921673,9.99999999512995,0.2785807179979753,0.3657005028090778,1.1163255569669288,0.06820660798651547,0.330305654410983,0.5199730426325232,4,0.7617728601905004,False
1600,1600,r1600_c1600,True,True,0.7966530212996188,0.3261188343118471,0.578394717239634,0.560333585597374,4.604098300023413,0.1969849917155858,0.8100315039427065,1.2672957321115497,0.20531809925847577,0.21417596565703534,1.384158964466069,4,0.2431818895398401,False
1600,2000,r1600_c2000,True,True,5.778521607837769,0.08997795043829478,0.36663472336229214,0.940811052904787,9.999999999999394,0.28474309893510047,3.260738176704359,1.287748866202463,0.4749622596959773,0.24229039127741955,12.546629784704642,4,0.0873247355366911,False
1600,2400,r1600_c2400,True,True,0.6658145014998924,0.3868876904411209,0.4174338339070726,0.6567520132508925,1.0000000000271099,0.0926001265585981,1.8448337803824986,0.9526777903987791,0.14981237876874318,0.096620830649903,0.7263748877352496,4,0.050194292593340774,False
1600,2800,r1600_c2800,True,True,3.2674398401053337,0.3763945367044636,0.5521067467525158,0.30947707085359955,1.0,1.1409157339464231e-08,1.3879241101973347,0.7719013019487324,0.11070963622191358,0.28184621424001904,6.52747453245002,4,8.220303441405077e-09,False
1600,3200,r1600_c3200,True,True,0.4159666332806935,0.8456753426885549,0.5271754153506649,0.14566243550356434,9.999999999690134,0.06535624220632842,0.36813762362386304,0.7171990110204401,0.14031047489404228,0.21359362426068743,1.9438480686046964,4,0.17753209129503372,False
1600,3600,r1600_c3600,True,True,3.7968133930742622,0.6219483347360764,0.58247491354349,0.43551590949853136,9.999999999999984,0.2434443107392091,0.776472359754341,0.8382566898808571,0.12646640838941817,0.09991072443561569,2.2270928759239514,4,0.31352604852055466,False
1600,4000,r1600_c4000,True,True,0.9322981044922335,0.23380512841581505,0.7749758316586721,0.4835178429511074,9.999999999999998,0.12072945746790402,0.5793338143018993,0.9025608652639251,0.18433701303411304,0.2591217542468378,0.3654283693540209,4,0.20839359707215385,False
1600,4400,r1600_c4400,True,True,3.7758093624448734,0.775712483269049,0.3788002041311701,0.8094114297713344,9.999999999775328,0.2420112644247128,1.2489850203902244,1.015389274665792,0.11581636720915874,0.17263776472903478,1.863689565785686,4,0.19376634665250064,False
1600,4800,r1600_c4800,True,True,0.6066824475769165,0.5824753195412413,0.39453657590002134,0.24907086936683573,9.011584045889597,0.02586748589257716,0.4248511079533796,0.9542428084056074,0.1681905859135301,0.2863644829883678,0.7518811935950912,4,0.0608860031392826,False
1600,5200,r1600_c5200,True,True,1.9905861052119276,0.17190806093163086,0.4814653525366898,0.6822158172027132,1.0000000000628788,0.20697364086194558,0.4896272654742593,1.2375993282230704,0.26024168922300106,0.08084654978325753,8.959530352822496,4,0.4227167387450702,False
1600,800,r1600_c800,True,True,0.3817454791262854,0.5030028390776468,0.6925876155048848,0.14918839005218654,1.0000000000033311,3.753693642486516e-08,0.5172503412034023,2.04121689045823,0.3903095995785119,0.3762843509227787,2.763721501800421,4,7.257015304723448e-08,False
2000,1200,r2000_c1200,True,True,2.565978062148026,0.8066607470914146,0.39906036548985296,0.8253342606287232,9.999999999999998,0.2919015241631035,1.6843691863473567,1.849221799499816,0.1876404795129597,0.139707585345944,1.3027583102457367,4,0.17330020433115814,False
2000,1600,r2000_c1600,True,True,0.6729787674875486,0.19250537726090877,0.6039464290460159,0.28239250364896445,2.9817151975892666,7.184766492276636e-06,0.7000842293563034,1.134625520296337,0.1425600485023117,0.24656419643388267,0.20466000639972237,4,1.0262717243156173e-05,False
2000,2000,r2000_c2000,True,False,3.7502384221886635,0.138422691504484,0.1833797258307203,16914.20771068365,9.999995723736268,0.5772656573061107,0.2869302550186637,1.7585012143196324,0.21894766747425876,0.5752662225088362,0.8775694976772583,4,2.0118675085991256,True
2000,2400,r2000_c2400,True,True,4.351938261380298,0.6200385342516738,0.27428951577057886,0.4586186662360715,9.999999999999998,0.12093493596867379,3.8881639301202164,1.543582290538679,0.3557810603507735,0.09277733325310149,2.948541843276202,4,0.03110335318730624,False
