chunk,n_bands,n_ok,n_degenerate,r_min,r_max,slope_b2b1,se_slope_b2b1,b2b1_first,b2b1_last,slope_b1,se_slope_b1,b1_first,b1_last,slope_pa2d,se_slope_pa2d,pa2d_first,pa2d_last,slope_alpha,se_slope_alpha,alpha_first,alpha_last
r1600_c2000,5,5,0,0.009599999999977628,0.45254833996038263,-0.2869825269882009,0.043623785969951,0.4557354258920977,0.10772723376372811,1.1044577318830986,1.855823158213344,0.040784289058689124,1.443603148164587,-3.3651487907938016,133.74782171272378,8.649469272779848,4.8967333972344695,-0.2493155344332993,0.2196436295048122,0.7314416108201005,0.4016479802926118
r2000_c2400,5,4,1,0.009599999999977628,0.45254833996038263,-0.1524279765148238,0.3573325586086059,0.5803562245770574,0.3799133427769638,0.25034386591292823,0.07973186021388216,0.0327263365838886,0.31437840040818055,74.01225319159295,19.741786200785068,8.629123735957902,92.12169576805448,-0.5326615586642854,0.11076365922964458,0.7775914552077575,0.16693601003659683
r2000_c2800,5,3,2,0.009599999999977628,0.45254833996038263,-0.12775140127826212,0.35202626506369905,0.4540686503691102,0.37741780960215293,0.24734571510811862,0.24783116665030497,0.04306068712120263,0.19146811618607387,5.061663565281473,4.152810205975443,5.578163033173309,8.615161172342196,-1.11763928940403,0.10151013040085012,0.9874583801170542,0.31687480647463584
r2000_c3200,5,5,0,0.009599999999977628,0.45254833996038263,-0.00028962930808155025,0.07567208086718738,0.24410303418076118,0.27001854806182135,0.5863925566896164,0.24365511422227434,0.07357129592969955,0.606593112137178,1.3732133323896123,90.36695032055412,0.8446392082091813,2.7477134487776365,-0.35400770819194205,0.21158696541643823,0.8377219217801434,0.4761578982489597
r2000_c3600,5,5,0,0.009599999999977628,0.45254833996038263,-0.10711243672806235,0.1340982855518608,0.14261255184189564,0.029205640315860475,5.3466465058748645,0.8900213717566275,0.11772025925026462,6.166062240789385,-0.2959082353280691,2.710368615716585,8.670282277200444,8.32374345347039,-0.5202101820688192,0.21773886011169147,0.8821358079105233,0.33879328652639806
r2000_c4000,5,5,0,0.009599999999977628,0.45254833996038263,0.06027255352419086,0.14952784808834957,0.23024638313213827,0.3134710901817023,0.5228136017238292,0.7595961467779391,0.06765923470259826,0.5641151983775969,8.474522147955673,6.205483474163389,6.88355386878974,17.374149742542098,-0.39154184991602853,0.29679598711157723,0.691938822459576,0.2811408660397892
r2400_c1200,5,5,0,0.009599999999977628,0.45254833996038263,-0.11024753185962322,0.24907205372194158,0.24383932903738728,0.1393180358471166,1.18420986337462,1.336690408307353,0.06782805752630978,1.1483398773555675,2.4912905939539254,48.82907069458441,175.40746236304145,178.0414838804132,-0.4501708095795298,0.2509370096622282,0.831359062163279,0.3588045103548241
r2400_c1600,5,5,0,0.009599999999977628,0.45254833996038263,-0.2500285016495519,0.07866801142904271,0.287205155008284,0.020759543419999252,6.532568108643925,2.504558295863448,0.06373707500941135,8.023829514202458,0.16858625047884807,3.939395588760479,6.214080684092653,6.33582932346761,-0.4707939587295949,0.11395674302292433,0.7791840916098939,0.2602702763127608
r2400_c2000,5,5,0,0.009599999999977628,0.45254833996038263,-0.15576369343136337,0.20938445411603465,0.2608815907233046,0.07140367180746823,1.9836082072649361,3.1221669317658245,0.06859844039072722,2.4164294065817136,0.6341503983161195,2.9113481341989744,13.807754896641066,14.402877270799445,-0.36904264143303545,0.20275368386370207,0.855232849464779,0.4051352367762268
r2400_c2400,5,5,0,0.009599999999977628,0.45254833996038263,-0.5283039213142602,0.1747811465426967,0.8600537151319687,0.30428443119591253,0.4811895098326243,0.2562651604969989,0.028973245731042485,0.6000032576067962,-2.9800864571068275,32.7602265871647,166.4781893183057,163.89099861111765,-0.4500539515072749,0.1242043387177402,0.7701826915884756,0.2578489345112562
