row,col,chunk_id,size_ly,pix_ly,flux_mad_std,s2_floor,s2_plateau,snr2,snr,floor_frac
400.0,1600.0,-1.0,,0.001599999999996271,,0.00013487276561108212,0.00040828367167808377,2.027176538037389,1.423789499201827,0.3303408266530536
400.0,2000.0,-1.0,,0.001599999999996271,,0.0001314035551427653,0.00040955128095634106,2.116744295931553,1.4549035349230386,0.3208476233694729
400.0,2400.0,-1.0,,0.001599999999996271,,0.00011636908772477564,0.00035119259671631206,2.0179199956170244,1.4205351088998204,0.3313540456514144
400.0,2800.0,-1.0,,0.001599999999996271,,0.00011022940070122455,0.0003221175883029742,1.9222474789286936,1.3864513979684587,0.34220236554592
400.0,3200.0,-1.0,,0.001599999999996271,,0.00012839389833577591,0.00037788683129049127,1.9431837196985877,1.3939812479723634,0.33976812025258496
400.0,3600.0,-1.0,,0.001599999999996271,,0.00015281914851881525,0.00047072068915923857,2.0802467735336383,1.4423060609779181,0.32464931335771086
800.0,1600.0,-1.0,,0.001599999999996271,,0.00013452239644053086,0.0004076729656133528,2.0305211355164587,1.424963555855538,0.32997625005165354
800.0,2000.0,-1.0,,0.001599999999996271,,0.00011705937207060983,0.0003461845320321185,1.9573414405751393,1.3990501923001688,0.338141543712153
800.0,2400.0,-1.0,,0.001599999999996271,,0.00012248915737346564,0.00037132032005545747,2.031454603963952,1.4252910593853987,0.3298746412670646
800.0,2800.0,-1.0,,0.001599999999996271,,0.00013093115102622913,0.00040224245660047783,2.072167726684825,1.439502596970504,0.32550306134460294
800.0,3200.0,-1.0,,0.001599999999996271,,0.00013011827274056045,0.0004015896139882923,2.086342951915844,1.4444178591792072,0.32400806248030567
800.0,3600.0,-1.0,,0.001599999999996271,,0.00012988265497438343,0.00044765774883425476,2.446632261425097,1.5641714296793356,0.29013829273057545
800.0,4000.0,-1.0,,0.001599999999996271,,0.00014508634198112018,0.0006414265657213036,3.4209989511264354,1.8495942666234764,0.22619322263019492
800.0,4400.0,-1.0,,0.001599999999996271,,0.00018673067004486716,0.0020120797646882163,9.775304154399269,3.126548281155957,0.09280480491975038
1200.0,800.0,-1.0,,0.001599999999996271,,0.0001708862195203758,0.0005354074191503359,2.133122264937788,1.460521230567289,0.3191704362101733
1200.0,1200.0,-1.0,,0.001599999999996271,,0.00015980789764182064,0.0007727160819709797,3.8352809427659045,1.9583873321602916,0.20681321557873622
1200.0,1600.0,-1.0,,0.001599999999996271,,0.00015007465730816505,0.0015871941478127335,9.576030465647312,3.0945161925004223,0.09455343413090239
1200.0,2000.0,-1.0,,0.001599999999996271,,0.00015459323635913863,0.0015863145972601798,9.261216044245176,3.043224612848216,0.09745433637573908
1200.0,2400.0,-1.0,,0.001599999999996271,,0.00012819163786676515,0.0006615833046266923,4.160892829174265,2.039826666453369,0.19376492267908588
1200.0,2800.0,-1.0,,0.001599999999996271,,0.00014225626316569133,0.0010825265473102409,6.609693402738834,2.570932399488332,0.13141133907446076
1200.0,3200.0,-1.0,,0.001599999999996271,,0.00012461607247970746,0.0005493428866455235,3.4082827817814487,1.8461535098093682,0.2268457014901131
1200.0,3600.0,-1.0,,0.001599999999996271,,0.0001242135325471657,0.0005369005492695681,3.3223998082954367,1.8227451298235409,0.23135296232449995
1200.0,4000.0,-1.0,,0.001599999999996271,,0.00011910697056754359,0.0006192028868037872,4.198712416689731,2.04907599095049,0.19235532182731274
1200.0,4400.0,-1.0,,0.001599999999996271,,0.00013725873115503693,0.0006264188670928241,3.5637815665458064,1.887798073562373,0.21911653426412145
1200.0,4800.0,-1.0,,0.001599999999996271,,0.00017653020055577787,0.00072968791893107,3.1335018973170663,1.7701700193249987,0.2419256177550252
1600.0,800.0,-1.0,,0.001599999999996271,,0.00014481477959668332,0.0006097990401651237,3.2108895367133496,1.7918955150101106,0.23747951383700086
1600.0,1200.0,-1.0,,0.001599999999996271,,0.00012430512829618618,0.0005158023849420052,3.14948596258221,1.774679115384584,0.24099370597164368
1600.0,1600.0,-1.0,,0.001599999999996271,,0.00014473088081175893,0.0013848360923954387,8.56835254942306,2.9271748409384535,0.10451119927226099
1600.0,2000.0,-1.0,,0.001599999999996271,,0.0002950850833293912,0.018517485720295865,61.75303892479569,7.858310182526246,0.015935483239280523
1600.0,2400.0,-1.0,,0.001599999999996271,,0.00021992023876684668,0.005267450260896516,22.951639423604483,4.7907869315598335,0.04175079552235134
1600.0,2800.0,-1.0,,0.001599999999996271,,0.0001900845912377716,0.0019640354972186606,9.332428759372203,3.054902414050603,0.09678266584639486
1600.0,3200.0,-1.0,,0.001599999999996271,,0.00011247264962213925,0.00045340103173955313,3.03121143907243,1.741037460559775,0.24806438836413333
1600.0,3600.0,-1.0,,0.001599999999996271,,0.0001297643548039669,0.0007510646552016416,4.787911914148257,2.188129775435693,0.17277388025818963
1600.0,4000.0,-1.0,,0.001599999999996271,,0.0001350603855217216,0.001265302868917807,8.3684233465653,2.8928227298894935,0.10674154689717615
1600.0,4400.0,-1.0,,0.001599999999996271,,0.00013307583512233898,0.0010594420173201356,6.961190071406817,2.6384067297152685,0.12560936129280112
1600.0,4800.0,-1.0,,0.001599999999996271,,0.00015365865292194208,0.0009305271065339724,5.055806743318751,2.2485121176722065,0.16513076496426835
1600.0,5200.0,-1.0,,0.001599999999996271,,0.00016997425866089737,0.0013598017011744975,7.000044900253595,2.6457597964013275,0.12499929843747512
2000.0,400.0,-1.0,,0.001599999999996271,,0.0001632165784547099,0.0006411426815390643,2.928171314514913,1.7111900287562785,0.2545713819315666
2000.0,800.0,-1.0,,0.001599999999996271,,0.00012271744782258267,0.0005181083538261689,3.2219616119723904,1.7949823430809537,0.23685672488453205
2000.0,1200.0,-1.0,,0.001599999999996271,,0.00011760501855584356,0.0008472509255632555,6.2042072350930075,2.49082460946029,0.13880777820060722
2000.0,1600.0,-1.0,,0.001599999999996271,,0.0001341872005498627,0.0008967989771323263,5.683193132113105,2.383944867674818,0.14962907404171008
2000.0,2000.0,-1.0,,0.001599999999996271,,0.00013409504613799212,0.0009054225651947817,5.752095556632612,2.3983526756156217,0.148102169409865
2000.0,2400.0,-1.0,,0.001599999999996271,,0.00024993443699618544,0.006514668328802935,25.065509047488177,5.006546618926881,0.03836487513741328
2000.0,2800.0,-1.0,,0.001599999999996271,,0.0002969702605372848,0.011466635244159532,37.61206581229331,6.132867666295541,0.025898640203850992
2000.0,3200.0,-1.0,,0.001599999999996271,,0.0002509923397997183,0.010986402757879415,42.7718647774116,6.540020242890048,0.02284572533258963
2000.0,3600.0,-1.0,,0.001599999999996271,,0.00035632892345234437,0.016037303671854946,44.00702192927592,6.633778857429295,0.022218755143839575
2000.0,4000.0,-1.0,,0.001599999999996271,,0.00030985812781658337,0.007965794538393767,24.707876680611133,4.970701829783309,0.03889858397967964
2000.0,4400.0,-1.0,,0.001599999999996271,,0.0002237554404974574,0.005041223940829908,21.53006197132978,4.640049781126252,0.04438514200593553
2000.0,4800.0,-1.0,,0.001599999999996271,,0.00014024915315613226,0.0008558303051887417,5.102213709882364,2.2588080285589487,0.163874955474032
2000.0,5200.0,-1.0,,0.001599999999996271,,0.00014980446307338453,0.0008735465862219933,4.831245400172557,2.198009417671489,0.1714899530673856
2000.0,5600.0,-1.0,,0.001599999999996271,,0.0001794624815906221,0.0007139688884912128,2.9783740989376892,1.7257966563120029,0.25135896603263663
2400.0,400.0,-1.0,,0.001599999999996271,,0.00026022549529236175,0.0045555945891053926,16.506334588727402,4.062798861465751,0.05712218025604945
2400.0,800.0,-1.0,,0.001599999999996271,,0.0003413169312757166,0.01044596072220344,29.604871206243114,5.441035857834711,0.0326745371108116
2400.0,1200.0,-1.0,,0.001599999999996271,,0.0006124871970832103,0.02773405669402255,44.281039058608606,6.654399977353977,0.022084298876306044
2400.0,1600.0,-1.0,,0.001599999999996271,,0.00046782148119663006,0.018400489391385937,38.33228834280918,6.191307482495857,0.02542440427783608
2400.0,2000.0,-1.0,,0.001599999999996271,,0.00033983753260646913,0.01748253500016701,50.443802766811324,7.102380077608585,0.019438687387339577
2400.0,2400.0,-1.0,,0.001599999999996271,,0.00030375841870082076,0.009632977716193576,30.712627940960335,5.541897503649841,0.031533179838066666
2400.0,2800.0,-1.0,,0.001599999999996271,,0.00038414203640909045,0.013057514098207056,32.991370015807156,5.743811453713218,0.02941923198550002
2400.0,3200.0,-1.0,,0.001599999999996271,,0.0006025876967616859,0.022697314285436976,36.666408403976114,6.055279382817618,0.02654885459943239
2400.0,3600.0,-1.0,,0.001599999999996271,,0.00036462228944914195,0.010913589785963775,28.931219516096036,5.378774908480186,0.033409931709004796
2400.0,4000.0,-1.0,,0.001599999999996271,,0.0002831042777120006,0.007883176685936532,26.84548771091342,5.181263138551585,0.03591246130726137
2400.0,4400.0,-1.0,,0.001599999999996271,,0.00029681244858830434,0.01217000882961632,40.002353127367684,6.32474134865353,0.024388844144960398
2400.0,4800.0,-1.0,,0.001599999999996271,,0.0001950413960364905,0.0038906273253511187,18.94770035702173,4.352895629006252,0.05013109191045137
2400.0,5200.0,-1.0,,0.001599999999996271,,0.00021413119973253612,0.0031240028315780407,13.58919968449308,3.686353168714723,0.06854385584035183
2400.0,5600.0,-1.0,,0.001599999999996271,,0.00025205793723941816,0.004034178251589993,15.00496415932387,3.873624163406134,0.06248061476710267
2800.0,400.0,-1.0,,0.001599999999996271,,0.00037195547404296654,0.012279199897964298,32.01255326207637,5.657963702788873,0.030291507356650413
