row,col,parent_chunk,parent_snr,coverage,n_ok,central_ok,r21_c,r21_jk,r21_se,r32_c,r32_jk,r32_se,cov_ab,a1_c,a1_jk,a1_se,alpha_c,beta_c,chi2_c,pull21,pull32,wall_s
1600,2000,28,5.79905,1.0,4,True,0.3637907046380981,0.41553849513328456,0.5381445981462852,0.1961010338387942,0.23401231197523198,0.08896354232347192,0.04751121090234085,1.2774641370744666,2.022835117895003,2.661497133286155,0.33392610223550834,4.477454257890102,0.3029725938381007,0.09615963938584352,0.4261439815266366,59.175182819366455
1600,2200,28,5.79905,1.0,4,True,0.17527628142937743,0.2831907905424976,0.4238566610394938,0.38163346788042046,0.4280075113439882,0.11684529898075792,0.04864344549946607,1.3858957244968402,1.6968480790309954,2.0446171578477705,0.43917555036141687,3.8803628053209733,0.32772786918642377,0.25460142315202394,0.39688411830076786,48.17011523246765
1600,2400,29,4.19895,1.0,4,True,0.2630864582061477,0.36758203016561203,0.14025762469698494,0.2981464329062921,0.35924258334058307,0.10461937911513132,-0.012670998610315384,5.405776481059167,2.748004436601739,1.3082256700813213,0.6521409752404767,9.999999999999998,0.6946114794576244,0.7450259633671855,0.583985022192265,81.37417197227478
1600,2600,29,4.19895,1.0,4,True,0.184015752438091,0.2732991661907734,0.23738633162905728,0.45172345373484013,0.4313339239360425,0.2843358267420201,-0.0385556903401444,1.526737298186876,1.681893038847193,1.282085189096301,0.5492612145355283,9.999999999999998,0.31302869237954606,0.3761101708762141,-0.07170932355737647,53.024845123291016
1800,2000,28,5.79905,1.0,4,True,0.2338507547933407,0.16564981902392145,0.15299977456780942,0.8826809071771774,0.7264206895002063,0.07796900015634152,0.0009794639644548167,0.7480354705867089,4.453965536104426,10.701568283098071,0.8198924666439799,9.999999999217886,0.7526395472547145,-0.4457584069131594,-2.0041326342987844,53.18744492530823
1800,2200,28,5.79905,1.0,4,True,0.614543749550037,0.512590544227236,0.32811899346017376,0.18617184184891297,0.1389818417510617,0.1430611528512059,0.03852500473804806,0.9509088699270329,1.035517004449612,0.6950682983734181,0.8382066652658823,9.999999999999998,0.979384656751084,-0.31072021844165437,-0.3298589390435874,48.690269947052
1800,2400,29,4.19895,1.0,4,True,0.8933878680787797,0.44083717492339725,0.4693043243353325,0.2582640176086686,0.4442720809206623,0.41395567196226984,-0.029416102329939405,0.8881486842841346,4.720359437402791,9.047036882023713,0.5250180971415908,5.000964494964074,0.42297460216859245,-0.9643011361472581,0.44934295121567386,74.28241729736328
1800,2600,29,4.19895,1.0,4,True,0.27787788880537656,0.3226768698808126,0.3696191422554275,0.560770315645966,0.5757384963166727,0.14162301372174652,0.04250997106584265,0.9773164811866452,2.3229139024523753,0.6177782042681244,0.5341388010145558,1.000000000000001,0.6770944466998714,0.12120308705353106,0.10569031315853374,53.978174924850464
2000,2400,42,4.02545,1.0,4,True,0.24765528300659428,0.26387265815429223,0.19791656584555523,0.828791846179001,0.744007338762875,0.19426731237208342,-0.0034465431357480476,1.478303376359769,2.7481256534633864,2.842776767466239,0.5155887009918303,9.999999999999998,1.1086529726010776,0.08194046354034468,-0.4364321839885081,64.41209602355957
2000,2600,42,4.02545,1.0,4,True,0.3007065550673743,0.3536277014510164,0.49347586194332627,0.6060439940337596,0.5238496425546932,0.30709915758010303,-0.11387180269984642,1.3025810122242036,2.0617725842499164,3.122014807320111,0.582453113939475,1.0,0.6358225879164108,0.10724161091737426,-0.2676475967135371,47.53170895576477
2000,2800,43,4.81564,1.0,4,True,0.0013567101552973196,0.2540368763441649,0.2579503040995864,1.6686994134491633e-15,0.2823742457822006,0.2847021087264949,0.07028016264959702,45.222674774904235,10.102756312781823,29.231947368478647,0.7463684293844736,2.750611961554515,1.0366999791000506,0.9795691734920995,0.9918235135148499,44.03370380401611
2000,3000,43,4.81564,1.0,4,True,0.12727672354848338,0.13121967874112356,0.1347216246550104,0.018728735853018555,0.5393132142377788,0.5255202673902728,0.04643980890082571,2.349059561600867,1.5090396729312068,2.9905036164930907,0.7615799287950077,9.999999999992742,1.8882734831291372,0.029267426092411945,0.9906078046617999,45.017212867736816
2000,3200,44,4.98423,1.0,4,True,0.5533649492133617,0.47422148576018375,0.50166814097039,0.5162710401752105,0.43633919519563025,0.14701187518917497,0.0025265483690602173,0.2917728257264041,4.189585076451635,8.582705764789077,0.6966969056107566,1.0,1.3179674832532353,-0.15776059308866736,-0.5437101246190074,63.65155625343323
2000,3400,44,4.98423,1.0,4,True,0.25643871647516703,0.33882018010082154,0.49289491330731583,0.3031089308076961,0.4357977803439313,0.19069295465461114,-0.082045185052183,6.852670746538263,2.742867599742672,1.999764330013693,0.30485628782483293,9.999627465875847,1.1508623987783266,0.16713798702623325,0.6958246033607549,54.48989009857178
2000,3600,45,4.7212,1.0,4,True,0.3001327731405963,0.2293587855094461,0.3672947019491469,0.35610261815548216,0.39734124112886465,0.10574322215310267,0.03848250578216454,0.6246575464232447,5.624609674315993,9.185045116558321,0.3046174070171568,9.999748512052635,4.447505659541995,-0.19268992243985336,0.38998833337681194,822.0022490024567
2000,3800,45,4.7212,1.0,4,True,0.6562844048578141,0.6476073552472454,0.1545386333665516,0.3370568208059108,0.31998918507008006,0.09084600706211654,-0.007728304209747506,2.5736586499291456,1.7317026479456814,2.0565911414448976,0.3055157271268929,9.999071181705483,1.4471238672330216,-0.05614809333784857,-0.18787436330757662,54.81704783439636
2200,2400,42,4.02545,1.0,4,True,0.6551058450663617,0.6353667055929337,0.22528304277482739,0.3750571528751879,0.339825209457123,0.10456325065246966,-0.018659294584330646,2.7599878268049656,3.185184708580356,0.7664385003262594,0.4877180427493487,9.999999999999998,1.9586666477357673,-0.08761928652196625,-0.3369438421072343,72.33222913742065
2200,2600,42,4.02545,1.0,4,True,0.010002318546665785,0.3124565272609677,0.29295039944447454,2.5569996591850387e-05,0.29051310997931906,0.28232847798430627,0.06616340596617849,7.17296869829728,0.6670302778621251,0.7584923362994545,0.7818258263121989,1.5533292048988716,1.7764720633014035,1.0324417010109888,1.0288991817498285,40.311365842819214
2200,2800,43,4.81564,1.0,4,True,0.3569002806567283,0.20874012670527775,0.39661320991753507,0.23906496454152376,0.12222257063115974,0.2118098529138783,0.07759847082792629,0.38743022108783387,207.07259289886022,360.991318823597,0.6801183174735116,4.949598932872596,1.5062835954256222,-0.3735633363857357,-0.551638142904863,44.69078612327576
2200,3000,43,4.81564,1.0,4,True,0.15120593699313697,0.08018995818753041,0.11965542055474991,0.7324396277744865,0.555681123454536,0.5604445799511893,0.05051392580483544,0.30955405901416877,126.80377486240364,377.76317773987495,0.8907154886775465,3.8537873952665445,0.9726081475774834,-0.5935040675663521,-0.31538980060320115,57.431724071502686
2200,3200,44,4.98423,1.0,4,True,0.02703834770779569,0.07786299340231212,0.14797506020213178,1.7712841538672915e-10,0.1980141005456432,0.21857402626609745,0.006016138687894119,4.160765353700294,140.1823330485372,407.31068986232884,0.6290037135369142,1.0000000017308175,2.9727429917078623,0.3434676466770191,0.9059360974915084,253.80843091011047
2200,3400,44,4.98423,1.0,4,True,0.5895322696775426,0.37521316670545035,0.34905936211521876,0.028945099137487516,0.1867313941083908,0.1945662508129179,0.040052416508214526,0.42344260480388074,1.8577793771681839,3.84465414872881,0.7511078254434516,7.449307523766854,2.250582765198837,-0.6139904160523533,0.8109643595004572,96.99324083328247
2200,3600,45,4.7212,1.0,4,True,0.00039068066282051323,0.13545463138885785,0.12247018863275447,5.129567581349274e-22,0.38096071853237795,0.4763519895125406,0.004838569392777273,172.37264584962247,1.6283998451443704,3.354917797099687,0.8100389031608165,9.999999999089423,2.05185581381256,1.1028312459862961,0.7997462526024542,57.35840821266174
2200,3800,45,4.7212,1.0,4,True,0.2920999005627023,0.016274143260892424,0.01931991335457588,0.2386466131995199,0.008109568292039609,0.0231633795324691,0.0003583356413639126,0.5183294913869715,125.0861305480855,349.208497302379,0.8014358390275306,9.999999999999998,2.3626618758277944,-14.276759540253378,-9.952651537066371,46.31926774978638
2400,1000,52,4.76024,1.0,4,True,0.1852973879631687,0.21690205361879156,0.3067683314026563,0.513282143596148,0.4706625577634883,0.08585045709602296,0.017055368120190262,5.642089033537122,17.217519171562436,31.304076459882264,0.36951910407687405,9.998402678315486,2.6142296688126936,0.10302453812984817,-0.4964398242514895,85.56559896469116
2400,1200,53,5.15417,1.0,4,True,0.6890399130994409,0.6352879908125973,0.15855296191676652,0.2915767563754589,0.2876059359272888,0.12448730849194299,-0.008250874147405787,3.228413249350083,3.7355532574471417,1.2851653479889316,0.5261511810240721,9.999999999999998,4.153589115169209,-0.3390155670195616,-0.031897391760438744,76.89427709579468
2400,1400,53,5.15417,1.0,4,True,0.6710844043326641,0.5711381355751358,0.3401551323842981,0.23180651192827786,0.2969254864223122,0.15320589098917153,-0.04397166800325578,3.3244992735509884,3.2629926187449483,1.004769002839662,0.42984013653168884,9.999999999999998,0.7187473000234971,-0.2938255497042206,0.4250422361280931,72.97882890701294
2400,1600,54,5.06145,1.0,4,True,0.33969632577940595,0.5491285342539324,0.38647449138362555,0.21748723751527596,0.20689901011876738,0.04012887777502335,0.013872585945164835,1.3838068011623241,2.183758257715207,3.8153899254418184,0.4641989093053987,9.999999999999998,1.0372739413995542,0.5419043511118514,-0.26385555698492047,58.882835149765015
