chunk_id,row,col,snr,floor_frac,s2_floor,s2_plateau,flux_mad_std,a1,a2,a3,a1_ratio,alpha,beta,var_inf,chi2_dof,fit_success
114,4400,4800,1.35519,0.352541,0.151496,0.429725,0.502692,78.02654080618746,10.003506887550596,1.4269881319206745e-12,121.91647000966789,0.016267473024099796,1.0,0.4688860336433194,0.26693582743886873,True
109,4000,4800,1.37888,0.344673,0.11875,0.344529,0.448033,6.565812876641032,4.836345916129734,0.11490680866836964,10.259082619751613,0.02204078608442819,9.999999328454667,0.36727111509558,0.038960096510782756,False
93,3600,1600,1.38062,0.344102,0.102305,0.297312,0.384521,685.9794134707288,1.7991782380649968,0.00021792573926636137,1071.8428335480137,0.030535961638568355,1.1490545126615141,0.32545566854802005,0.6513956490809669,True
3,400,2800,1.39119,0.340669,0.104147,0.305715,0.419126,9.32534614767999,7.087757516745108,0.393915367831311,14.570853355749986,0.031248302222889764,9.999999803111889,0.33865582913380254,0.04907564552050834,True
95,3600,2400,1.39294,0.340104,0.0875903,0.25754,0.344559,1.7468729794544593,0.5012791582545103,7.959763398539684e-12,2.7294890303975925,0.035679993900928755,9.99999892249784,0.2571798398821052,0.2130943797774028,True
110,4000,5200,1.39958,0.337971,0.159608,0.472254,0.526138,5.690030029920231,1.2024187875745618,1.435901434246287e-07,8.89067192175036,0.031297350776527295,1.0000000000000009,0.5156636837970876,0.360636615353769,True
4,400,3200,1.40027,0.337752,0.120105,0.355602,0.448422,14.23923036204605,6.375785844163304,0.7036091597164663,22.24879744069695,0.0586944874275067,9.999999999999998,0.42026595489371216,0.2578681827295508,True
7,800,2000,1.4049,0.336277,0.107538,0.319791,0.448158,19.094359873260142,7.419855787885337,0.6421045660428996,29.83493730196897,0.10045339295324818,9.999999999999998,0.4608859266117057,0.08664359867655967,True
96,3600,2800,1.41718,0.332404,0.085113,0.256053,0.354112,4.481782319081126,3.0278150716812577,1.4370983964091222,7.002784873564259,0.03525415041153986,9.999823375515659,0.2795916526623345,0.10631136700087156,True
2,400,2400,1.42617,0.329603,0.108087,0.327931,0.443041,14.37945364586246,8.392174008505384,0.39707237005734763,22.467896321660092,0.0470182340207007,9.999999999999883,0.38814437889092274,0.09316710162528961,True
6,800,1600,1.42972,0.328506,0.110956,0.337761,0.43679,28.770120213073163,2.1785229909504316,0.0374033162910287,44.95331283292682,0.05021135228781215,9.999999999999998,0.37079273114133515,0.2754074035839463,True
