comparison,ratio,lo68,hi68,P_2D_le_3D,boundary_collapse_pct,note
2D b2/b1 vs 3D a2/a1,1.6071034115873177,1.298103809670194,2.323424574304828,0.0125,5.8,"paired bootstrap over windows, B=2000; 95% upper bound not quoted (3D sigma collapses to fit boundary in some resamples)"
2D b2/b1 vs 3D a3/a2,1.931854100046142,1.484312442220924,2.519424434195053,0.01,5.8,"paired bootstrap over windows, B=2000; 95% upper bound not quoted (3D sigma collapses to fit boundary in some resamples)"
