chunk,row,col,mode,profile,T,a1,a2a1,a3a1,a3a2,alpha,b2b1,beta,chi2,error,fit_success,incl,n_fit,p,pa2d,phi,psi,rcut,rms_resid,se_T,se_a2a1,se_a3a1,se_a3a2,se_alpha,se_b2b1,se_beta,se_incl,se_p,se_pa2d,se_phi,se_psi,se_theta,se_var_inf,theta,var_inf
r1600_c2000,1600,2000,3d,powerlaw,0.9927110362964913,nan,0.09830462992529984,0.048910875660031536,0.49754396814471663,0.7148540377950215,0.3820072519757213,,181346.43553059793,,True,45.899444032884645,27938,1.6216128048777225,7.84481740080084,171.515537406036,-153.37573131647488,0.1,2.547750264435087,0.06800470348808095,0.25668716924357415,0.16870759761263832,0.1466236910825569,0.17691749566903298,0.23033216437468593,,18.467305710978795,1.4925646256557599,4.603545947060521,13.326691262174194,13.952698357860056,18.467305710978795,,45.899444032884645,
r1600_c2000,1600,2000,2d,powerlaw,,nan,,,,0.7320637876477053,0.3828960316495182,,128437.4562571407,,True,,15220,,7.096348748132722,,,0.1,2.90494906282895,,,,,0.13154450011269825,0.2861696980047326,,,,4.145712545221901,,,,,,
r1600_c2000,1600,2000,3d,weibull,0.992710728532292,6.312988231485345,0.09830663662009685,0.04891177681569137,0.49754297875848924,0.714853842909423,0.38201050419676125,9.999999999999998,181346.4532002732,,True,45.89816635564658,27938,1.621590403519522,7.844531478751135,171.51558401141622,-153.37699613136354,0.1,2.547750388556409,0.06907692926343555,0.2580288711428174,0.16870358653006032,0.14475110979269667,0.15378136776729825,0.22724216645688844,7.988535969646923,18.37588826262396,1.4980376359010568,4.556890609556429,12.937316568844315,13.494292735479842,18.375888262623956,0.013546248227754777,45.89816635564658,0.026041704278553547
r1600_c2000,1600,2000,2d,weibull,,1.015113690208486,,,,0.7320639849854387,0.38289738010244273,9.999992433950645,128437.45732682743,,True,,15220,,7.096274586304764,,,0.1,2.9049490749258315,,,,,0.03433596742064224,0.2765945582234822,7.989262703775693,,,3.9626962287178547,,,,0.019988452951665688,,0.0314828116399232
r2000_c2400,2000,2400,3d,powerlaw,0.9919787014504471,nan,0.13134937528219992,0.09646764271313114,0.7344354893647077,0.49853596920607923,0.5583157242632839,,1119963.9311194248,,True,61.102302128726194,27938,1.7212414024477587,8.153825784770634,176.5091144289957,63.865272763036394,0.1,6.331467203834594,0.01877754139099967,0.1056151855709258,0.07278992555357862,0.18707763222341173,0.05735287216156201,0.11992027906289986,,4.312720567851952,0.9132388230292674,8.135229880494757,2.2863834373326064,232.08471341815797,4.312720567851952,,61.102302128726194,
r2000_c2400,2000,2400,2d,powerlaw,,nan,,,,0.591938042937938,0.613171119661117,,951007.814283381,,True,,15220,,9.88313521461864,,,0.1,7.904687702019023,,,,,0.04839945124279303,0.10878948010757358,,,,7.601527644729854,,,,,,
r2000_c2400,2000,2400,3d,weibull,0.9858245984977365,0.20856007905456547,0.16218109541157105,0.11091297294298799,0.6838834863059801,0.979065225555083,0.5453596223430598,1.0000000058965848,1059650.6081296364,,True,61.767567779278245,27938,1.4390739776661885,10.159956987682818,175.69815718889134,62.38322538913224,0.1,6.158623989389312,0.02199183021261802,0.08319340036468412,0.05232518023019684,0.20553390425981632,0.2060086010095313,0.12340326238798488,0.1697007843050865,4.311033122601397,0.6482811875301341,8.360921985532391,2.7751024428387976,227.71502109377468,4.311033122601397,0.0014100862423345442,61.767567779278245,0.005319939249875818
r2000_c2400,2000,2400,2d,weibull,,0.06648990936655386,,,,0.9164261253529842,0.5617578257354969,1.3200727852519207,923181.371122707,,True,,15220,,9.92234170943182,,,0.1,7.788183758094653,,,,,0.12725666220286386,0.10898067913696055,0.5302596053602017,,,7.288615681916485,,,,0.0011807735706400716,,0.005397939511527453
r2000_c2800,2000,2800,3d,powerlaw,0.9811445461144787,nan,0.257874122519021,0.22036155568243734,0.8545314804364803,0.6055700061440672,0.4119178911871672,,263292.3489209388,,True,73.42417110154793,27938,1.1980817739973562,5.596370373304381,-175.56183007272006,-99.38141034670673,0.1,3.0698804491100775,0.02280791374032877,0.05288016464134924,0.04417335586535232,0.1515147150129778,0.041449127248427246,0.10839440569758578,,3.1320857495892436,0.330505518555372,5.875667514837142,3.7276322967230504,38.3300065056649,3.1320857495892436,,73.42417110154793,
r2000_c2800,2000,2800,2d,powerlaw,,nan,,,,0.724354823792196,0.47262840230497055,,140709.39439254452,,True,,15220,,7.005114844214135,,,0.1,3.0405645007275206,,,,,0.04255919095896454,0.12387775621029543,,,,5.777764803478924,,,,,,
