chunk,band,r_lo,r_hi,r_mid,fit_success,usable,b2,rms_resid,n_fit,b2b1,se_b2b1,b1,se_b1,pa2d,se_pa2d,alpha,se_alpha,n_ok_jk
r1600_c2000,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.12623703224719196,1.4705938994051158,2050,0.45800151430653746,0.1162663955552469,0.27562579664900916,0.08314642718946988,10.091569976061626,5.7935297811739215,0.6151497522362038,0.0835584083897504,4
r1600_c2000,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.24918369553726671,1.1007126867675598,8360,0.3938485525441037,0.16706720387453322,0.6326891235924061,0.29083665569508543,10.122900877054693,5.1080590576642075,0.6590221919152774,0.06399802442346943,4
r1600_c2000,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.2584103416643627,1.0970159829970114,33460,0.33765233177401727,0.25592086729935615,0.7653148441376991,0.20300861080314692,7.631981961970193,3.3650951926913732,0.7503970886481712,0.14345662518141358,4
r1600_c2000,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.20522016706126836,1.280836220543416,132360,0.22519340623311732,0.17547749641687757,0.9113062877552778,0.3829259840512738,5.493886143363285,128.6755281017024,0.731158508588449,0.2529915911435282,4
r1600_c2000,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.2006363524204884,1.3588188035347029,164355,0.1820046151563606,0.09209510733759463,1.102369586881746,1.2137251592681981,5.0638105476199335,129.0789632471771,0.721582946542652,0.31568328850176813,4
r1600_c2400,0,0.009599999999977628,0.03821828837304668,0.01915451822365661,True,True,0.1134698008386576,1.6231121694079997,2050,0.5826249062381542,0.06000175808509121,0.19475617953118468,0.017458116978197453,15.613937640544595,8.559952259108778,0.6041352782415846,0.00727126446880005,4
r1600_c2400,1,0.01915451822365661,0.0762555105333533,0.03821828837304667,True,True,0.23348748840973482,1.131086867273543,8360,0.5056338334053051,0.062034407518702275,0.46177188507592676,0.06517321663352953,14.260741343062447,8.005632324264223,0.5731323687305362,0.011677847700876364,4
r1600_c2400,2,0.03821828837304668,0.15214974647591234,0.07625551053335333,True,True,0.13394479826603717,0.9222215533197069,33460,0.4038232346483898,0.04001586991856981,0.3316916580658449,0.5138412947128931,10.235919995528826,6.788999851326333,0.5060165569396883,0.06584609999563724,4
r1600_c2400,3,0.07625551053335335,0.30357865537545703,0.15214974647591237,True,True,0.1725052948216107,0.8725355294134717,132360,0.22606190768858805,0.08102213235189874,0.7630887334598877,0.35426973564204955,6.321881276301474,4.399379717563532,0.36035505661658984,0.11981149014734199,4
r1600_c2400,4,0.1521497464759124,0.45254833996038263,0.26240258229115665,True,True,0.24190552638686594,0.8803380350270368,164355,0.12433144004997589,0.1305850812060115,1.945650483012425,1.5638942157666682,5.947333568268052,5.371482882389304,0.29129620183045335,0.10579168935770272,4
