chunk,tier,snr,a2a1,se_a2a1,a3a2,se_a3a2,b2b1,off_shape_plane,off_inclination
r1600_c800,bottom_half,1.82431,0.0966276533358464,0.5863805293688751,0.0284062588502675,1.484112929354582,0.2345857726262259,True,False
r2800_c1200,q4,5.54549,0.0648296099412491,0.1566109993281609,0.5728594992596167,0.0935106730105278,0.1644960827950781,True,False
r4000_c2400,bottom_half,1.83562,0.0936017950230044,0.60000848006043,0.0469256214436695,0.5813595426880371,0.2482785786853431,True,False
r4000_c4000,bottom_half,1.57028,0.0527072953371382,0.013139979966269,0.0522498740241411,0.0798069600459532,0.6396698598328414,True,False
r4000_c5200,bottom_half,1.39958,0.0778921149582541,0.5190802943598056,0.547692340120122,0.5335973929991464,0.5460004853279755,True,False
r400_c2800,bottom_half,1.39119,0.0263004734906481,0.0483346942883147,0.0429428098846816,0.0468940314234453,0.6426831023843937,True,False
