chunk_id,row,col,snr,r21_full,r21_jk,r21_se,r32_full,r32_jk,r32_se,cov_ab,a1,a1_jk,a1_se,size_ly,alpha,beta,chi2_dof,n_ok,pull21,pull32
28,1600,2000,5.79905,0.14734488761421832,0.30393577752664075,0.4630544375561778,0.3561867044077751,0.4052546785029755,0.24878080153615745,-0.0043349890764610415,4.1609657812394545,6.411215873565556,10.02975928405759,0.64,0.6917766631718998,9.999999999999998,0.3627445502475551,4,0.3381695049481624,0.19723376479301555
29,1600,2400,4.19895,0.38678440035458894,0.3896380365974513,0.1458958575520852,0.4180064826347937,0.4042235823479461,0.09621456119579325,0.0011640601093357225,0.8455135112651189,1.09335622621663,0.7395281272794186,0.64,0.5353907783481054,1.272795469153821,0.16648909438012857,4,0.019559405528999194,-0.14325170863482786
42,2000,2400,4.02545,0.5867675342251709,0.5235345494467151,0.16515138516473796,0.27558108525950353,0.2917236678377013,0.0896254687096983,-0.01379124221659718,4.735645841413398,5.088888980760675,0.6954329700744911,0.64,0.41106367437120983,9.999999999999998,0.4375497201294754,4,-0.38287892478395597,0.18011155546069693
43,2000,2800,4.81564,0.24878799071655316,0.23712539075474218,0.04324968538789688,0.7204397366249566,0.704261678986098,0.21504962403242672,-0.006521406891787037,0.2134233570677314,0.2347992341245757,0.025209178733929322,0.64,0.840065108707528,3.096021670626117,0.33235701699284353,4,-0.2696574520071465,-0.07522941605524108
44,2000,3200,4.98423,0.319081654687696,0.4964967243229261,0.06162745281175553,0.41039578761458784,0.42392929977555377,0.0511226006704319,0.001819579667697728,7.089207576441564,3.6776496701102745,3.2436113623173988,0.64,0.48641171860875,9.999999999999998,0.7049728205348275,4,2.8788317793557723,0.2647265980893925
45,2000,3600,4.7212,0.36788925122056226,0.39428732256591104,0.4080745092702548,0.23689465755748157,0.250419804432829,0.08642295152542401,0.01939293357595958,4.604210300539751,8.854050164276462,15.20166661769601,0.64,0.4691658138349686,9.999999999999998,0.8429884888837466,4,0.0646893416414456,0.15649947886087417
53,2400,1200,5.15417,0.45744922582317765,0.7128163078666031,0.1124533111055043,0.33001694318028096,0.34168710273986475,0.07521810570051836,-0.00462253083233688,3.293459108395163,2.3577939966624415,1.1681075521766038,0.64,0.5811728603377906,9.999999999999998,0.49559947852083625,4,2.270872058216576,0.15515093674452052
54,2400,1600,5.06145,0.42741440540077774,0.5837485800107938,0.15774132475165167,0.19156482344909448,0.21445410613404603,0.039249108809063266,0.0049319892617103395,1.7080699317357908,1.2656375022529198,0.5002460282256532,0.64,0.5876901770003518,1.622066458349181,0.27860244459938105,4,0.9910793817419052,0.5831796792202844
55,2400,2000,5.18143,0.3463341216890327,0.4042618576476471,0.5380011458610883,0.35895527531956894,0.4074904918879956,0.1366091231647577,0.04840288147160561,2.2627623496094875,7.87905533626089,18.246249647307874,0.64,0.49834569940192536,9.999999999254666,0.2706590658624344,4,0.1076721423444167,0.35528532387906947
56,2400,2400,4.51207,0.2236343733405808,0.3123754785153752,0.1855799009855019,0.5113892091587006,0.4652530646717979,0.111715518380572,0.004078488046011587,8.257077147194002,5.499403044801098,6.879994930411479,0.64,0.4358145997566389,9.999999999999998,0.46857875725910825,4,0.478182738020359,-0.41297883369913296
57,2400,2800,4.66889,0.30003827979738734,0.2930227494409489,0.08718557529255065,0.7047223037222026,0.6896200001292296,0.1440643025610255,-0.0072922864826079885,0.2086855820978707,0.2324318140215194,0.07422223105708521,0.64,0.7200191369356472,1.0,0.6086561315208211,4,-0.08046664064437102,-0.10483029678067271
58,2400,3200,5.19339,0.31358109582411536,0.31888669892091426,0.07141421900313774,0.43242412684034265,0.4426338437699925,0.19697877185607648,-0.006704729355195308,0.30307319808393807,0.3148768362936645,0.07054038845278675,0.64,0.8281334230010557,1.0000000000000233,0.48372108831929644,4,0.07429337141621307,0.051831559479463184
59,2400,3600,4.5426,0.26006195795614584,0.2806757796695562,0.15738382636973738,0.5968560846721869,0.629291389968184,0.329228273012083,-0.04339063393653898,0.23541609756910317,0.29088185812642275,0.20990222209433704,0.64,0.7137992002398041,1.0,0.6197052934698499,4,0.13097801844633572,0.09851919763527336
60,2400,4000,4.05736,0.17477426673058366,0.18469057118529159,0.01856276113630564,0.8424845837216055,0.716648161788551,0.16410107763981674,-0.0024841068426791763,0.20375578125403804,0.2895355571413877,0.10306151263445411,0.64,0.8008003093546573,1.0,0.5775088295465672,4,0.5342041726385899,-0.7668226421355455
61,2400,4400,4.62391,0.1612297468314355,0.11068752137551284,0.07163211304311203,0.5163563521096245,0.20753433469332083,0.35936990728679147,-0.008084980397766825,0.8256441133576565,2.0233246576462056,1.6633806856694562,0.64,0.5952061397888906,4.211794998346927,0.9821205757847854,4,-0.7055805463326715,-0.8593430088453439
52,2400,800,4.76024,0.3873039864167329,0.7480965076640964,0.09824145688237641,0.28484191021485833,0.28303824970760977,0.07709724521654754,-0.0070592899996436715,5.442383604131825,3.3041781989626555,1.1192390986749092,0.64,0.5970055362631381,9.999999999999998,0.9211069351129801,4,3.672507846451596,-0.02339461678796064
67,2800,1200,5.54549,0.1351591743440547,0.12090586964804767,0.1719818254394044,0.38000940277901163,0.40157499405514085,0.0877903349144092,0.011699593294693863,1.584410468036248,10.969651748421828,18.24669834915805,0.64,0.6713687452895383,1.000000000000597,0.8127856131808257,4,-0.08287680782309753,0.24564880971412748
68,2800,1600,5.36335,0.24236558397126332,0.3360088335653131,0.05181442982766099,0.5033350092995637,0.5287657785963726,0.08056173190950668,0.002536317308932462,3.8038323106547973,1.2593754821684908,1.374546219231229,0.64,0.42384586792789347,1.0000000000026212,0.9227172524839315,4,1.8072812902798474,0.31566810561340514
69,2800,2000,6.46064,0.5145116310089246,0.4674933858345841,0.2957321091712633,0.42578705847596965,0.40434620865791543,0.13162086059872066,-0.01903454083689623,0.5977719875916805,5.025009772115027,12.783617589145708,0.64,0.5899057328534357,1.0,0.9554320972141597,4,-0.15898931403188102,-0.16289856881746162
70,2800,2400,6.95587,0.2929191042541535,0.3771041090444688,0.10831987083384835,0.673397335268713,0.6484555194793514,0.0949850748494944,0.003166617279442185,0.6945634750538235,0.5403148548857358,0.2923743616393597,0.64,0.6722562822849636,1.0,0.4897265564649215,4,0.7771889325777215,-0.2625866835277266
71,2800,2800,5.97031,0.5171249051971505,0.45205578441077154,0.1404550823995724,0.39260656159701574,0.3614852538788117,0.08083118663342849,-0.0048556208862579504,1.3942758443044545,3.419418289758236,5.337818846639509,0.64,0.5867711438714447,1.0,0.4275244083407489,4,-0.46327352257191823,-0.3850160935944188
