chunk,tier,snr,incl,se_incl,b2b1,se_b2b1,a2a1,se_a2a1,a3a2,se_a3a2,alpha,rms_resid
r2000_c1600,bottom_half,2.28407,73.45059720878676,3.555346337935383,0.290310652363216,0.0985504287500484,0.2089540737966825,0.1066964383488744,0.8325203274818099,0.2614532835907325,0.2985531927363831,1.4858426466961798
r2000_c2000,bottom_half,2.24483,57.54946897681907,6.273211757068633,0.2955701984878801,0.0419022629918228,0.3582746464028604,0.111901150203877,0.477004535040496,0.0947104923795303,0.2289371364445254,2.6388040447663186
r1200_c2800,bottom_half,2.20626,62.45794568448849,12.84849823301837,0.2803906848318439,0.2789451699850837,0.5035646805877688,0.3946650069236301,0.4005439976323464,0.1866093766644745,0.2662636904484495,1.3699951254519058
r2000_c4800,bottom_half,2.11981,86.80177763173953,5.0667376499856625,0.552425716656018,0.1116691589365559,0.6193550932846166,0.1467381144344292,0.4252367377713662,0.0918407865731519,0.3122973634241152,4.498644879016489
r1600_c3600,bottom_half,2.11884,33.364759727459834,7.289645579739173,0.5338678034123528,0.1442366266457244,0.463269538745055,0.0442418375623138,0.5891412187210361,0.1355432571254614,0.205111030732916,0.9614227037272244
r3600_c4400,bottom_half,2.11455,53.025735308688525,14.269486396564906,0.8797369457854343,0.2898505881183067,0.660623371240246,0.237881537973793,0.7079894195965993,0.2333191289111996,0.1727136237728918,1.034661613358218
r1600_c4800,bottom_half,2.10146,52.62253607568555,5.641371210458672,0.5103786795475559,0.1628962395833115,0.3958984299109281,0.0542881942118562,0.607847675147802,0.1621325293808272,0.2625037033273196,2.065718349526455
r2000_c5200,bottom_half,2.04904,78.78109723516283,1.3874361371187975,0.5246362793897661,0.1741457726775904,0.174932891993379,0.3892931268776706,0.3200052665893985,0.073650612637324,0.323094099966817,6.200984015593282
r1200_c1200,bottom_half,1.99973,64.86820004063163,16.96543964243622,0.3736666676808284,0.1377578663883976,0.6538809472542578,0.1731927364219087,0.512860190367326,0.1857726496447134,0.1581332461131571,3.320944443046681
r1200_c4000,bottom_half,1.96125,46.73847667795477,6.659353546581612,0.729050130590451,0.1502233883091288,0.475333786820828,0.1064865006230242,0.680297464711797,0.1953808660834868,0.1674343881100711,1.3468612904264892
r1200_c2400,bottom_half,1.94286,68.66778058250819,10.24013329280891,0.3293527788476442,0.4439621268193732,0.4081432921715773,0.3333544124849549,0.6188346664881821,0.1252684978591778,0.1807773316688371,1.3580522646691056
r3600_c4800,bottom_half,1.92212,83.20706041495609,13.259496464767254,0.5464409897136091,0.418215391482668,0.5989552399173114,0.2025649254236092,0.4345767693774151,0.2399640529587617,0.1364794644086215,1.4402733841678366
r3600_c4000,bottom_half,1.86843,32.433014023854675,65.34628342412469,0.6834850524811507,0.1584352688004561,0.9201287408640572,0.2834806275142894,0.6444470888560719,0.128558781105168,0.1014325204160454,0.9408499331832294
r4000_c2400,bottom_half,1.83562,89.29484690712002,2.4248437382640846,0.2482785786853431,0.4849365443043393,0.0936017950230044,0.60000848006043,0.0469256214436695,0.5813595426880371,0.0326978675127381,3.2689254669810817
r1600_c800,bottom_half,1.82431,89.62543054852084,33.90249343345762,0.2345857726262259,0.4195081599185028,0.0966276533358464,0.5863805293688751,0.0284062588502675,1.484112929354582,0.0390790789938345,4.181946651500821
r2000_c800,bottom_half,1.8195,70.12255420813513,22.923847289115844,0.4354146232372657,0.2574119633286612,0.6148169980548162,0.1798102691699282,0.6484048960985896,0.2542254368080551,0.1278173620295972,2.382280610917748
r1600_c1200,bottom_half,1.80346,87.98097237907763,9.83115730665364,0.2653672649276753,0.2354287023225121,0.4054950618093847,0.5596987746784358,0.6471944043471767,0.6693138286868269,0.0958573513144477,1.7211280600662584
r1200_c3600,bottom_half,1.79112,53.70946276220451,11.367314727223622,0.235124400550238,0.1955172069590649,0.4541147578023637,0.256925086241045,0.3258932230060112,0.1693400181241227,0.1292943063272928,0.903193553097513
r1200_c4400,bottom_half,1.78936,53.37281804525973,6.062488105382254,0.4402081545735855,0.1269397380392407,0.4601699338123193,0.1970974950903637,0.5090180266424565,0.1243101968312652,0.1633980023660018,1.4878115917637862
r1200_c3200,bottom_half,1.78154,72.63673249194491,5.8784035871013085,0.4405551047005142,0.2293257794000567,0.3803402697017213,0.1388992659693634,0.8256635366781002,0.2875608298102923,0.1527185742848215,1.583083057623135
r1600_c3200,bottom_half,1.74897,35.23926902491722,27.66983216132401,0.5945149545479759,0.0867042650936052,0.7079769504496913,0.1161212074037894,0.6130520485270975,0.096021040628658,0.1176078042728738,1.2728595887766656
r2000_c400,bottom_half,1.74379,79.14040343572162,139.2773648775493,0.5040922964641481,0.5585780290106432,0.8747788451181013,0.74814850836932,0.5725512663827543,0.7861000286988958,0.05361523533488,3.438987674463291
r800_c4000,bottom_half,1.74347,57.116938716900385,8.68917116018963,0.380878527155829,0.0795032382026084,0.5093357859036248,0.2279665271346137,0.5363228734380983,0.1157668757537349,0.116026488513551,3.0502844614314144
r1200_c4800,bottom_half,1.72304,68.4955362850753,4.136138150323928,0.5066766253349385,0.1327610683569222,0.295456514515447,0.1774171283695922,0.5793557595343203,0.1445272936116816,0.1220917554816769,3.2582779898421985
r4000_c3600,bottom_half,1.70094,89.52635914375179,2.891542707667033,0.299052199357103,0.1258676692083267,0.3630438942276591,0.4714326811763994,0.0838327137362197,0.3250344742032168,0.0467977483808839,2.7993616624510276
r3600_c800,bottom_half,1.6913,77.3061785438673,12.122882029889912,0.7501695961700882,0.2454033912277602,0.2732853191443471,0.7590856405729266,0.3133261463867728,0.2487863622989718,0.0993430859539757,1.453054816598321
r3600_c3600,bottom_half,1.66151,21.480609231378864,6.630814595823289,0.6905850713400206,0.3481190458171131,0.4719194536555073,0.1241803284400682,0.7270142011957663,0.2676399764213322,0.0661155098123741,0.8809205889961211
r2000_c5600,bottom_half,1.63186,87.88903855369689,3.879978449238916,0.4291003698520358,0.1507004636394691,0.4471619361157899,0.0805494983249344,0.2947744418556292,0.1788823119844174,0.1546441401258411,3.4497973081771467
r3600_c3200,bottom_half,1.61825,40.02159620355824,27.53335690124771,0.5086026640920361,0.3123405434076456,0.6426277207890813,0.18831332004046,0.5286357662541912,0.2330246932376203,0.0531715957800304,0.8939467564525198
r4000_c4000,bottom_half,1.57028,86.46262880410593,5.460549538085282,0.6396698598328414,0.2935556304163219,0.0527072953371382,0.013139979966269,0.0522498740241411,0.0798069600459532,0.0271367352499053,2.00640891909478
r4400_c4000,bottom_half,1.55297,84.67387967818347,18.252425446120377,0.4144767500350724,0.4147003604319785,0.4538408431504068,0.7380674482188069,0.8984644988209666,1.1970289414047257,0.0528253822438827,2.250597420455238
r800_c3600,bottom_half,1.55199,71.00408992235442,5.028445945309759,0.8772736225684683,0.1985319082244593,0.6532995757742273,0.1413503681486881,0.5116793163920382,0.1273415400489838,0.0824966141499848,2.581608356407584
r1200_c800,bottom_half,1.46853,82.42283125395916,10.42556711861035,0.4599147035545461,0.1690950367379195,0.419238639958585,0.1502391471144607,0.6629448160541245,0.299869216770102,0.062392517960575,3.6547432933546737
r800_c3200,bottom_half,1.45283,88.68517921522819,2.4782986348596916,0.7892597477973723,0.1434747021953399,0.7844439769215946,0.1377857985742948,0.1961694067445784,0.0630481207819288,0.0638741460272366,2.7751419644940425
r400_c3600,bottom_half,1.44449,52.33905802789479,14.176204408274051,0.6241083224041082,0.1567299582141324,0.372999141110079,0.2058228040505341,0.7976051338016851,0.1477588807760845,0.0495163337585443,3.9970619145743473
r800_c2400,bottom_half,1.43786,75.39288346716569,1.2488680366298164,0.8558505971818086,0.0880234745310382,0.17738346268146,0.1322487194557592,0.2957910683406797,0.0351240933447992,0.0953726987217638,3.4526376073663383
r400_c1600,bottom_half,1.434,75.95087517985675,65.57463687675478,0.4437190143970567,0.3270848420334429,0.3916842579757471,0.3704501307444351,0.9196245053269522,0.4370312508490699,0.0322524106240965,2.458355842904657
r3600_c2800,bottom_half,1.41718,29.78292095332648,63.84929119184818,0.7491287451184104,0.1263792793864009,0.7636331863637916,0.3062680019721547,0.79043206420169,0.1613292963459108,0.0316265714502742,1.6476454855270164
r800_c2000,bottom_half,1.4049,87.80279756351446,4.959614686452886,0.70954749888407,0.1505201207279864,0.6735001723962745,0.4484751108555239,0.1505499834271734,0.0805062836339205,0.0321468850911553,0.3661872871432771
r400_c3200,bottom_half,1.40027,13.70570104775956,103.67169078338463,0.736392510634817,1.3496842255573185,0.0998492814129401,0.3570924010149675,0.7543534838828341,1.2076384023402595,0.013498317207644,2.309118561330884
r4000_c5200,bottom_half,1.39958,5.830505546960765,77.37216488937162,0.5460004853279755,0.3765555578330442,0.0778921149582541,0.5190802943598056,0.547692340120122,0.5335973929991464,0.0297529019601445,3.010557695013772
r400_c2800,bottom_half,1.39119,88.09685873105907,1.9421920629672216,0.6426831023843937,0.1415973127572912,0.0263004734906481,0.0483346942883147,0.0429428098846816,0.0468940314234453,0.0221208666630714,0.9821990454424212
r3200_c3600,q3,3.71466,73.7465221724215,9.2032350216786,0.265015518193413,0.1240582047783568,0.5277432586549414,0.2765173126357577,0.414521923106499,0.074828759007837,0.3686965861142783,1.832990673799244
r2800_c4800,q3,3.66786,74.53588332298524,3.834731442251952,0.2400246648812005,0.0290265228596294,0.3456776325486408,0.069247444998675,0.4942631971328508,0.0870602600034593,0.4845278925465163,1.3786513325435634
r2000_c4000,q3,3.61106,88.01542759967215,2.753184794880926,0.2507727259913891,0.0914860070770058,0.3120634762732282,0.1332235397675834,0.4447456683092816,0.0958924699121364,0.4526043381843098,2.8901397407254645
r3200_c4000,q3,3.48566,68.72570545393842,3.43304945366091,0.3325544205534518,0.1273363518590319,0.2809608988206897,0.1789533840243851,0.5434050564379084,0.104175043874371,0.4443993687941837,2.4436689763591977
r2400_c4800,q3,3.47043,88.3631831882484,2.5452908711866873,0.2275545546897227,0.0346108152630465,0.229982931099794,0.0348213953855572,0.8031298662477816,0.18308684609762,0.4265622061752371,2.730583748641553
r3200_c1600,q3,3.44151,66.72935531693376,13.372635792901994,0.291547179968515,0.3582178391607474,0.1133055143619979,0.5170369321969948,0.6995501483056025,0.3821918339612539,0.4602995651398717,2.745541214483106
r3200_c1200,q3,3.39415,61.46132618610368,2.2066525993549995,0.7649079818746044,0.1180279350586083,0.2476417348157562,0.078839277621981,0.6514836903691581,0.0854316525494508,0.5151661736948575,2.1297776122478593
r2800_c4000,q3,3.27238,65.17092726025717,2.9515576020299723,0.7600581512801969,0.0841477180126852,0.2916654955119953,0.1786010583038734,0.573298996318313,0.0774100291532201,0.367703650273007,2.3488953058915283
r2000_c4400,q3,3.23233,85.35093173000104,1.73449571068275,0.2762996758490403,0.1758833827191042,0.2718286959747862,0.2426173431919029,0.5073447851424666,0.0964973042690501,0.4390153768364556,4.327183745995256
r2400_c400,q3,3.19588,86.73087365890314,2.6254904910269983,0.1066008855600124,0.0719423482039088,0.1801334023445403,0.1403424241770229,0.5275690694874894,0.092431699884999,0.2775343660950705,3.6988116416418615
r3200_c4800,q3,3.18137,73.03931532453416,4.101646024301075,0.3343781087936265,0.1132689511991381,0.2549571310420496,0.1748982623383396,0.7431516109199098,0.1847088383119331,0.4180239200963137,2.6249893154953923
r2800_c4400,q3,3.17727,72.2361218154882,3.8417967150748624,0.3183496019366444,0.0744537715930222,0.2791582742584407,0.0734336891888462,0.7596512607450002,0.178786737771018,0.4377883668979969,1.1670296233571842
r3200_c400,q3,3.08436,73.1884885266462,4.167478769645946,0.3799997510838674,0.043074917890659,0.1621679147048376,0.2646203684853191,0.4484910635205146,0.0782835014618706,0.4476202639195696,4.812906252590996
r1200_c1600,q3,2.95278,52.880954592686706,4.518978435139005,0.4355463776588121,0.1108214633269872,0.3808037279238458,0.2350499447326775,0.6428720822656332,0.1578305088463642,0.3119142966367065,1.4196680257179428
r3200_c3200,q3,2.94277,58.01297877660756,13.909236098967252,0.5524843238425057,0.1443871497543378,0.4726868978372713,0.1582177596047941,0.7080851419370441,0.292280181610186,0.393441801387128,1.9516700542459744
r2800_c5200,q3,2.92649,79.49099357504032,3.4166585700842647,0.2243061075396845,0.0844789540028132,0.2638060872912083,0.1017640931788937,0.5940643068105962,0.1187515921309684,0.3795684735007964,2.8841704414509715
r2400_c5200,q3,2.92238,89.32908509611637,1.810730249844032,0.1672835542361478,0.0325985320587513,0.2012933378681712,0.0286722189600963,0.7116286378315219,0.0916289769053489,0.387620904246276,4.272061904766301
r1600_c1600,q3,2.92221,39.682759039433066,13.21181970714605,0.2925844435382272,0.1421884300311174,0.2633722565741966,0.1127061604335008,0.3661086914887215,0.1119708576526771,0.3323287573983487,1.6989508230561523
r2400_c5600,q3,2.87758,80.56746278649675,3.5368057786018396,0.2137295312244063,0.0326350257485756,0.1513376784859408,0.1072255199508512,0.6385718583064453,0.1621172360785164,0.4193266925485434,2.0264804814176243
r3200_c4400,q3,2.85049,72.37016312278745,2.46680929470503,0.3391803317139918,0.0567801492549084,0.2850396957714501,0.1106201277489439,0.6912509148026924,0.1445581568099613,0.4014695669661657,1.6683933709878682
r1600_c2800,q3,2.71613,26.52516712572081,6.7828994833014375,0.549761911877925,0.1921773621769728,0.3598449468531521,0.0733174810992585,0.6047596946722701,0.2103657079731204,0.3460932428137113,1.118765273665162
r1600_c4000,q3,2.706,37.862907637431206,3.961825795297908,0.7314633076845398,0.0993586474500192,0.2794271835557503,0.0776356660932899,0.9030993091347904,0.13109487915789,0.3428746085742398,1.2057444387369236
r1200_c2000,q3,2.69985,59.607457732432714,12.39888600452907,0.4604582113527337,0.2698225847131894,0.4326970328911091,0.442775144582872,0.5242985233862959,0.1193530725302124,0.3376160983484412,2.052564163723066
