quantity,n,total_sd_dex,median_SE_dex,sig_int_dex,sig_int_lo,sig_int_hi,frac_scatter_pct,var_frac_intrinsic,mu,se_mu_dex,delta_chi2_sig_gt_0
2D b2/b1 (in-plane appearance),29,0.23363535941436156,0.12105212576405604,0.18526447263748755,0.1548816618912481,0.22258710447930055,53.202013312183325,0.6287922005410748,0.3398581303466564,0.043297867305580676,118.86151052230201
3D a2/a1,29,0.23336607943798598,0.20986457195367378,0.12030702460400833,0.08438203600288409,0.16125010273377416,31.9189010018015,0.2657703399889734,0.2853998756693512,0.039194952140307646,7.563600570791124
3D a3/a2,29,0.19095977639307093,0.07822962311184813,0.09565583233161885,0.07585775750291836,0.1188502227437019,24.639538515069283,0.25092221643542256,0.6008325634880871,0.02473843515750897,20.373862670610933
