tier,n,a2a1,se_a2a1_dex,a3a2,se_a3a2_dex,prolateness_dex,se_prolateness,sigma_prolate
bottom half,42,0.4805006033542582,0.01972839470075764,0.5092637389978426,0.019559688355720296,0.009179291215195794,0.03428009044369543,0.267773249614748
2nd quartile,29,0.2867765088504477,0.02671116113600262,0.6039489210961697,0.016189659904682675,0.34087396345974397,0.035281034424531184,9.66167713106313
top quartile,29,0.2766156723345868,0.026871741453238205,0.5939416006767418,0.01354947966205155,0.3810125367013551,0.03418053355459705,11.147062291838084
