chunk,band,r_mid_2d,r_mid_3d,b2b1_meas,b2b1_pred,b1_meas,b1_pred,pa2d_meas,pa2d_pred,a2a1_3d,a3a2_3d,usable_2d,usable_3d,usable_both,d_b2b1
r1600_c2000,0,0.01915451822365661,0.01915451822365661,0.4557354258920977,0.46474718412107635,0.040784289058689124,0.040981597326225284,8.649469272779848,8.745840100251673,0.11183018678212166,0.650288751496767,True,True,True,-0.00901175822897865
r1600_c2000,1,0.03821828837304667,0.03821828837304667,0.3819630326854887,0.38603637965273896,0.09262645288615011,0.09119174612547495,7.36483762729845,8.417393226651855,0.09646507309097498,0.511520049219584,True,True,True,-0.004073346967250258
r1600_c2000,2,0.07625551053335333,0.07625551053335333,0.37312203450937126,0.3871666239955428,0.19036331327685369,0.1822442720601573,5.75029801704124,6.330965593011354,0.12896566697634815,0.5181417844887349,True,True,True,-0.014044589486171544
r1600_c2000,3,0.15214974647591237,0.15214974647591237,0.24344490315349107,0.32622843157578507,0.5397514313994076,0.4353054681972743,5.2764221937758045,5.292761451014183,0.04790919552409563,0.47079877145355375,True,True,True,-0.082783528422294
r1600_c2000,4,0.26240258229115665,0.2760041632626885,0.10772723376372811,0.2617782877584963,1.443603148164587,0.6747352235665363,4.8967333972344695,3.6202137416453346,0.02989486804024154,0.3868268389507148,True,True,True,-0.1540510539947682
r2000_c2400,0,0.01915451822365661,0.01915451822365661,0.5803562245770574,0.5761576969672533,0.0327263365838886,0.038088176597250244,8.629123735957902,8.588038700838814,0.35912274573222397,0.6780983469112561,True,True,True,0.0041985276098041036
r2000_c2400,1,0.03821828837304667,0.03821828837304667,0.5531809211123393,0.49988755985722827,0.06336776814448097,0.08235165372948725,11.10403797504838,9.362414618712698,0.06820870733899399,0.7101776988233865,True,True,True,0.05329336125511103
r2000_c2400,2,0.07625551053335333,0.07625551053335333,0.7194059972928797,0.7934458605255724,0.10066242801528526,0.11334468977606302,12.001170661468468,12.724792322793746,0.054096405779138955,0.5234282162844274,True,True,True,-0.07403986323269274
r2000_c2400,3,0.15214974647591237,0.15214974647591237,0.0018866221413156455,0.7344686240179481,9.085424527986177,0.24795303968753396,71.4079969679878,90.18692924176379,0.6319275133191201,0.22242138493417074,False,True,False,-0.7325820018766325
r2000_c2400,4,0.26240258229115665,0.2760041632626885,0.3799133427769638,0.6892070133009166,0.31437840040818055,0.39480518381101626,92.12169576805448,94.77527433178074,0.9187569285764866,0.20191466511783623,True,True,True,-0.3092936705239528
r2000_c2800,0,0.01915451822365661,0.01915451822365661,0.4540686503691102,0.44905102466185315,0.04306068712120263,0.05019967301432973,5.578163033173309,5.557299767166498,0.33428595631660013,0.7942429870982005,True,True,True,0.005017625707257056
r2000_c2800,1,0.03821828837304667,0.03821828837304667,0.42049886710103546,0.3523912907042863,0.0951680750652757,0.13410548900569863,6.8809629442033975,6.037881101976266,0.12745906042353533,0.8371490715516915,True,True,True,0.06810757639674914
r2000_c2800,2,0.07625551053335333,0.07625551053335333,0.37741780960215293,0.3743433406882967,0.19146811618607387,0.22393602022659084,8.615161172342196,4.89913458665116,0.0223131259253997,0.8578481703270153,True,True,True,0.00307446891385621
r2000_c2800,3,0.15214974647591237,0.15214974647591237,0.006795999391048776,0.7306469576862707,9.65037674064604,0.28324721216838367,9.577226366945823,131.87739082945947,0.007493521348104761,0.22988828993788202,False,False,False,-0.723850958295222
r2000_c2800,4,0.26240258229115665,0.2760041632626885,0.001611757117965604,0.7343698625768112,56.35787937097877,0.46459740758589757,10.218122997744029,110.50589160112868,0.7718508956288116,0.2391092323721934,False,True,False,-0.7327581054588457
r2000_c3200,0,0.01915451822365661,0.01915451822365661,0.24410303418076118,0.23542852979119946,0.07357129592969955,0.09315052688785348,0.8446392082091813,0.8464084600193924,0.20358493015845266,0.8148643110005321,True,True,True,0.008674504389561716
r2000_c3200,1,0.03821828837304667,0.03821828837304667,0.1939727230239205,0.1567851499182707,0.1788082822307458,0.26433326557194614,0.7637112552079576,0.6413997571115728,0.11540475846351182,0.7283062451279633,True,True,True,0.037187573105649796
r2000_c3200,2,0.07625551053335333,0.07625551053335333,0.17116896660469053,0.11420254105141106,0.41869424456721305,0.6801071346682782,0.5390533229998699,179.64653732414405,0.10126296497102401,0.5639000972744272,True,True,True,0.056966425553279465
r2000_c3200,3,0.15214974647591237,0.15214974647591237,0.15468500578015232,0.10034527839995053,0.7712553139242536,1.230960589439516,1.0721282475683733,179.45121354493352,0.1904000178458491,0.2664986889930462,True,True,True,0.05433972738020179
r2000_c3200,4,0.26240258229115665,0.2760041632626885,0.27001854806182135,0.2096805301199561,0.606593112137178,0.7901034881735151,2.7477134487776365,3.857607533155305,0.39860631826178267,0.2689589748547764,True,True,True,0.060338017941865246
r2000_c3600,0,0.01915451822365661,0.01915451822365661,0.14261255184189564,0.14455676951895127,0.11772025925026462,0.14161711756434472,8.670282277200444,8.659864071747785,0.18570309501200832,0.28908356642306515,True,True,True,-0.0019442176770556319
r2000_c3600,1,0.03821828837304667,0.03821828837304667,0.10996905443204369,0.06717492844526936,0.29668758301354436,0.6125523664603381,8.495389489243498,8.527001184863535,0.001856249899032176,0.38230714467742244,True,False,False,0.04279412598677433
r2000_c3600,2,0.07625551053335333,0.07625551053335333,0.05728048060630171,0.03466595763789369,1.09431459189786,2.256938198042759,8.284936457256942,8.426072934273078,0.0007316665865426239,0.4446792636800361,True,False,False,0.02261452296840802
r2000_c3600,3,0.15214974647591237,0.15214974647591237,0.03192902099051403,0.01537610786144592,3.7617000405388343,8.812068680021659,8.3511218249541,8.923557119083222,0.007789394488820292,0.12116273021922516,True,False,False,0.016552913129068106
r2000_c3600,4,0.26240258229115665,0.2760041632626885,0.029205640315860475,0.036018112312031926,6.166062240789385,5.899968030085488,8.32374345347039,8.71559038454426,0.6798433119688555,0.042858645617490185,True,True,True,-0.006812471996171451
r2000_c4000,0,0.01915451822365661,0.01915451822365661,0.23024638313213827,0.22288860187027842,0.06765923470259826,0.08298940563351698,6.88355386878974,6.888680722637877,0.2621375981210509,0.3613876404164183,True,False,False,0.007357781261859847
r2000_c4000,1,0.03821828837304667,0.03821828837304667,0.21670104332971735,0.14596985303605772,0.13492865537758775,0.43760360129073034,6.545576044438545,6.480275114108783,0.1800621054594246,0.3132336119381173,True,True,True,0.07073119029365962
r2000_c4000,2,0.07625551053335333,0.07625551053335333,0.2283101918730181,0.07731613782697545,0.2851525181477074,1.4778052756990805,6.965873417009843,6.549383772596352,0.04535389199717832,0.37274851135462367,True,True,True,0.15099405404604266
r2000_c4000,3,0.15214974647591237,0.15214974647591237,0.2311172295366219,0.11833423681689213,0.6316482393767046,1.1931895054501749,10.55922372347567,11.589600460520998,0.08558462906865971,0.08766343181847856,True,True,True,0.11278299271972976
r2000_c4000,4,0.26240258229115665,0.2760041632626885,0.3134710901817023,0.27779658276340763,0.5641151983775969,0.6512367458059204,17.374149742542098,16.817199648283722,0.05874709968862798,0.20673304928215108,True,True,True,0.0356745074182947
r2400_c1200,0,0.01915451822365661,0.01915451822365661,0.24383932903738728,0.2435788454776421,0.06782805752630978,0.07156395385653895,175.40746236304145,175.44749697009826,0.3600617257783895,0.4582043625489285,True,True,True,0.0002604835597451727
r2400_c1200,1,0.03821828837304667,0.03821828837304667,0.1802515559322762,0.14320773846200188,0.17882809372336442,0.22224795057007038,175.23995712263292,175.36357720099164,0.19711273014591993,0.3272631920679867,True,True,True,0.037043817470274326
r2400_c1200,2,0.07625551053335333,0.07625551053335333,0.10416913453929015,0.13166520026914943,0.6614901447129126,0.46891615241769613,175.9257034655747,175.0284375774053,0.07799752101666403,0.32807619510919955,True,True,True,-0.027496065729859284
r2400_c1200,3,0.15214974647591237,0.15214974647591237,0.08301063585694403,0.15873862253164703,1.3804957520155237,0.8125993691783725,177.19594731342772,176.3193792990388,0.15889939148675028,0.5242047472176166,True,True,True,-0.075727986674703
r2400_c1200,4,0.26240258229115665,0.2760041632626885,0.1393180358471166,0.29381840392767977,1.1483398773555675,0.6650210878256432,178.0414838804132,177.50856765315237,0.36309230423738165,0.6153155938410161,True,True,True,-0.15450036808056317
r2400_c1600,0,0.01915451822365661,0.01915451822365661,0.287205155008284,0.2795115736719891,0.06373707500941135,0.06359899942014201,6.214080684092653,6.205334919702569,0.5189198663885088,0.45362112412484445,True,True,True,0.007693581336294886
r2400_c1600,1,0.03821828837304667,0.03821828837304667,0.21749623929362366,0.19340617325312015,0.15472705670781262,0.16473676233908519,6.087028382432777,6.188731619144221,0.34723480428122666,0.36269451973530675,True,True,True,0.02409006604050351
r2400_c1600,2,0.07625551053335333,0.07625551053335333,0.13991133163289896,0.11369983998507335,0.5122083538271961,0.5836854239124832,6.348083458199017,6.537863826958388,0.39924427103679955,0.20358306901324416,True,True,True,0.026211491647825602
r2400_c1600,3,0.15214974647591237,0.15214974647591237,0.035732855933316335,0.03800505189332288,3.4269549740934044,3.3048261921922233,6.324022330542315,6.755125939124948,0.21898953500689033,0.09803443169931393,True,True,True,-0.002272195960006544
r2400_c1600,4,0.26240258229115665,0.2760041632626885,0.020759543419999252,0.020876298182115484,8.023829514202458,7.830242037192064,6.33582932346761,6.827476607793722,0.11688929228449299,0.07116708732974644,True,True,True,-0.0001167547621162314
r2400_c2000,0,0.01915451822365661,0.01915451822365661,0.2608815907233046,0.2544456045419797,0.06859844039072722,0.069090527787753,13.807754896641066,13.818359040948732,0.30871321233499033,0.4836765700343444,True,True,True,0.006435986181324904
r2400_c2000,1,0.03821828837304667,0.03821828837304667,0.15913353068847408,0.14686468396604535,0.21651395835239876,0.22138494320558844,13.888198199590544,14.119161890274102,0.1305839777141286,0.3051884966530637,True,True,True,0.012268846722428728
r2400_c2000,2,0.07625551053335333,0.07625551053335333,0.10862361268875668,0.13374670011638226,0.6295975472213315,0.4938982723134774,14.274952667267819,14.714503788846663,0.0839286109301193,0.31007970723771844,True,True,True,-0.025123087427625576
r2400_c2000,3,0.15214974647591237,0.15214974647591237,0.0943377282615285,0.13597241446543945,1.3048429374536812,0.8828157808407309,14.494955163497877,14.348019008307102,0.015860030361641374,0.3148707724177928,True,False,False,-0.04163468620391095
r2400_c2000,4,0.26240258229115665,0.2760041632626885,0.07140367180746823,0.14725403078596078,2.4164294065817136,1.2138960024493861,14.402877270799445,13.316358459829342,0.023471090818395646,0.33062033117978507,True,True,True,-0.07585035897849254
r2400_c2400,0,0.01915451822365661,0.01915451822365661,0.8600537151319687,0.8564720604998435,0.028973245731042485,0.031998386271206894,166.4781893183057,167.31606276992383,0.49436585407397493,0.5742194312443697,True,True,True,0.0035816546321252307
r2400_c2400,1,0.03821828837304667,0.03821828837304667,0.9009722875602091,0.8138454535007342,0.058616451230710596,0.07128875963858795,167.34206190208855,172.86768730798372,0.21405360867901424,0.5816612272740772,True,True,True,0.08712683405947486
r2400_c2400,2,0.07625551053335333,0.07625551053335333,0.8155735423519799,0.6514574519805817,0.12038491934905415,0.15397275086374532,2.35811756771778,175.17682598501085,0.10099732760734091,0.6974785719995201,True,True,True,0.16411609037139818
r2400_c2400,3,0.15214974647591237,0.15214974647591237,0.4781746569552998,0.35873032209697486,0.32232940853298314,0.4082118505471921,170.5788883093024,168.25664776351994,0.19224241146586665,0.5888091856520071,True,True,True,0.11944433485832495
r2400_c2400,4,0.26240258229115665,0.2760041632626885,0.30428443119591253,0.28869028502156857,0.6000032576067962,0.6278527059091376,163.89099861111765,162.1883605124315,0.33975061927666783,0.4401971828497012,True,True,True,0.015594146174343959
r2400_c2800,0,0.01915451822365661,0.01915451822365661,0.5104299229631831,0.4969169556525309,0.035359182090747246,0.03940863626339973,157.9427014730052,157.75851888135992,0.4733581014193116,0.7486696016603782,True,True,True,0.013512967310652213
r2400_c2800,1,0.03821828837304667,0.03821828837304667,0.4684258498971644,0.3992162024931043,0.06530558672271299,0.08555085243527218,157.90788744402337,157.47607757389923,0.1393188756052341,0.6956387897773979,True,True,True,0.0692096474040601
r2400_c2800,2,0.07625551053335333,0.07625551053335333,0.47259924106719753,0.6093156724331222,0.0844358173532015,0.10144518428609287,156.85508468155504,155.67319823500165,0.09582553997170536,0.6485732451335081,True,True,True,-0.1367164313659247
r2400_c2800,3,0.15214974647591237,0.15214974647591237,0.4840395962642593,0.7978628754905865,0.04668279330097085,0.18254856313216344,170.51440588116458,1.3876754716555297,0.6891564892706905,0.2897039807699903,True,True,True,-0.31382327922632725
r2400_c2800,4,0.26240258229115665,0.2760041632626885,0.34381836194427345,0.8165020122383577,0.04024966151777699,0.2774744037679636,16.587423391570656,14.44880554247762,0.8327819452225945,0.2525055557035426,True,True,True,-0.47268365029408427
r2400_c3200,0,0.01915451822365661,0.01915451822365661,0.24948506275801666,0.25131838654977645,0.06857981748920215,0.07002998369969668,172.85875621607784,172.78408495578472,0.36443620569126434,0.5246493811729753,True,True,True,-0.0018333237917597944
r2400_c3200,1,0.03821828837304667,0.03821828837304667,0.1531146450534463,0.13717387569568404,0.22402036447872034,0.2395478797432985,172.447474746086,171.97468943500405,0.2754522741519156,0.33910234455290633,True,True,True,0.015940769357762258
r2400_c3200,2,0.07625551053335333,0.07625551053335333,0.07870777205917556,0.08936684589626624,0.9114190749196392,0.7451936862822066,171.8013551864042,170.90410631684497,0.12343193047160989,0.23673351608694498,True,True,True,-0.01065907383709068
r2400_c3200,3,0.15214974647591237,0.15214974647591237,0.031214764815984234,0.05183365904251867,4.478201392650712,2.255423075166146,171.0065232863848,170.70429968096542,0.03744487325386122,0.12085366493627653,True,True,True,-0.02061889422653444
r2400_c3200,4,0.26240258229115665,0.2760041632626885,0.018947310273919375,0.037630177246662753,12.316340711653128,4.599069725342691,170.3823715342459,170.98215657542102,0.11493458189677594,0.07203778431636099,False,True,False,-0.018682866972743378
r2400_c3600,0,0.01915451822365661,0.01915451822365661,0.23616595183798,0.24168049768437463,0.07281495336448392,0.08318507899365171,7.520213743224581,7.50081214268286,0.24344853451354131,0.9235232886414773,True,True,True,-0.005514545846394631
r2400_c3600,1,0.03821828837304667,0.03821828837304667,0.12582347062762747,0.09007932936384135,0.24381432108962667,0.37020800061548126,8.091025936062852,7.937632943259178,0.10836971378646132,0.7582869549154256,True,True,True,0.035744141263786125
